TimeStamp,cc:d5:39:e9:5c:af,cc:d5:39:e9:5c:ad,24:01:c7:08:b3:f0,cc:d5:39:a0:cd:b2,cc:d5:39:e9:5c:a0,24:01:c7:08:b3:f2,cc:d5:39:a0:cd:b0,cc:d5:39:a0:cd:bd,cc:d5:39:a0:cd:bf,24:01:c7:08:b3:ff,cc:d5:39:e9:5c:a2,24:01:c7:6c:fc:52,24:01:c7:33:7f:ad,24:01:c7:33:7f:af,24:01:c7:08:b3:fd,24:01:c7:6c:fc:5f,24:01:c7:6c:fc:50,24:01:c7:6c:fc:5d,cc:d5:39:e5:b3:80,24:01:c7:33:7f:a2,cc:d5:39:e5:b3:82,24:01:c7:33:7f:a0,cc:d5:39:e5:b3:8f,24:01:c7:77:3e:af,e0:d1:73:ff:ee:5f,e0:d1:73:ff:ee:5d,24:01:c7:77:3e:ad,cc:d5:39:e5:b3:8d,e0:d1:73:ff:ee:52,58:97:1e:f7:73:b0,e0:d1:73:ff:ee:50,88:75:56:44:c6:e0,58:97:1e:f7:73:b2,88:75:56:44:c6:e2,24:01:c7:ca:81:02,88:75:56:44:c6:ef,58:97:1e:f7:73:bf,88:75:56:44:c6:ed,58:97:1e:f7:73:bd,24:01:c7:ca:81:00,24:01:c7:ca:81:0d,24:01:c7:ca:81:0f,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:9d,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:93,34:a8:4e:a2:a3:92,34:a8:4e:e9:e0:f1,34:a8:4e:e9:e0:fe,34:a8:4e:e9:e0:f2,34:a8:4e:e9:e0:f3
1453855916752,-85,-87,-67,-63,-68,-69,-62,-77,-78,-84,-68,-80,-85,-86,-81,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855920065,-83,-84,-65,-62,-69,-69,-61,-83,-85,-77,-70,-80,-79,-86,-77,-79,-79,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855923307,-75,-75,-60,-56,-69,-61,-56,-70,-70,-76,-66,-73,-76,,-76,-73,-74,-73,-84,-80,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855926574,-66,-66,-60,-54,,-56,-55,-72,-71,-68,-63,-72,-63,-63,-68,-72,-74,-73,-84,-79,-81,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855929821,-64,-63,-58,-52,-49,-59,-52,-63,-63,-60,-50,-72,-63,-63,-60,-79,-66,-78,-78,-67,-78,-71,-83,-83,-85,-83,-83,-84,-86,,,,,,,,,,,,,,,,,,,,,,,
1453855933063,-58,-58,-48,-52,-46,-50,-59,-70,-70,-58,-45,-80,-57,-57,-58,-80,-76,-81,-78,-67,-76,-63,-83,-83,-82,-83,-83,-81,-86,-84,,,,,,,,,,,,,,,,,,,,,,
1453855936317,-57,-57,-52,,-42,-54,-58,-71,-70,-55,-44,-78,-52,-52,-55,-80,-80,-81,-75,-67,-76,-66,-74,,-79,-79,,-75,-80,-79,-78,-87,-80,,,,,,,,,,,,,,,,,,,
1453855939546,-66,-65,-52,-58,-44,-58,-60,-70,-71,-64,-43,-79,-56,-56,-64,-80,-81,-84,-62,-65,,-68,-74,,-83,-79,,-74,-83,-79,-85,-87,-76,,,,,,,,,,,,,,,,,,,
1453855942794,-66,-66,-62,-58,-51,-60,-63,-74,-75,-73,-48,-79,-53,-54,-72,,-79,-84,-61,-67,,-68,-61,,-83,-86,,-62,-77,-81,-79,,-76,,,,,,,,,,,,,,,,,,,
1453855946006,-73,-73,-62,-61,-51,-70,-63,-77,-78,-72,-53,,-54,-54,-71,-87,-79,-87,-54,-62,,-62,-63,,-79,-79,,-63,-77,-80,-83,,,,,,,,,,,,,,,,,,,,,
1453855949268,-70,-69,-73,-61,-57,-69,-64,-71,-71,-72,-54,-85,-49,-49,-83,-87,,-84,-54,-62,-55,-57,-61,,-79,-78,,-62,-81,-79,-79,,-76,-77,,,,,,,,,,,,,,,,,,
1453855952482,-73,-72,-73,-64,-63,-72,-63,-72,-73,-79,-62,-85,-43,-43,-80,-89,,-84,-57,-50,-55,-51,-65,,-80,-80,,-66,-79,-73,-79,-80,-75,-77,-85,,,,,,,,,,,,,,,,,
1453855955698,-73,-73,-75,-64,-66,-74,-65,-72,-73,-79,-64,,-39,-39,-76,-88,,-84,-57,-50,-60,-46,-71,,-72,-71,,-70,-73,-73,-74,-80,-70,-76,-85,-81,-82,-81,-82,,,,,,,,,,,,,
1453855958922,-74,-74,-80,-69,-66,-78,-65,-71,-70,,-64,,-42,-42,-78,-89,,-84,-70,-43,-68,-46,-71,,-67,-67,,-76,-67,-68,-72,-71,-70,-73,,-81,-83,-79,-82,,,,,,,,,,,,,
1453855962140,-75,-74,-78,-69,-67,-77,,-72,-72,-83,-66,-83,-43,-44,-85,-89,,,-70,-43,-71,-42,-79,,-65,-65,,-76,-67,-65,-62,-62,,-62,,,-78,-77,-79,-82,,,,,,,,,,,,
1453855965372,-80,-81,-80,-72,-67,-77,-69,-79,-79,-82,-62,-83,-52,-52,-84,,,,-72,-51,-73,-52,-82,,-74,-74,,-79,-65,-65,-62,-73,-56,-69,-78,-82,-61,-82,-61,-82,-79,,,,,,,,,,,
1453855968584,-84,-83,-80,-75,-68,,-74,-81,-84,-82,-67,,-53,-53,-84,,,,-81,-61,-79,-58,-80,,-77,-81,,-79,-72,,,-78,-50,-69,-75,-82,-62,-82,-61,-74,-84,,,,,,,,,,,
1453855971798,-79,-80,,-75,-73,-82,-75,-81,-87,,-75,,-57,-57,,,,,-81,-64,-79,-62,-80,,-79,-80,,,-72,-48,-78,-82,-48,,-75,,-55,,-55,-77,-81,-82,-93,,,,,,,,,
1453855975069,-88,-87,,,-74,-82,-79,,-87,,-74,,-60,-60,,,,,,-64,-84,-64,,,-79,-81,,-89,-76,-49,-78,-82,-47,,-74,,-62,,-62,-76,-78,-78,-81,-81,-81,,,,,,,
