TimeStamp,34:a8:4e:ce:92:60,34:a8:4e:90:14:80,34:a8:4e:ce:92:62,34:a8:4e:90:14:82,88:75:56:ef:bc:a0,34:a8:4e:9f:90:90,88:75:56:ef:bc:a2,34:a8:4e:9f:90:9f,34:a8:4e:2f:30:7d,34:a8:4e:9f:90:9d,34:a8:4e:2f:30:70,34:a8:4e:2f:30:7f,34:a8:4e:9f:90:92,34:a8:4e:2f:30:72,34:a8:4e:90:14:8f,34:a8:4e:85:47:50,34:a8:4e:ce:92:6f,34:a8:4e:90:14:8d,34:a8:4e:ce:92:6d,34:a8:4e:85:47:52,88:75:56:82:92:70,20:3a:07:0b:be:90,34:a8:4e:26:96:b0,20:3a:07:06:d4:bf,88:75:56:82:92:72,20:3a:07:0b:be:92,34:a8:4e:26:96:b2,20:3a:07:06:d4:bd,34:a8:4e:85:47:5d,20:3a:07:ee:63:80,20:3a:07:8b:b4:a0,88:75:56:82:92:7f,20:3a:07:8b:b4:af,34:a8:4e:26:96:bf,20:3a:07:8b:b4:a2,20:3a:07:7a:6d:a2,88:75:56:82:92:7d,34:a8:4e:26:96:bd,20:3a:07:7a:6d:a0,20:3a:07:ee:63:8f,20:3a:07:7a:6d:af,34:a8:4e:65:4d:1f,34:a8:4e:65:4d:1d,20:3a:07:ee:63:8d,20:3a:07:06:d4:b2,34:a8:4e:ae:44:1f,20:3a:07:8b:b4:ad,34:a8:4e:ae:44:1d,88:75:56:0f:66:f2,34:a8:4e:67:e6:c2,20:3a:07:06:d4:b0,88:75:56:0f:66:f0,20:3a:07:16:3f:f0,34:a8:4e:47:99:ff,20:3a:07:ee:63:82,34:a8:4e:47:99:fd,20:3a:07:16:3f:f2,20:3a:07:16:3f:ff,88:75:56:0f:66:ff,34:a8:4e:65:4d:12,34:a8:4e:85:47:5f,20:3a:07:16:3f:fd,34:a8:4e:67:e6:c0,34:a8:4e:ae:44:12,88:75:56:0f:66:fd,34:a8:4e:84:8a:3f,34:a8:4e:84:8a:30,34:a8:4e:84:8a:32,34:a8:4e:84:8a:3d,20:3a:07:fd:63:b0,20:3a:07:fd:63:b2,88:75:56:04:8b:10,cc:d5:39:94:84:90,34:a8:4e:ae:44:10,88:75:56:04:8b:12,34:a8:4e:4e:19:82,34:a8:4e:65:4d:10,88:75:56:04:8b:1d,34:a8:4e:4e:19:80,cc:d5:39:94:84:9f,cc:d5:39:94:84:92,88:75:56:04:8b:1f,34:a8:4e:4e:19:8f,34:a8:4e:4e:19:8d,cc:d5:39:94:84:9d,34:a8:4e:67:e6:cd,34:a8:4e:47:99:f2,20:3a:07:0b:be:9d,20:3a:07:0b:be:9f,34:a8:4e:67:e6:cf,34:a8:4e:47:99:f0,88:75:56:46:e4:12,88:75:56:46:e4:10,58:bf:ea:98:e5:f0,58:bf:ea:98:e5:f2,34:a8:4e:cd:1f:bf,34:a8:4e:cd:1f:be,34:a8:4e:cd:1f:b1,34:a8:4e:cd:1f:b0,34:a8:4e:91:cf:90,88:75:56:46:e4:1f,88:75:56:46:e4:1d,88:75:56:ca:c3:d2,34:a8:4e:c2:a0:1f,88:75:56:ca:c3:df,88:75:56:ca:c3:dd,58:bf:ea:98:e5:fd,34:a8:4e:c2:a0:10,88:75:56:ca:c3:d0,88:75:56:e8:08:2f,34:a8:4e:c2:a0:1d,88:75:56:e8:08:2d,88:75:56:e8:08:22,58:bf:ea:98:e5:ff,88:75:56:b6:5e:a0,20:3a:07:b7:c1:af,88:75:56:e8:08:20,20:3a:07:59:25:d0,20:3a:07:1a:df:90,88:75:56:b6:5e:af,20:3a:07:54:5c:80,34:a8:4e:c2:a0:12,88:75:56:b6:5e:a2,20:3a:07:1a:df:9d,20:3a:07:3f:95:bf,20:3a:07:fd:63:bf,88:75:56:b6:5e:ad,20:3a:07:59:25:d2,20:3a:07:3f:95:bd,20:3a:07:1a:df:9f,20:3a:07:3f:95:b0,20:3a:07:54:5c:82,20:3a:07:54:5c:8d,20:3a:07:54:5c:8f,88:75:56:2c:fb:70,20:3a:07:59:25:df,20:3a:07:fd:63:bd,20:3a:07:1a:df:92,88:75:56:2c:fb:72,20:3a:07:59:25:dd,88:75:56:2c:fb:7d,88:75:56:2c:fb:7f,24:01:c7:87:30:50,34:a8:4e:61:47:72,20:3a:07:23:4b:1d,34:a8:4e:61:47:70,20:3a:07:23:4b:10,34:a8:4e:0e:8f:90,20:3a:07:3f:95:b2,20:3a:07:ee:25:20,34:a8:4e:61:47:7d,34:a8:4e:0e:8f:92,20:3a:07:ee:25:2f,20:3a:07:ee:25:2d,24:01:c7:87:30:5d,20:3a:07:ee:25:22,34:a8:4e:61:47:7f,24:01:c7:87:30:52,24:01:c7:87:30:5f,34:a8:4e:0e:8f:9d,34:a8:4e:e0:0e:e0,34:a8:4e:0e:8f:9f,34:a8:4e:e0:0e:e2,24:01:c7:0b:62:62,88:75:56:bf:20:40,88:75:56:bf:20:4f,88:75:56:bf:20:42,88:75:56:bf:20:4d,34:a8:4e:fb:84:f0,24:01:c7:0b:62:60,24:01:c7:0b:62:6f,34:a8:4e:fb:84:ff,34:a8:4e:fb:84:f2,24:01:c7:0b:62:6d,34:a8:4e:fb:84:fd,cc:d5:39:2e:38:d2,cc:d5:39:2e:38:d0,cc:d5:39:9f:83:82,cc:d5:39:f5:2f:d2,cc:d5:39:bf:82:50,58:97:1e:ea:c3:e0,58:97:1e:ea:c3:e2,20:3a:07:14:48:a2,20:3a:07:23:4b:1f,20:3a:07:23:4b:12,20:3a:07:14:48:a0,20:3a:07:14:48:ad,20:3a:07:14:48:af,20:3a:07:7a:6d:ad,20:3a:07:b7:c1:ad,20:3a:07:b7:c1:a0,20:3a:07:b7:c1:a2,34:a8:4e:fc:b5:70,cc:d5:39:a1:3d:8d,cc:d5:39:a1:3d:8f,20:3a:07:46:f5:1f,20:3a:07:46:f5:1e,cc:d5:39:a1:3d:80,34:a8:4e:91:cf:9f,cc:d5:39:a1:3d:82,34:a8:4e:91:cf:9e,cc:d5:39:f5:2f:df,24:01:c7:29:38:b2,24:01:c7:3d:63:02,c0:62:6b:b6:2b:02,c0:62:6b:b6:2b:00,34:a8:4e:91:cf:91,88:75:56:e6:13:f0,34:a8:4e:fc:b5:71,88:75:56:e6:13:f1,88:75:56:ef:bc:af,5c:fc:66:cf:ac:62,e0:d1:73:64:87:c2,20:3a:07:46:f5:11,20:3a:07:46:f5:10,cc:d5:39:bf:82:52,cc:d5:39:9f:83:80,1c:e6:c7:78:65:22,24:01:c7:9b:0e:40,34:db:fd:2e:66:70
1454962722064,-75,-80,-75,-75,-79,-83,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962725410,-75,,-75,-78,-79,-80,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962728693,-72,,-71,-78,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962731940,-72,,-76,,-76,,-76,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962735137,,,-76,-77,-76,,-76,-91,-80,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962738343,-72,-65,-72,-64,,-71,,-82,-78,-82,-75,-83,-75,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962741532,-76,-72,-72,-72,,-66,,-79,-78,-79,-78,-78,-66,-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962744682,-72,-65,-73,-72,,-66,,-61,-72,-62,-78,-72,-66,-80,-78,-79,-87,-79,-83,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962747834,-72,-65,-62,-56,,-50,,-53,-71,-53,-64,-71,-66,-80,-67,-79,-74,-67,-75,-79,-77,-78,-79,-84,-77,-78,-80,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962750943,,-56,-62,-56,,-47,,-56,-75,-56,-70,-75,-47,-71,-72,,-85,-72,-83,-79,-77,-78,-72,-84,-81,-78,-80,-85,-87,-72,-78,-86,-86,-87,-77,-81,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962754077,,-56,,-52,,-44,,-54,-75,-54,-78,-78,-47,-71,-59,,-80,-59,-79,-80,,-78,-74,-87,-81,-78,-72,,,-73,-76,-86,-86,-87,-77,-81,-86,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454962757199,,,-69,-56,,-42,,-45,-74,-45,-76,-78,,,-62,,-86,-62,-87,-80,,,-70,-87,,,-67,,,-72,-72,,-90,-84,-73,-76,,-84,-78,-85,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
