,null,null,null,0114.0012-vlucci.com A1.4.0.1,null
,BC:6A:29:BE:2F:12,BC:6A:29:BE:31:61,7C:66:9D:7B:47:3D,7C:66:9D:7B:2B:CB,7C:66:9D:7B:46:8C
1526461455098,-88,-94,-99,-200,-200
1526461455208,-88,-94,-200,-200,-200
1526461455324,-88,-200,-99,-200,-200
1526461455419,-88,-200,-200,-88,-94
1526461460054,-89,-200,-95,-86,-200
1526461460155,-90,-97,-100,-85,-200
1526461460261,-93,-97,-200,-85,-98
1526461460376,-92,-200,-200,-86,-96
1526461464985,-94,-93,-96,-200,-100
1526461465161,-94,-94,-95,-200,-200
1526461465265,-94,-200,-96,-200,-200
1526461465408,-94,-200,-200,-90,-102
1526461470002,-87,-200,-94,-90,-200
1526461470103,-86,-100,-200,-200,-200
1526461470210,-86,-102,-200,-90,-200
1526461470312,-86,-200,-96,-90,-200
1526461470413,-86,-200,-200,-86,-200
1526461475069,-88,-94,-95,-84,-200
1526461475172,-89,-95,-94,-85,-200
1526461475279,-88,-93,-95,-200,-200
1526461475386,-90,-95,-96,-84,-200
1526461480015,-90,-96,-200,-200,-200
1526461480122,-91,-95,-95,-84,-200
1526461480227,-89,-95,-96,-200,-200
1526461480338,-200,-94,-96,-84,-200
1526461480446,-89,-94,-97,-84,-200
1526461485049,-94,-94,-98,-200,-200
1526461485150,-94,-94,-98,-200,-200
1526461485264,-94,-93,-98,-200,-200
1526461485370,-94,-94,-98,-200,-200
1526461489977,-89,-200,-93,-200,-97
1526461490076,-88,-200,-94,-200,-97
1526461490183,-89,-200,-93,-200,-98
1526461490290,-89,-200,-94,-200,-200
1526461490397,-89,-200,-94,-200,-98
1526461494996,-88,-95,-96,-83,-200
1526461495106,-88,-95,-97,-83,-200
1526461495211,-88,-95,-95,-83,-200
1526461495318,-89,-94,-200,-83,-200
1526461495427,-94,-94,-95,-200,-200
1526461500043,-94,-95,-98,-200,-200
1526461500158,-94,-200,-99,-200,-200
1526461500250,-95,-94,-98,-200,-200
1526461500356,-95,-94,-97,-200,-200
1526461504990,-88,-200,-95,-90,-200
1526461505101,-89,-200,-94,-200,-99
1526461505421,-89,-106,-94,-200,-200
1526461505522,-91,-95,-94,-84,-200
1526461510037,-89,-200,-95,-84,-200
1526461510192,-90,-94,-97,-84,-99
1526461510354,-200,-94,-99,-84,-200
1526461515054,-93,-95,-98,-200,-200
1526461515158,-94,-95,-97,-200,-200
1526461515249,-94,-95,-98,-200,-200
1526461515372,-95,-95,-99,-200,-200
1526461515469,-200,-97,-200,-200,-200
