,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:88,78:A5:04:41:EB:98,78:A5:04:41:EE:1D,78:A5:04:41:E5:62,78:A5:04:41:E7:EF,7C:66:9D:7B:47:3D,78:A5:04:41:EE:15,78:A5:04:41:E9:8A,78:A5:04:41:EB:CE,78:A5:04:41:E5:34,78:A5:04:41:E5:70,7C:66:9D:7B:2B:BA,78:A5:04:41:E7:D5,7C:66:9D:7B:46:8C,BC:6A:29:BE:2F:12,78:A5:04:41:E7:98,7C:66:9D:7B:2B:CB,BC:6A:29:BE:31:61,78:A5:04:41:E7:A2,78:A5:04:41:E9:EB,78:A5:04:41:E9:D7,7C:66:9D:7B:2E:21,78:A5:04:41:E9:92
1526446285799,-75,-75,-82,-84,-83,-87,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446285891,-75,-75,-82,-84,-83,-88,-83,-76,-78,-82,-71,-87,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446285997,-76,-75,-200,-200,-200,-200,-200,-76,-200,-200,-200,-86,-69,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446286113,-200,-74,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526446290747,-79,-63,-75,-200,-80,-200,-76,-200,-200,-200,-77,-200,-200,-200,-200,-77,-76,-93,-200,-200,-200,-200,-200
1526446290855,-78,-63,-75,-81,-200,-87,-75,-84,-82,-200,-78,-200,-79,-200,-200,-76,-76,-200,-88,-200,-200,-200,-200
1526446290959,-79,-63,-75,-82,-200,-86,-200,-84,-82,-200,-79,-88,-78,-200,-200,-75,-200,-94,-200,-200,-200,-200,-200
1526446291071,-68,-62,-75,-83,-200,-200,-75,-84,-200,-86,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526446295723,-68,-79,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526446295839,-68,-80,-200,-200,-200,-89,-200,-83,-74,-87,-200,-200,-200,-200,-91,-75,-200,-100,-200,-200,-200,-200,-200
1526446295938,-68,-80,-200,-200,-87,-200,-200,-83,-200,-200,-200,-200,-74,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526446296072,-81,-80,-200,-79,-200,-90,-79,-200,-200,-200,-68,-200,-82,-92,-92,-82,-200,-92,-200,-88,-200,-200,-200
1526446300829,-82,-200,-200,-200,-200,-88,-79,-200,-74,-200,-68,-200,-200,-92,-200,-200,-82,-94,-200,-200,-200,-200,-200
1526446300907,-200,-71,-200,-82,-200,-91,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-80,-95,-200,-200,-200,-200,-200
