,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:08,78:A5:04:41:E9:82,78:A5:04:41:E9:D7,78:A5:04:41:E9:EB,7C:66:9D:7B:47:FC,BC:6A:29:BE:31:7F,78:A5:04:41:EB:FB,78:A5:04:41:E9:8A,78:A5:04:41:E5:62,78:A5:04:41:E7:EF,7C:66:9D:7B:2E:21,78:A5:04:41:E5:34,78:A5:04:41:E5:59,78:A5:04:41:E7:D5,78:A5:04:41:E7:98,78:A5:04:41:E9:D2,78:A5:04:41:EB:98,78:A5:04:41:E9:92,78:A5:04:41:E7:88
1526441278369,-82,-83,-69,-64,-95,-92,-64,-69,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526441278500,-200,-82,-69,-64,-96,-95,-65,-200,-200,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526441278605,-73,-82,-200,-64,-97,-200,-64,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526441278713,-200,-82,-200,-65,-97,-200,-200,-69,-200,-200,-200,-200,-87,-85,-200,-200,-200,-200,-200
1526441283349,-200,-83,-68,-63,-94,-200,-200,-200,-82,-83,-200,-200,-200,-86,-87,-80,-200,-200,-200
1526441283449,-71,-200,-68,-63,-200,-200,-63,-200,-81,-200,-200,-200,-200,-200,-200,-80,-86,-63,-200
1526441283559,-69,-82,-200,-63,-200,-200,-63,-69,-81,-200,-200,-82,-200,-200,-200,-200,-200,-63,-200
1526441283699,-200,-82,-68,-200,-200,-200,-200,-68,-82,-200,-200,-200,-85,-86,-200,-80,-200,-63,-200
1526441288343,-72,-78,-83,-65,-92,-200,-200,-69,-200,-200,-200,-200,-200,-85,-200,-80,-200,-67,-85
1526441288561,-200,-78,-85,-200,-200,-200,-74,-69,-200,-200,-200,-83,-86,-200,-200,-200,-84,-68,-200
1526441288686,-200,-200,-84,-65,-200,-200,-200,-200,-88,-200,-200,-82,-200,-200,-200,-79,-200,-67,-200
1526441293330,-200,-200,-200,-200,-200,-90,-200,-70,-86,-200,-90,-200,-85,-200,-200,-77,-200,-66,-200
1526441293464,-73,-200,-68,-67,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-86,-200,-70,-200
1526441293583,-74,-84,-200,-200,-200,-200,-68,-73,-87,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200
1526441293698,-74,-77,-67,-200,-92,-92,-65,-72,-84,-200,-200,-200,-200,-200,-87,-200,-200,-70,-200
1526441298427,-200,-200,-67,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200
1526441298537,-200,-200,-66,-63,-93,-92,-65,-68,-84,-82,-200,-200,-200,-200,-200,-78,-200,-200,-200
1526441303320,-200,-77,-74,-66,-94,-85,-75,-69,-200,-200,-200,-89,-200,-200,-200,-78,-200,-67,-200
1526441303463,-74,-76,-200,-200,-200,-85,-200,-69,-200,-90,-200,-89,-200,-86,-200,-78,-87,-68,-200
1526441303561,-200,-76,-75,-66,-94,-85,-74,-200,-200,-200,-200,-89,-200,-86,-200,-200,-200,-200,-200
1526441303678,-200,-200,-74,-66,-93,-85,-200,-200,-78,-200,-91,-200,-200,-86,-200,-77,-200,-67,-200
1526441308362,-200,-76,-64,-66,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526441308464,-200,-200,-200,-67,-200,-200,-64,-82,-78,-200,-200,-89,-200,-200,-200,-200,-200,-74,-200
1526441308570,-200,-77,-64,-66,-200,-200,-64,-70,-79,-200,-92,-200,-85,-200,-90,-200,-200,-74,-200
1526441308700,-200,-200,-64,-66,-200,-86,-200,-66,-200,-88,-93,-89,-84,-84,-86,-200,-200,-73,-200
1526441313395,-200,-85,-70,-64,-200,-200,-65,-67,-200,-82,-200,-200,-200,-200,-200,-200,-200,-68,-200
1526441313504,-70,-200,-200,-64,-97,-86,-65,-67,-200,-82,-200,-200,-200,-84,-200,-200,-88,-69,-200
1526441313601,-200,-200,-71,-63,-97,-200,-65,-200,-84,-83,-200,-200,-200,-84,-200,-200,-200,-200,-200
