,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null
,BC:6A:29:BE:31:7F,BC:6A:29:BE:31:17,7C:66:9D:7B:47:FC,78:A5:04:41:EB:AD,78:A5:04:41:E9:CC,78:A5:04:41:EE:17,78:A5:04:41:EE:06,78:A5:04:41:EB:C3,78:A5:04:41:E9:AB,78:A5:04:41:E5:34,78:A5:04:41:E7:D4,78:A5:04:41:EB:A5,78:A5:04:41:E9:98,78:A5:04:41:E5:68,78:A5:04:41:EB:BA,78:A5:04:41:EB:F1,78:A5:04:41:E5:4E,BC:6A:29:BE:2F:54,78:A5:04:41:E9:D5,7C:66:9D:7B:2E:21
1526452010729,-95,-87,-101,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452011174,-96,-200,-200,-200,-76,-68,-80,-74,-75,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452011295,-200,-200,-200,-200,-75,-68,-200,-200,-79,-200,-87,-85,-87,-87,-200,-200,-200,-200,-200,-200
1526452015599,-200,-80,-200,-75,-79,-200,-200,-200,-78,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526452015697,-200,-200,-200,-76,-79,-73,-74,-200,-78,-200,-200,-85,-87,-86,-89,-200,-200,-200,-200,-200
1526452015862,-200,-200,-200,-76,-200,-72,-74,-200,-78,-200,-87,-85,-86,-200,-89,-200,-200,-200,-200,-200
1526452015958,-200,-87,-200,-84,-86,-72,-200,-200,-200,-200,-200,-85,-79,-200,-200,-88,-200,-200,-200,-200
1526452020602,-200,-79,-200,-200,-200,-200,-200,-79,-200,-85,-200,-82,-200,-200,-200,-200,-91,-200,-200,-200
1526452020727,-200,-79,-200,-86,-200,-76,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-103,-200,-200
1526452021143,-200,-87,-200,-200,-200,-69,-200,-200,-200,-86,-200,-82,-200,-69,-200,-200,-200,-200,-200,-200
1526452021240,-200,-78,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452021346,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
1526452025562,-200,-89,-200,-83,-78,-200,-200,-74,-200,-200,-88,-200,-200,-69,-200,-200,-200,-200,-200,-200
1526452025660,-200,-87,-200,-200,-200,-69,-82,-74,-77,-200,-200,-200,-82,-69,-200,-200,-200,-200,-200,-200
1526452025773,-96,-88,-200,-200,-79,-69,-200,-200,-78,-87,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526452025908,-200,-200,-200,-84,-79,-69,-200,-200,-79,-200,-88,-200,-200,-69,-200,-200,-200,-200,-200,-200
1526452030567,-200,-87,-200,-76,-200,-74,-75,-200,-78,-200,-89,-83,-200,-200,-89,-200,-200,-200,-200,-200
1526452030651,-200,-89,-200,-76,-77,-74,-200,-200,-78,-200,-200,-84,-87,-85,-88,-200,-200,-200,-200,-200
1526452030766,-200,-88,-200,-75,-200,-73,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452030877,-200,-88,-200,-76,-77,-200,-74,-200,-78,-87,-83,-200,-87,-69,-92,-200,-200,-200,-200,-200
1526452035584,-200,-200,-200,-84,-87,-200,-76,-78,-67,-200,-200,-200,-200,-69,-90,-89,-90,-200,-200,-200
1526452035717,-97,-78,-200,-84,-200,-200,-76,-78,-68,-200,-200,-200,-79,-69,-90,-88,-200,-200,-200,-200
1526452035815,-200,-78,-200,-200,-87,-69,-76,-78,-68,-200,-200,-200,-79,-69,-200,-200,-200,-200,-200,-200
1526452035933,-200,-200,-200,-200,-200,-200,-76,-200,-79,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526452040573,-200,-200,-200,-200,-80,-200,-81,-74,-79,-200,-200,-200,-82,-72,-200,-200,-200,-200,-200,-200
1526452040681,-200,-200,-200,-200,-79,-69,-82,-200,-200,-200,-86,-200,-83,-69,-200,-200,-200,-200,-200,-200
1526452040785,-97,-200,-200,-83,-80,-200,-200,-74,-200,-88,-200,-200,-83,-69,-200,-200,-200,-200,-200,-200
1526452040899,-100,-80,-200,-200,-81,-200,-82,-74,-78,-89,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526452045994,-97,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526452046097,-200,-78,-200,-84,-87,-69,-69,-200,-200,-200,-200,-82,-78,-69,-90,-88,-200,-200,-200,-200
1526452046188,-99,-79,-200,-84,-200,-200,-200,-78,-200,-200,-83,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526452046308,-200,-84,-200,-200,-200,-200,-200,-200,-68,-200,-82,-83,-200,-69,-90,-200,-200,-200,-200,-200
1526452050554,-200,-90,-200,-200,-80,-200,-83,-200,-78,-87,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
1526452050649,-200,-89,-200,-200,-80,-69,-82,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526452050747,-200,-89,-103,-200,-80,-68,-200,-74,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200
1526452050867,-200,-200,-200,-200,-80,-69,-82,-74,-200,-200,-200,-200,-83,-69,-200,-91,-200,-200,-200,-200
1526452050971,-200,-200,-200,-200,-81,-74,-200,-200,-77,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200
1526452055585,-200,-89,-200,-200,-76,-73,-75,-200,-77,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526452055694,-200,-89,-200,-76,-77,-73,-76,-200,-77,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526452055793,-200,-88,-200,-75,-76,-74,-200,-200,-77,-200,-200,-83,-88,-200,-200,-200,-200,-200,-200,-200
1526452055908,-200,-200,-200,-200,-77,-72,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526452060567,-200,-200,-200,-89,-79,-65,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452060688,-200,-200,-200,-90,-200,-65,-84,-200,-65,-200,-86,-92,-70,-75,-200,-90,-200,-200,-90,-200
1526452060779,-200,-200,-200,-200,-80,-65,-82,-200,-66,-200,-84,-93,-70,-200,-200,-89,-200,-200,-200,-200
1526452060884,-96,-200,-200,-200,-80,-66,-84,-200,-66,-200,-86,-200,-69,-200,-200,-200,-200,-200,-90,-200
1526452061002,-200,-200,-200,-200,-80,-200,-69,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200
1526452065613,-200,-200,-200,-200,-200,-200,-70,-84,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200
1526452065729,-94,-200,-200,-200,-200,-200,-69,-84,-69,-200,-85,-200,-74,-75,-200,-200,-200,-100,-200,-200
1526452065933,-93,-86,-200,-79,-76,-200,-74,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200
1526452070536,-200,-88,-200,-200,-74,-68,-200,-80,-200,-200,-200,-81,-200,-78,-88,-200,-200,-200,-200,-200
1526452070642,-200,-89,-200,-79,-74,-67,-72,-80,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526452070756,-200,-89,-200,-200,-74,-200,-73,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-99
1526452070908,-200,-89,-200,-79,-73,-67,-73,-81,-200,-92,-200,-81,-200,-78,-88,-200,-200,-200,-200,-99
1526452071010,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
