,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:06,78:A5:04:41:E9:98,78:A5:04:41:E9:CC,78:A5:04:41:EB:BA,78:A5:04:41:E7:D4,78:A5:04:41:EE:17,78:A5:04:41:E9:AB,78:A5:04:41:EB:C3,78:A5:04:41:E9:DA,BC:6A:29:BE:31:17,78:A5:04:41:E5:68,BC:6A:29:BE:2F:54,78:A5:04:41:EB:AD,78:A5:04:41:EB:F1,78:A5:04:41:EB:A5,78:A5:04:41:E9:B4
1526452085650,-65,-78,-81,-85,-83,-74,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526452085754,-65,-200,-83,-85,-83,-200,-90,-200,-88,-92,-76,-200,-200,-200,-200,-200
1526452086002,-200,-200,-200,-88,-200,-200,-200,-200,-200,-83,-200,-102,-200,-200,-200,-200
1526452086361,-200,-200,-200,-200,-79,-200,-200,-200,-200,-92,-200,-200,-83,-200,-200,-200
1526452090650,-200,-68,-200,-85,-200,-61,-200,-200,-200,-101,-200,-200,-83,-85,-83,-200
1526452090777,-200,-68,-200,-200,-79,-200,-76,-200,-87,-200,-80,-200,-83,-200,-83,-200
1526452090871,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-82,-200,-84,-200
1526452090980,-75,-200,-82,-200,-200,-200,-200,-200,-200,-96,-200,-200,-83,-200,-200,-200
1526452095582,-75,-82,-81,-200,-92,-63,-78,-200,-89,-98,-86,-200,-89,-200,-200,-200
1526452095728,-200,-82,-82,-82,-92,-63,-200,-86,-89,-98,-85,-200,-200,-200,-200,-200
1526452095863,-200,-82,-89,-200,-200,-73,-200,-200,-200,-97,-200,-200,-88,-200,-200,-200
1526452100554,-66,-78,-200,-200,-83,-200,-200,-88,-89,-82,-200,-200,-200,-200,-200,-200
1526452100664,-66,-200,-80,-87,-84,-200,-200,-200,-89,-200,-76,-200,-200,-200,-88,-200
1526452100772,-66,-200,-80,-87,-200,-74,-200,-88,-200,-82,-76,-200,-88,-200,-89,-200
