,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:7F,78:A5:04:41:EB:A5,78:A5:04:41:E7:9D,78:A5:04:41:E9:A0,78:A5:04:41:E9:B3,BC:6A:29:BE:2F:54,78:A5:04:41:E9:8E,78:A5:04:41:E5:3E,BC:6A:29:BE:31:17,78:A5:04:41:E9:F3,78:A5:04:41:E5:59,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:E9:BB,78:A5:04:41:EB:F1
1526458166684,-90,-85,-85,-74,-79,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458166813,-200,-84,-200,-200,-200,-200,-82,-85,-200,-200,-200,-200,-200,-200,-200
1526458166920,-90,-84,-85,-75,-200,-200,-82,-84,-92,-200,-200,-200,-200,-200,-200
1526458167021,-89,-84,-85,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458171633,-90,-200,-81,-80,-76,-66,-200,-84,-200,-83,-88,-200,-200,-200,-200
1526458171758,-89,-200,-81,-81,-76,-66,-82,-200,-200,-83,-200,-200,-200,-200,-200
1526458171861,-88,-200,-200,-80,-76,-66,-82,-84,-200,-83,-87,-200,-200,-200,-200
1526458171953,-94,-200,-200,-81,-76,-79,-82,-84,-97,-200,-87,-99,-97,-200,-200
1526458176665,-92,-200,-92,-79,-200,-78,-200,-88,-95,-200,-200,-97,-97,-200,-200
1526458176780,-93,-200,-200,-79,-200,-78,-200,-88,-200,-200,-85,-200,-200,-200,-200
1526458176892,-92,-200,-200,-79,-200,-78,-200,-87,-95,-200,-200,-99,-200,-200,-200
1526458176998,-200,-92,-84,-79,-200,-77,-200,-200,-95,-200,-200,-200,-200,-200,-200
