,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:FB,78:A5:04:41:E9:92,7C:66:9D:7B:2E:21,78:A5:04:41:E9:D2,7C:66:9D:7B:47:FC,78:A5:04:41:E9:8E,78:A5:04:41:E9:EB,78:A5:04:41:EE:08,BC:6A:29:BE:31:7F,78:A5:04:41:E5:34,78:A5:04:41:EB:E8,78:A5:04:41:E9:F3,BC:6A:29:BE:31:17,78:A5:04:41:E9:82,78:A5:04:41:E5:59,78:A5:04:41:E9:8A,BC:6A:29:BE:2F:54,78:A5:04:41:E9:D7,78:A5:04:41:E9:BE,78:A5:04:41:EB:D1,78:A5:04:41:E9:B3
1526448393585,-79,-74,-85,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448393771,-200,-200,-92,-68,-94,-78,-88,-68,-85,-76,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448393918,-77,-81,-200,-67,-200,-80,-92,-64,-200,-200,-200,-75,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526448398506,-200,-200,-200,-67,-95,-82,-200,-200,-200,-68,-200,-84,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526448398660,-77,-81,-200,-67,-200,-200,-200,-64,-88,-68,-200,-84,-200,-87,-86,-85,-99,-200,-200,-200,-200
1526448398739,-200,-82,-200,-67,-200,-200,-200,-64,-88,-68,-200,-84,-92,-87,-200,-200,-200,-200,-200,-200,-200
1526448398839,-77,-88,-97,-200,-200,-200,-200,-200,-88,-69,-200,-200,-92,-200,-200,-200,-200,-87,-200,-200,-200
1526448403488,-200,-88,-97,-200,-200,-79,-200,-200,-91,-200,-85,-200,-88,-200,-200,-200,-200,-87,-200,-200,-200
1526448403584,-200,-200,-97,-62,-200,-79,-200,-67,-200,-200,-86,-200,-89,-200,-84,-80,-94,-200,-83,-200,-200
1526448403722,-200,-89,-96,-62,-200,-200,-200,-67,-92,-200,-85,-200,-89,-91,-84,-80,-96,-200,-82,-200,-200
