,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:FD,78:A5:04:41:EB:AD,78:A5:04:41:E5:6B,78:A5:04:41:E9:D5,78:A5:04:41:E7:80,78:A5:04:41:E9:BF,78:A5:04:41:EB:97,78:A5:04:41:E7:D4,78:A5:04:41:EB:C3,78:A5:04:41:EB:BA,78:A5:04:41:E9:CD,78:A5:04:41:EB:9C,78:A5:04:41:E5:4E,78:A5:04:41:EB:80
1526453613772,-63,-86,-77,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453613886,-64,-86,-76,-200,-69,-89,-87,-200,-200,-200,-200,-200,-200,-200
1526453613996,-200,-86,-69,-79,-75,-200,-78,-90,-83,-89,-86,-200,-200,-200
1526453618834,-63,-200,-64,-77,-200,-200,-78,-200,-200,-200,-200,-79,-200,-200
1526453618938,-63,-200,-64,-77,-74,-200,-200,-200,-83,-89,-85,-79,-200,-200
1526453623669,-80,-200,-76,-79,-68,-200,-200,-90,-200,-92,-82,-86,-200,-200
1526453623772,-200,-200,-76,-79,-68,-200,-79,-89,-200,-200,-82,-88,-200,-200
1526453623883,-79,-200,-76,-79,-200,-200,-200,-90,-200,-200,-83,-200,-200,-200
1526453623993,-80,-200,-77,-79,-200,-200,-79,-90,-200,-200,-83,-200,-200,-200
1526453624091,-200,-200,-69,-80,-200,-200,-82,-92,-200,-200,-200,-88,-200,-200
1526453628777,-68,-88,-69,-200,-200,-200,-82,-91,-200,-200,-200,-89,-200,-200
1526453628910,-68,-87,-70,-200,-75,-92,-82,-200,-88,-200,-200,-88,-200,-200
1526453629019,-68,-200,-200,-90,-76,-92,-82,-200,-87,-200,-200,-88,-200,-200
1526453633708,-200,-89,-200,-77,-69,-200,-79,-200,-200,-200,-92,-200,-200,-200
1526453633820,-200,-200,-200,-200,-200,-200,-80,-200,-85,-200,-200,-82,-200,-200
1526453633944,-65,-200,-200,-200,-200,-90,-200,-200,-84,-200,-200,-82,-200,-200
1526453634050,-64,-200,-68,-78,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200
1526453638681,-80,-200,-81,-81,-68,-200,-81,-200,-200,-90,-200,-82,-200,-200
1526453638829,-200,-200,-81,-200,-68,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526453638923,-79,-200,-81,-200,-68,-200,-81,-88,-200,-200,-200,-82,-200,-200
1526453639030,-200,-200,-200,-200,-68,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526453639128,-200,-200,-200,-200,-68,-200,-200,-89,-200,-200,-88,-84,-200,-200
1526453643818,-78,-200,-84,-81,-69,-200,-82,-89,-200,-200,-87,-85,-200,-200
1526453644068,-78,-200,-84,-81,-69,-200,-200,-200,-200,-200,-200,-84,-200,-200
1526453644171,-78,-200,-68,-200,-200,-200,-200,-88,-89,-200,-200,-200,-200,-200
1526453648770,-69,-87,-200,-88,-76,-200,-82,-200,-200,-200,-200,-92,-200,-200
1526453648878,-69,-87,-68,-87,-76,-200,-82,-91,-200,-200,-200,-90,-200,-200
1526453648981,-69,-200,-200,-86,-76,-200,-81,-200,-200,-200,-200,-91,-92,-200
1526453649073,-69,-87,-200,-200,-200,-200,-80,-200,-90,-200,-200,-200,-200,-200
1526453653686,-66,-200,-200,-78,-200,-200,-81,-200,-87,-200,-200,-87,-200,-200
1526453653797,-66,-89,-68,-200,-69,-200,-82,-200,-86,-200,-200,-88,-200,-200
1526453653897,-66,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526453654008,-66,-90,-68,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453654113,-67,-200,-200,-200,-68,-200,-200,-200,-200,-200,-85,-89,-200,-200
1526453658714,-77,-91,-200,-200,-68,-200,-200,-88,-200,-200,-200,-79,-200,-200
1526453658813,-200,-90,-78,-80,-68,-200,-81,-89,-200,-200,-200,-79,-200,-200
1526453658964,-200,-200,-79,-200,-68,-200,-200,-200,-200,-86,-84,-79,-200,-92
1526453659016,-81,-87,-78,-84,-69,-200,-200,-200,-200,-200,-200,-79,-200,-200
1526453663731,-200,-200,-66,-84,-82,-200,-83,-200,-91,-200,-200,-93,-200,-200
1526453663836,-75,-86,-66,-84,-76,-200,-200,-200,-92,-200,-200,-94,-200,-200
1526453664045,-74,-200,-67,-84,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526453668704,-200,-200,-200,-79,-69,-200,-78,-200,-200,-92,-200,-82,-200,-200
1526453673688,-77,-200,-81,-84,-70,-200,-200,-200,-200,-200,-84,-78,-200,-200
1526453673778,-200,-200,-200,-85,-69,-200,-79,-200,-200,-200,-200,-200,-200,-89
1526453673891,-200,-200,-82,-85,-70,-200,-200,-88,-200,-88,-200,-77,-200,-90
1526453674003,-77,-200,-200,-200,-69,-200,-200,-200,-200,-200,-85,-78,-200,-200
