,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:80,78:A5:04:41:E9:BF,78:A5:04:41:E7:D4,78:A5:04:41:EB:AD,78:A5:04:41:E5:6B,78:A5:04:41:E9:FD,78:A5:04:41:EB:97,78:A5:04:41:EB:9C,78:A5:04:41:E9:D5,78:A5:04:41:E9:CD,78:A5:04:41:E5:4E,78:A5:04:41:EB:BA,78:A5:04:41:E7:85,78:A5:04:41:EB:80,78:A5:04:41:E9:AB,78:A5:04:41:EB:91,78:A5:04:41:E9:DA
1526454078778,-57,-83,-82,-88,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454078907,-200,-79,-200,-200,-69,-58,-79,-69,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526454079006,-200,-78,-200,-200,-66,-57,-80,-69,-200,-73,-88,-90,-200,-200,-200,-200,-200
1526454083675,-63,-200,-200,-90,-64,-68,-71,-69,-71,-74,-200,-200,-200,-200,-200,-200,-200
1526454083760,-63,-200,-200,-200,-200,-68,-71,-69,-200,-74,-200,-200,-200,-200,-200,-200,-200
1526454083874,-63,-200,-200,-200,-200,-68,-71,-69,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526454083979,-63,-84,-92,-200,-200,-68,-70,-200,-72,-75,-200,-200,-200,-200,-200,-200,-200
1526454084118,-58,-200,-200,-200,-63,-68,-200,-68,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526454088686,-56,-83,-200,-200,-200,-76,-200,-200,-79,-74,-200,-200,-200,-90,-200,-200,-200
1526454093712,-200,-200,-200,-200,-69,-58,-200,-200,-200,-200,-200,-88,-200,-200,-91,-200,-200
1526454093813,-200,-200,-200,-200,-200,-59,-64,-66,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526454093960,-59,-200,-200,-200,-200,-57,-66,-200,-76,-74,-200,-90,-200,-200,-200,-200,-200
1526454094052,-67,-82,-200,-200,-68,-200,-65,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526454098807,-68,-82,-200,-200,-68,-70,-83,-74,-68,-83,-200,-200,-200,-200,-200,-200,-200
1526454098918,-67,-82,-200,-90,-68,-200,-82,-74,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526454099024,-67,-83,-200,-200,-70,-70,-200,-200,-69,-84,-200,-200,-200,-200,-200,-200,-200
1526454103726,-200,-200,-200,-200,-70,-64,-89,-76,-82,-89,-200,-200,-200,-200,-200,-200,-200
1526454103826,-63,-200,-200,-200,-200,-65,-200,-77,-75,-200,-200,-200,-200,-200,-200,-200,-200
