,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:61,7C:66:9D:7B:47:3D,BC:6A:29:BE:2F:12,78:A5:04:41:EB:DD,78:A5:04:41:E7:93,78:A5:04:41:E7:A2
1526447263743,-96,-96,-101,-200,-200,-200
1526447263852,-97,-97,-200,-82,-75,-200
1526447268561,-200,-96,-200,-82,-76,-81
1526447268663,-200,-200,-200,-83,-75,-81
1526447268771,-200,-95,-200,-83,-200,-200
1526447268994,-200,-97,-102,-200,-79,-78
1526447273646,-200,-200,-200,-69,-78,-78
1526447273735,-200,-200,-200,-68,-78,-78
1526447273847,-200,-200,-100,-69,-79,-78
1526447273956,-200,-97,-200,-84,-200,-78
1526447278658,-98,-98,-200,-84,-74,-200
1526447278787,-200,-97,-200,-200,-200,-200
1526447278883,-99,-96,-200,-200,-200,-200
1526447278986,-100,-97,-200,-200,-200,-200
1526447279210,-200,-99,-200,-200,-76,-80
1526447283539,-200,-96,-200,-86,-76,-200
1526447283658,-200,-97,-200,-200,-78,-200
1526447283755,-200,-97,-200,-82,-79,-80
1526447283858,-96,-99,-200,-79,-82,-80
1526447288461,-96,-200,-200,-76,-76,-81
1526447288556,-96,-200,-200,-76,-76,-82
1526447288677,-99,-200,-200,-76,-77,-82
1526447288973,-97,-200,-98,-90,-75,-83
1526447293596,-200,-95,-200,-89,-200,-200
1526447293692,-95,-95,-96,-88,-200,-83
1526447293803,-96,-95,-200,-86,-200,-82
1526447298455,-200,-97,-200,-80,-72,-84
1526447298558,-200,-98,-200,-80,-72,-84
1526447298691,-200,-96,-200,-80,-72,-84
1526447298764,-200,-97,-200,-80,-72,-84
1526447298874,-200,-200,-200,-200,-200,-84
1526447303479,-200,-200,-200,-76,-84,-77
1526447303582,-200,-200,-99,-200,-85,-79
1526447303699,-200,-200,-200,-77,-84,-78
1526447303815,-200,-200,-200,-77,-84,-78
1526447308469,-200,-98,-200,-81,-77,-200
1526447308568,-200,-200,-200,-81,-77,-92
1526447308697,-99,-200,-200,-81,-77,-200
1526447308777,-200,-200,-200,-80,-77,-89
1526447308875,-200,-98,-100,-78,-77,-200
1526447313557,-200,-200,-99,-200,-200,-200
1526447313773,-200,-200,-101,-200,-200,-200
1526447313880,-200,-200,-101,-200,-200,-200
1526447313984,-200,-200,-99,-200,-200,-200
1526447314087,-200,-200,-99,-200,-90,-78
1526447314295,-200,-200,-100,-78,-200,-78
1526447318464,-97,-98,-200,-200,-77,-89
1526447318573,-99,-98,-101,-77,-77,-88
1526447318684,-98,-98,-200,-200,-77,-88
1526447318780,-200,-97,-200,-200,-77,-88
1526447318888,-96,-99,-200,-78,-200,-88
1526447323491,-200,-200,-200,-78,-200,-81
1526447323603,-200,-98,-200,-78,-72,-80
1526447323731,-200,-200,-102,-78,-73,-81
1526447323814,-200,-98,-200,-77,-72,-82
1526447328460,-200,-200,-102,-78,-200,-79
1526447328552,-200,-200,-200,-77,-93,-78
1526447328656,-200,-200,-101,-77,-200,-79
1526447328757,-200,-200,-100,-77,-92,-79
1526447328874,-200,-200,-200,-77,-90,-78
