,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0125.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,011a.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:D5,78:A5:04:41:E7:88,78:A5:04:41:E9:8A,F4:B8:5E:AA:7A:38,78:A5:04:41:E9:D7,78:A5:04:41:E9:EB,78:A5:04:41:E5:62,78:A5:04:41:E5:70,78:A5:04:41:EE:1D,78:A5:04:41:EB:FB,F4:B8:5E:AA:79:21,78:A5:04:41:E7:EF,BC:6A:29:BE:31:17,78:A5:04:41:E9:D2,78:A5:04:41:E5:34,78:A5:04:41:EB:98,78:A5:04:41:EB:CE,78:A5:04:41:E7:98,78:A5:04:41:E9:92,78:A5:04:41:EE:08,78:A5:04:41:E7:9D,78:A5:04:41:E9:AB,78:A5:04:41:EB:E8,78:A5:04:41:E9:BB,78:A5:04:41:E9:82,BC:6A:29:BE:31:7F,7C:66:9D:7B:47:FC,7C:66:9D:7B:2E:21,F4:B8:5E:AA:77:7E,78:A5:04:41:E9:BE,78:A5:04:41:E9:CB,78:A5:04:41:EE:15,78:A5:04:41:EB:D1,78:A5:04:41:E9:A0,78:A5:04:41:E9:B3,78:A5:04:41:E5:59
1526451268566,-90,-86,-82,-92,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451269639,-82,-76,-80,-200,-200,-69,-68,-84,-85,-80,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451270745,-200,-88,-200,-200,-77,-200,-58,-200,-200,-200,-200,-77,-92,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451271837,-200,-200,-74,-200,-74,-66,-67,-200,-200,-83,-200,-83,-200,-200,-92,-88,-82,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451274078,-86,-200,-81,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-80,-94,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451276265,-89,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-93,-94,-200,-200,-88,-85,-200,-86,-200,-200,-90,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451276355,-79,-200,-200,-200,-76,-200,-200,-200,-200,-83,-200,-200,-94,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451277454,-200,-200,-200,-200,-79,-200,-66,-95,-200,-200,-200,-79,-200,-200,-200,-200,-78,-200,-79,-200,-88,-200,-200,-93,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451278591,-200,-81,-90,-200,-76,-200,-63,-89,-200,-200,-200,-200,-97,-200,-200,-200,-200,-73,-200,-88,-200,-200,-89,-82,-91,-91,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451280742,-77,-200,-200,-200,-200,-200,-62,-200,-200,-84,-200,-200,-96,-81,-200,-200,-76,-200,-80,-89,-200,-84,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526451282957,-200,-77,-200,-200,-77,-72,-64,-90,-200,-82,-90,-77,-200,-91,-77,-86,-78,-83,-200,-200,-200,-200,-88,-200,-200,-200,-94,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526451284088,-75,-200,-200,-200,-200,-70,-200,-91,-200,-200,-95,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451285165,-200,-75,-86,-200,-200,-72,-200,-200,-200,-200,-85,-90,-200,-200,-78,-85,-77,-79,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526451286252,-200,-200,-200,-90,-78,-200,-66,-89,-200,-83,-200,-76,-200,-200,-200,-200,-200,-200,-85,-200,-82,-200,-200,-200,-200,-200,-200,-200,-88,-200,-92,-90,-200,-200,-200,-200
1526451286359,-80,-200,-200,-200,-200,-73,-66,-200,-200,-200,-200,-80,-200,-200,-200,-200,-77,-78,-84,-200,-200,-200,-200,-86,-89,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451287518,-78,-200,-200,-200,-200,-200,-62,-86,-200,-200,-86,-78,-200,-200,-200,-200,-78,-81,-88,-200,-84,-200,-200,-200,-89,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451288593,-200,-72,-90,-200,-200,-75,-63,-200,-200,-200,-200,-200,-200,-92,-72,-200,-79,-76,-200,-200,-200,-200,-84,-92,-200,-200,-200,-200,-94,-200,-200,-200,-91,-200,-200,-200
1526451291867,-81,-200,-200,-200,-200,-200,-66,-200,-200,-81,-90,-200,-200,-200,-78,-200,-74,-200,-84,-200,-200,-90,-200,-200,-90,-200,-200,-90,-95,-200,-88,-90,-200,-200,-200,-200
1526451292952,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-95,-91,-200,-200,-200,-200,-77,-76,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-93,-200,-200,-200,-200,-200
1526451294072,-81,-80,-200,-200,-80,-200,-200,-200,-88,-82,-200,-78,-200,-86,-200,-200,-200,-81,-200,-200,-81,-200,-200,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451295164,-83,-200,-200,-200,-82,-73,-200,-91,-91,-82,-200,-79,-200,-200,-85,-84,-78,-80,-86,-200,-84,-92,-200,-200,-200,-200,-200,-96,-200,-200,-88,-90,-93,-200,-200,-200
1526451296382,-200,-79,-200,-200,-200,-200,-200,-90,-200,-80,-200,-200,-200,-200,-81,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451297442,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-81,-79,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200
1526451298625,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526451299674,-200,-200,-200,-200,-82,-72,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-94,-200,-200,-200,-200,-200
1526451300787,-200,-200,-200,-200,-200,-69,-61,-200,-200,-85,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451301843,-82,-200,-200,-200,-77,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-74,-200,-200,-200,-92,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451301942,-200,-200,-200,-200,-80,-73,-200,-200,-89,-200,-200,-200,-93,-200,-200,-200,-200,-81,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451302987,-81,-200,-80,-91,-76,-73,-60,-90,-200,-80,-91,-78,-200,-200,-200,-81,-76,-80,-200,-200,-82,-200,-80,-86,-87,-200,-200,-200,-96,-97,-200,-200,-200,-200,-200,-200
1526451306242,-200,-200,-200,-200,-82,-71,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-79,-83,-200,-200,-92,-83,-200,-200,-200,-92,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526451306354,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-88,-79,-200,-200,-200,-200,-200,-76,-86,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-88,-91,-200,-200,-200,-200
