,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:EB,7C:66:9D:7B:47:FC,78:A5:04:41:E5:34,78:A5:04:41:E9:D7,BC:6A:29:BE:2F:54,7C:66:9D:7B:2E:21,78:A5:04:41:E9:8E,78:A5:04:41:E9:BE,78:A5:04:41:E9:B3,78:A5:04:41:EE:08,78:A5:04:41:E7:9D,78:A5:04:41:E9:BB,78:A5:04:41:EB:DF,78:A5:04:41:E9:A0,BC:6A:29:BE:31:17,78:A5:04:41:EB:D1,78:A5:04:41:E9:D2,78:A5:04:41:EB:D8,78:A5:04:41:E9:A7,78:A5:04:41:EB:FE,78:A5:04:41:E9:F3,78:A5:04:41:E5:3E,78:A5:04:41:E9:82,78:A5:04:41:E9:8A,78:A5:04:41:EB:FB,BC:6A:29:BE:31:7F,78:A5:04:41:E9:98,78:A5:04:41:E9:92,78:A5:04:41:E5:59,78:A5:04:41:EB:E8,78:A5:04:41:E9:FB,78:A5:04:41:EB:AA,78:A5:04:41:E5:62,78:A5:04:41:E9:CB,78:A5:04:41:E9:C8,78:A5:04:41:E9:E0,78:A5:04:41:EB:94,78:A5:04:41:EB:F1
1526450437845,-82,-81,-75,-88,-90,-74,-90,-91,-80,-73,-75,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450438940,-200,-200,-72,-86,-200,-200,-82,-200,-200,-73,-200,-200,-88,-84,-86,-75,-88,-89,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450440068,-200,-200,-77,-200,-200,-200,-80,-86,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450441139,-82,-200,-200,-200,-91,-73,-200,-200,-83,-200,-200,-200,-200,-200,-93,-73,-200,-94,-200,-200,-200,-92,-70,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450442244,-200,-82,-79,-200,-200,-79,-200,-90,-83,-71,-72,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-68,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450443355,-200,-77,-78,-200,-86,-73,-200,-83,-90,-200,-70,-200,-200,-81,-88,-200,-200,-200,-200,-88,-92,-200,-68,-200,-200,-70,-92,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450445556,-200,-200,-200,-200,-97,-79,-200,-200,-79,-200,-200,-80,-200,-200,-200,-200,-91,-90,-200,-200,-85,-200,-200,-200,-89,-200,-200,-88,-200,-73,-93,-200,-200,-200,-200,-200,-200,-200
1526450445654,-200,-80,-200,-200,-200,-78,-200,-200,-200,-200,-200,-79,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-86,-200,-74,-90,-91,-91,-88,-200,-200,-200,-200
1526450446843,-200,-87,-200,-200,-84,-80,-200,-200,-200,-200,-200,-200,-96,-86,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-77,-200,-200,-200,-88,-200,-200,-200,-200
