,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,BC:6A:29:BE:31:7F,78:A5:04:41:E9:D2,78:A5:04:41:E9:92,7C:66:9D:7B:47:FC,78:A5:04:41:EB:AA,78:A5:04:41:EB:D1,78:A5:04:41:E9:82,78:A5:04:41:EE:08,78:A5:04:41:E5:59,78:A5:04:41:EB:FB,7C:66:9D:7B:2E:21,78:A5:04:41:EB:E8,78:A5:04:41:E9:8E,78:A5:04:41:E9:B3,78:A5:04:41:E9:C8,78:A5:04:41:E9:F3,78:A5:04:41:E9:A0,78:A5:04:41:E5:34,78:A5:04:41:E7:9D,78:A5:04:41:E9:D7,78:A5:04:41:E9:A7,78:A5:04:41:E9:CB,78:A5:04:41:EB:D8,78:A5:04:41:E5:62,BC:6A:29:BE:31:17,78:A5:04:41:E9:FB,78:A5:04:41:E9:EB,78:A5:04:41:EB:DF,78:A5:04:41:E9:BB,BC:6A:29:BE:2F:54,78:A5:04:41:E9:BE,78:A5:04:41:E5:3E,78:A5:04:41:E9:8A,78:A5:04:41:EB:FE,78:A5:04:41:EB:94
1526450877145,-60,-76,-78,-89,-93,-84,-69,-77,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450878315,-200,-94,-91,-75,-200,-200,-200,-200,-200,-95,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450879378,-200,-200,-200,-81,-200,-79,-67,-81,-200,-83,-200,-74,-74,-86,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450880467,-57,-91,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-80,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450881541,-57,-83,-200,-76,-200,-86,-67,-200,-200,-200,-81,-200,-76,-200,-200,-200,-85,-74,-83,-88,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450881687,-200,-80,-200,-81,-200,-75,-65,-87,-200,-200,-200,-200,-76,-87,-200,-200,-200,-200,-200,-200,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450882826,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-77,-77,-200,-200,-200,-200,-75,-200,-200,-92,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450883878,-200,-200,-200,-83,-200,-78,-58,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450884945,-200,-81,-200,-79,-200,-80,-60,-200,-200,-200,-200,-79,-86,-200,-200,-200,-200,-200,-84,-88,-200,-200,-200,-91,-94,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
