,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:F1,78:A5:04:41:E5:3E,78:A5:04:41:EB:D1,78:A5:04:41:E9:B3,78:A5:04:41:E9:E3,BC:6A:29:BE:31:7F,78:A5:04:41:E9:92,78:A5:04:41:E9:A5,78:A5:04:41:E9:8E,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D4,78:A5:04:41:E9:BE,78:A5:04:41:E7:A7,78:A5:04:41:E9:A0,78:A5:04:41:E5:34,78:A5:04:41:E9:82,78:A5:04:41:E9:D2,78:A5:04:41:E9:BB,78:A5:04:41:EB:E8,78:A5:04:41:EE:08,7C:66:9D:7B:2E:21,BC:6A:29:BE:2F:54,BC:6A:29:BE:31:17,78:A5:04:41:E9:F3,78:A5:04:41:E5:59,78:A5:04:41:E5:62,78:A5:04:41:E7:9D,78:A5:04:41:E9:CB,78:A5:04:41:EB:AC,78:A5:04:41:EB:FB,78:A5:04:41:E9:98,78:A5:04:41:EB:AB,78:A5:04:41:EB:AA,78:A5:04:41:EB:E4,78:A5:04:41:E9:C8,78:A5:04:41:EB:FE,78:A5:04:41:E9:8A,78:A5:04:41:E7:FE,78:A5:04:41:E9:A7,78:A5:04:41:EB:A5,78:A5:04:41:EE:0A,78:A5:04:41:EB:B5,78:A5:04:41:E9:D7,78:A5:04:41:EB:D8,78:A5:04:41:EB:DF,78:A5:04:41:EB:B2,78:A5:04:41:E9:EB,78:A5:04:41:E9:FB
1526447454182,-92,-78,-71,-76,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447456323,-200,-87,-200,-78,-200,-88,-93,-93,-65,-76,-85,-62,-86,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447458473,-200,-77,-200,-200,-200,-200,-200,-200,-78,-200,-200,-65,-200,-200,-85,-93,-81,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447459594,-200,-80,-200,-200,-200,-86,-200,-200,-73,-74,-200,-61,-200,-200,-85,-200,-83,-74,-73,-72,-77,-80,-81,-65,-78,-96,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447460816,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-78,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-80,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447461891,-200,-77,-200,-200,-200,-90,-200,-200,-69,-200,-200,-60,-85,-200,-78,-86,-83,-76,-81,-69,-200,-200,-82,-200,-67,-200,-74,-200,-82,-75,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447464054,-200,-77,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-83,-76,-200,-200,-75,-200,-90,-66,-79,-200,-200,-200,-200,-79,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447465169,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-76,-200,-200,-200,-200,-200,-74,-200,-200,-81,-73,-78,-200,-200,-200,-200,-75,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447466278,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-81,-200,-72,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
