,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:C8,78:A5:04:41:EB:AC,78:A5:04:41:E9:E3,78:A5:04:41:E5:3E,78:A5:04:41:E9:8E,78:A5:04:41:EE:08,78:A5:04:41:E7:A7,78:A5:04:41:E5:34,78:A5:04:41:EB:B5,78:A5:04:41:E5:59,78:A5:04:41:EB:94,78:A5:04:41:E9:82,78:A5:04:41:E9:BB,78:A5:04:41:E9:B3,78:A5:04:41:EB:AA,78:A5:04:41:E9:D2,7C:66:9D:7B:2E:21,78:A5:04:41:E9:A0,78:A5:04:41:E9:BE,78:A5:04:41:E9:F3,78:A5:04:41:EB:D1,BC:6A:29:BE:2F:54,BC:6A:29:BE:31:17,BC:6A:29:BE:31:7F,7C:66:9D:7B:47:FC,78:A5:04:41:E9:CB,78:A5:04:41:E9:92,78:A5:04:41:E9:D7,78:A5:04:41:E7:9D,78:A5:04:41:EB:E8,78:A5:04:41:E9:A5,78:A5:04:41:EB:E4,78:A5:04:41:E9:98,78:A5:04:41:E7:FE,78:A5:04:41:EB:D8,78:A5:04:41:EB:FE,78:A5:04:41:EE:0A,78:A5:04:41:EB:FB,78:A5:04:41:EB:D4,78:A5:04:41:EB:A5,78:A5:04:41:EB:85,78:A5:04:41:E9:A7,78:A5:04:41:E9:FB
1526447698170,-79,-95,-78,-84,-73,-90,-91,-87,-97,-63,-95,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447699256,-73,-200,-200,-200,-200,-200,-200,-79,-200,-70,-200,-76,-79,-78,-82,-75,-77,-84,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447700358,-73,-200,-200,-79,-200,-72,-93,-200,-200,-200,-200,-77,-82,-200,-200,-77,-200,-82,-70,-64,-78,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447701477,-85,-200,-200,-200,-200,-200,-89,-81,-200,-64,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-94,-84,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447702557,-76,-200,-77,-200,-200,-68,-200,-200,-200,-67,-92,-80,-92,-200,-87,-200,-200,-84,-68,-70,-200,-89,-200,-93,-90,-200,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447702731,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-73,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447703770,-80,-200,-78,-83,-75,-200,-200,-200,-200,-64,-200,-200,-200,-77,-90,-75,-200,-77,-200,-200,-200,-92,-200,-94,-74,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447704851,-76,-200,-200,-200,-69,-200,-87,-200,-200,-200,-200,-200,-82,-73,-200,-86,-200,-200,-66,-200,-82,-90,-200,-88,-200,-200,-200,-200,-200,-79,-200,-87,-93,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447707076,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-78,-88,-81,-200,-200,-75,-200,-94,-79,-86,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
