,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:BB,78:A5:04:41:E9:B3,78:A5:04:41:EB:E8,78:A5:04:41:EE:0A,7C:66:9D:7B:2E:21,78:A5:04:41:E9:C8,78:A5:04:41:EB:D1,BC:6A:29:BE:31:7F,78:A5:04:41:E5:59,78:A5:04:41:EB:AA,BC:6A:29:BE:2F:54,78:A5:04:41:EB:FB,78:A5:04:41:EB:D4,78:A5:04:41:E7:A7,78:A5:04:41:EB:D8,78:A5:04:41:E9:8E,BC:6A:29:BE:31:17,78:A5:04:41:E7:9D,78:A5:04:41:EB:B2,78:A5:04:41:E9:CB,78:A5:04:41:EE:08,78:A5:04:41:E5:34,7C:66:9D:7B:47:FC,78:A5:04:41:E9:BE,78:A5:04:41:EB:A5,78:A5:04:41:E9:A0,78:A5:04:41:E9:8A,78:A5:04:41:EB:FE,78:A5:04:41:E9:82,78:A5:04:41:E9:98,78:A5:04:41:EB:E4,78:A5:04:41:EB:B5,78:A5:04:41:EB:AC,78:A5:04:41:E9:E3,78:A5:04:41:E9:A5,78:A5:04:41:E9:D2,78:A5:04:41:EB:94,78:A5:04:41:E9:F3,78:A5:04:41:E5:62,78:A5:04:41:EB:B7,78:A5:04:41:E7:FE,78:A5:04:41:E5:3E,78:A5:04:41:E9:FB,78:A5:04:41:E9:EB,78:A5:04:41:E9:D7,78:A5:04:41:E5:77
1526449230851,-94,-68,-79,-96,-77,-94,-81,-86,-71,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449232000,-92,-66,-200,-200,-200,-200,-80,-84,-76,-200,-200,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449234196,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-82,-200,-85,-86,-61,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449235278,-200,-200,-200,-200,-78,-200,-80,-200,-75,-200,-79,-200,-200,-200,-96,-200,-200,-83,-92,-87,-77,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449236373,-90,-68,-200,-200,-73,-200,-81,-84,-72,-200,-79,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-83,-200,-70,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449238570,-92,-200,-200,-200,-79,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-77,-200,-200,-70,-200,-90,-94,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449238677,-200,-68,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449239768,-200,-67,-200,-200,-72,-200,-79,-200,-200,-200,-79,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-74,-74,-200,-200,-200,-200,-200,-92,-92,-88,-93,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526449240876,-200,-67,-200,-200,-79,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-83,-200,-87,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
