,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:DA,78:A5:04:41:EB:9C,78:A5:04:41:E5:4E,78:A5:04:41:EB:97,78:A5:04:41:E9:D5,78:A5:04:41:E5:6B,78:A5:04:41:E9:B4,78:A5:04:41:E9:FD,78:A5:04:41:EB:C3,78:A5:04:41:EB:AD,78:A5:04:41:E7:85,78:A5:04:41:E9:CD,78:A5:04:41:EB:BA,78:A5:04:41:E7:D4,78:A5:04:41:EB:80,78:A5:04:41:E7:80,78:A5:04:41:E9:BF,78:A5:04:41:EB:91,78:A5:04:41:EB:8B,78:A5:04:41:E9:AB,78:A5:04:41:EE:06,78:A5:04:41:E9:CC
1526455250359,-84,-81,-92,-80,-82,-77,-92,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455252566,-83,-200,-86,-84,-82,-83,-87,-78,-83,-92,-84,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455253709,-200,-85,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455254769,-200,-89,-86,-80,-88,-200,-200,-200,-82,-90,-200,-200,-200,-90,-93,-200,-200,-200,-200,-200,-200,-200
1526455255874,-88,-86,-200,-200,-79,-200,-200,-78,-80,-200,-200,-200,-200,-200,-200,-84,-102,-200,-200,-200,-200,-200
1526455257016,-83,-200,-86,-81,-81,-77,-84,-81,-200,-200,-200,-65,-88,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526455259268,-200,-87,-85,-82,-88,-200,-90,-78,-200,-89,-200,-60,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526455260373,-200,-200,-200,-81,-200,-76,-200,-81,-84,-200,-200,-200,-200,-200,-200,-85,-91,-200,-200,-200,-200,-200
1526455261478,-200,-200,-200,-200,-76,-200,-200,-200,-80,-200,-200,-68,-84,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526455262563,-200,-82,-200,-200,-85,-82,-88,-76,-79,-200,-85,-61,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526455263698,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455264744,-200,-84,-86,-81,-77,-70,-200,-200,-81,-200,-200,-200,-80,-87,-93,-200,-200,-92,-93,-200,-200,-200
1526455266973,-200,-200,-200,-83,-200,-75,-200,-200,-200,-200,-81,-200,-87,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526455268067,-93,-200,-200,-200,-79,-70,-200,-200,-87,-200,-200,-59,-90,-84,-200,-86,-200,-200,-91,-200,-200,-200
1526455269186,-200,-84,-82,-83,-200,-200,-93,-82,-87,-200,-200,-200,-85,-91,-200,-83,-200,-200,-200,-200,-200,-200
1526455270349,-200,-200,-91,-200,-79,-71,-87,-200,-200,-200,-81,-200,-86,-88,-200,-85,-200,-200,-200,-200,-200,-200
1526455272470,-92,-200,-88,-200,-200,-79,-91,-78,-200,-88,-200,-74,-87,-200,-200,-87,-200,-200,-200,-96,-200,-200
1526455273608,-200,-200,-85,-80,-200,-200,-200,-200,-200,-200,-85,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455274690,-90,-200,-200,-200,-200,-70,-90,-77,-82,-200,-200,-69,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455275771,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-82,-63,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526455276848,-200,-200,-84,-200,-200,-72,-80,-79,-200,-81,-90,-200,-200,-200,-93,-200,-200,-200,-200,-95,-200,-200
1526455277970,-84,-82,-86,-200,-200,-200,-84,-200,-88,-200,-81,-68,-200,-86,-200,-93,-200,-200,-200,-200,-200,-200
1526455279080,-88,-200,-200,-200,-86,-200,-81,-200,-80,-93,-85,-61,-200,-92,-200,-200,-200,-200,-93,-200,-96,-92
1526455280256,-200,-88,-82,-84,-200,-200,-200,-80,-200,-200,-83,-70,-200,-200,-200,-200,-200,-200,-92,-200,-200,-92
1526455281296,-200,-200,-200,-200,-89,-75,-87,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-94
1526455282371,-82,-200,-200,-80,-200,-75,-80,-74,-87,-92,-200,-61,-83,-87,-90,-200,-200,-200,-92,-200,-200,-200
1526455284607,-83,-200,-89,-80,-200,-74,-92,-200,-200,-200,-200,-66,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526455285663,-90,-84,-200,-200,-85,-200,-83,-200,-200,-90,-80,-65,-86,-89,-200,-82,-200,-200,-200,-90,-200,-200
1526455287861,-84,-200,-200,-200,-90,-74,-200,-83,-200,-200,-92,-66,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526455289056,-200,-200,-86,-200,-85,-86,-85,-78,-200,-200,-200,-200,-93,-200,-200,-86,-200,-200,-200,-200,-200,-200
1526455290167,-200,-200,-200,-200,-86,-76,-200,-80,-200,-84,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526455291315,-89,-200,-88,-82,-80,-71,-86,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455292403,-90,-200,-88,-80,-86,-76,-200,-83,-81,-88,-83,-60,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526455294610,-200,-200,-88,-81,-85,-74,-82,-76,-200,-84,-200,-61,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526455295749,-200,-200,-200,-200,-85,-200,-200,-81,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455296801,-200,-200,-200,-200,-79,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455296906,-200,-200,-87,-200,-78,-76,-84,-73,-200,-200,-89,-64,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526455299024,-200,-200,-200,-200,-200,-80,-200,-78,-200,-83,-200,-66,-86,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526455300084,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-66,-200,-86,-89,-86,-200,-200,-200,-200,-200,-200
1526455301196,-200,-200,-200,-200,-200,-200,-200,-74,-200,-88,-200,-200,-200,-200,-87,-200,-200,-200,-200,-92,-200,-200
1526455302253,-200,-200,-88,-200,-82,-200,-200,-200,-200,-200,-200,-61,-200,-200,-86,-200,-200,-200,-87,-200,-97,-200
1526455303389,-200,-200,-200,-88,-200,-200,-83,-77,-200,-200,-200,-200,-80,-200,-93,-200,-200,-200,-89,-94,-200,-200
1526455304453,-89,-200,-200,-200,-83,-200,-88,-200,-86,-87,-200,-68,-80,-93,-90,-79,-200,-200,-200,-200,-200,-200
1526455305561,-200,-200,-88,-87,-200,-200,-92,-75,-200,-83,-200,-61,-200,-200,-200,-86,-94,-200,-200,-200,-200,-200
1526455306670,-200,-84,-200,-81,-200,-200,-200,-200,-88,-90,-200,-63,-200,-89,-93,-200,-200,-200,-200,-200,-200,-200
1526455307748,-200,-90,-200,-82,-81,-81,-200,-200,-94,-87,-80,-71,-85,-200,-85,-200,-200,-200,-88,-200,-200,-200
1526455308874,-92,-200,-200,-200,-82,-78,-86,-74,-200,-200,-81,-63,-200,-86,-200,-91,-200,-200,-90,-200,-200,-200
1526455310006,-92,-200,-200,-82,-81,-200,-88,-200,-200,-200,-90,-200,-200,-200,-96,-200,-200,-200,-86,-200,-200,-200
1526455310114,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-92,-70,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526455311165,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-80,-61,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526455312307,-200,-200,-200,-82,-200,-77,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526455313394,-200,-200,-86,-83,-200,-200,-200,-200,-200,-200,-200,-65,-200,-91,-87,-200,-200,-200,-200,-200,-200,-200
