,0123.0012-vlucci.com A1.4.0.1,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,F4:B8:5E:AA:77:5C,F4:B8:5E:AA:79:07,78:A5:04:41:E9:D3,F4:B8:5E:AA:7A:97,78:A5:04:41:EB:91,78:A5:04:41:E9:D5,78:A5:04:41:E5:4E,78:A5:04:41:E9:BF,7C:66:9D:7B:2D:79,78:A5:04:41:E9:CB
1526461577096,-97,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526461577198,-98,-79,-79,-89,-93,-100,-200,-200,-200,-200
1526461577415,-94,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526461581947,-72,-200,-74,-200,-200,-200,-88,-85,-200,-200
1526461582043,-72,-200,-200,-200,-85,-200,-87,-85,-200,-200
1526461582164,-70,-200,-74,-200,-200,-200,-86,-86,-200,-200
1526461582271,-70,-78,-75,-200,-86,-200,-87,-86,-200,-200
1526461582376,-72,-77,-75,-90,-200,-200,-88,-85,-200,-200
1526461582484,-72,-78,-75,-200,-200,-200,-87,-200,-96,-200
1526461587106,-73,-200,-200,-200,-200,-200,-85,-200,-200,-200
1526461587215,-73,-200,-72,-200,-84,-200,-85,-200,-200,-200
1526461587319,-73,-200,-200,-85,-200,-200,-84,-200,-200,-200
1526461587426,-73,-75,-72,-200,-200,-200,-85,-200,-200,-200
1526461591962,-78,-200,-84,-89,-200,-200,-200,-200,-200,-200
1526461592056,-78,-74,-200,-88,-90,-101,-89,-200,-200,-200
1526461592201,-78,-75,-85,-88,-90,-200,-88,-200,-200,-200
1526461592307,-200,-75,-75,-88,-89,-200,-89,-200,-200,-200
1526461596059,-200,-80,-75,-200,-91,-200,-84,-200,-200,-200
1526461596310,-73,-200,-75,-200,-89,-200,-200,-85,-200,-200
1526461596442,-72,-81,-75,-200,-200,-200,-86,-88,-200,-200
1526461596574,-74,-82,-75,-92,-200,-200,-200,-87,-200,-200
1526461596731,-74,-81,-75,-200,-88,-200,-86,-200,-200,-200
1526461596836,-74,-82,-76,-93,-91,-200,-85,-89,-200,-200
1526461596942,-75,-80,-73,-200,-200,-200,-85,-93,-200,-200
1526461597128,-71,-82,-200,-200,-83,-200,-200,-92,-200,-200
1526461597260,-72,-84,-73,-87,-82,-96,-85,-90,-200,-200
1526461597385,-77,-84,-73,-88,-83,-200,-83,-90,-200,-200
1526461597492,-77,-79,-76,-200,-200,-200,-82,-200,-200,-200
1526461597630,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526461597731,-76,-74,-200,-89,-80,-200,-200,-86,-200,-200
1526461597899,-76,-74,-71,-200,-200,-200,-83,-200,-200,-200
1526461598112,-80,-200,-200,-87,-200,-200,-82,-200,-200,-200
1526461598267,-76,-200,-72,-200,-80,-200,-81,-200,-200,-200
1526461598480,-76,-73,-200,-200,-200,-200,-82,-200,-200,-200
1526461598636,-77,-200,-71,-200,-200,-200,-200,-200,-200,-200
1526461598757,-75,-200,-70,-200,-200,-200,-83,-200,-200,-200
1526461598892,-75,-200,-72,-200,-80,-200,-83,-87,-200,-200
1526461599045,-79,-76,-71,-200,-200,-200,-84,-200,-200,-200
1526461599201,-200,-74,-71,-200,-200,-200,-200,-200,-200,-200
1526461599286,-77,-75,-71,-90,-80,-200,-84,-89,-200,-200
1526461599390,-200,-75,-71,-200,-200,-200,-85,-200,-200,-200
1526461599528,-72,-77,-200,-200,-80,-200,-200,-88,-200,-200
1526461599726,-200,-79,-200,-200,-79,-200,-85,-90,-200,-200
1526461599841,-74,-80,-72,-92,-80,-200,-84,-200,-200,-98
1526461599951,-200,-200,-200,-200,-200,-200,-85,-90,-200,-200
1526461600057,-74,-200,-71,-92,-200,-200,-85,-200,-200,-200
1526461600186,-200,-78,-72,-90,-80,-200,-83,-200,-200,-200
1526461600389,-200,-77,-72,-200,-79,-200,-200,-89,-200,-200
1526461600557,-200,-200,-72,-200,-80,-200,-200,-88,-200,-200
1526461600746,-77,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526461600818,-76,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526461600917,-75,-77,-200,-88,-79,-200,-83,-91,-200,-200
1526461601227,-74,-200,-71,-200,-82,-200,-200,-200,-200,-200
1526461601463,-200,-200,-72,-88,-84,-200,-200,-200,-200,-200
1526461601564,-73,-79,-72,-200,-87,-200,-84,-200,-200,-200
1526461601757,-73,-200,-200,-200,-200,-200,-85,-91,-200,-200
1526461601972,-72,-200,-73,-200,-200,-200,-86,-87,-200,-200
1526461602085,-74,-200,-73,-93,-200,-200,-85,-200,-200,-200
1526461602179,-75,-80,-73,-93,-200,-200,-85,-88,-200,-200
1526461602288,-74,-200,-71,-93,-200,-200,-200,-87,-200,-200
1526461602390,-74,-78,-73,-200,-94,-98,-86,-88,-200,-200
1526461602500,-74,-81,-71,-92,-95,-200,-85,-91,-200,-200
1526461607120,-74,-200,-200,-92,-95,-200,-83,-89,-200,-200
1526461607260,-200,-81,-72,-94,-93,-200,-200,-200,-200,-200
1526461607401,-75,-80,-71,-95,-89,-200,-84,-90,-200,-200
1526461611944,-200,-82,-81,-89,-200,-200,-92,-200,-200,-200
1526461612233,-200,-200,-84,-200,-91,-200,-93,-200,-200,-200
1526461612337,-200,-81,-85,-89,-91,-200,-200,-200,-200,-200
1526461612463,-200,-80,-73,-200,-200,-200,-200,-85,-200,-200
1526461617041,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200
1526461617148,-200,-200,-73,-200,-200,-200,-89,-200,-200,-200
1526461617249,-200,-81,-73,-200,-88,-200,-200,-86,-200,-200
1526461617358,-200,-200,-73,-200,-87,-200,-200,-85,-200,-200
1526461617458,-75,-86,-73,-200,-200,-200,-86,-86,-200,-200
1526461622141,-200,-86,-72,-200,-200,-200,-200,-200,-200,-200
1526461622267,-200,-86,-200,-200,-200,-200,-85,-200,-200,-200
1526461622356,-74,-87,-200,-88,-200,-200,-200,-200,-200,-200
1526461622459,-84,-87,-80,-88,-94,-102,-91,-200,-200,-200
1526461627178,-86,-78,-80,-90,-200,-200,-200,-200,-200,-200
1526461627375,-200,-77,-80,-200,-200,-200,-200,-200,-200,-200
1526461627475,-200,-200,-81,-200,-91,-200,-86,-200,-200,-200
1526461632073,-72,-79,-75,-90,-91,-200,-86,-86,-200,-200
1526461632144,-73,-80,-74,-200,-200,-200,-86,-200,-200,-200
1526461632246,-72,-80,-75,-90,-91,-200,-86,-86,-200,-200
1526461632395,-73,-80,-75,-200,-200,-200,-87,-85,-200,-200
1526461632501,-73,-200,-200,-200,-200,-200,-86,-200,-200,-200
1526461636934,-75,-88,-200,-200,-200,-200,-84,-200,-200,-200
1526461637053,-75,-90,-75,-200,-88,-200,-200,-200,-200,-200
1526461637145,-74,-89,-200,-200,-90,-200,-200,-96,-200,-200
1526461637250,-75,-89,-75,-88,-89,-200,-86,-200,-200,-200
1526461637419,-75,-89,-200,-87,-88,-200,-200,-200,-200,-200
