,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:75,78:A5:04:41:E9:E8,78:A5:04:41:EE:01,78:A5:04:41:E9:F7,78:A5:04:41:E7:9C,78:A5:04:41:E9:8C,78:A5:04:41:EB:93,78:A5:04:41:EB:FC,78:A5:04:41:E9:E7,78:A5:04:41:EB:F6,78:A5:04:41:E9:DF,78:A5:04:41:EB:EC,78:A5:04:41:E7:A3,78:A5:04:41:EB:CA,78:A5:04:41:E5:67,78:A5:04:41:EB:D9,78:A5:04:41:E7:84,78:A5:04:41:EB:B1,78:A5:04:41:E9:9B
1526443167651,-67,-96,-88,-89,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443167757,-68,-200,-87,-89,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443167864,-68,-200,-200,-200,-200,-91,-84,-67,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443167965,-68,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443168071,-67,-200,-200,-76,-67,-98,-200,-64,-87,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526443172620,-67,-200,-94,-200,-67,-200,-88,-64,-87,-200,-73,-95,-95,-200,-200,-200,-200,-200,-200
1526443172747,-67,-200,-200,-75,-67,-200,-200,-64,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526443172849,-68,-200,-200,-76,-67,-200,-200,-64,-87,-95,-73,-96,-200,-200,-200,-200,-200,-200,-200
1526443172963,-69,-200,-200,-75,-68,-98,-200,-64,-200,-200,-73,-97,-200,-93,-89,-200,-200,-200,-200
1526443177480,-200,-200,-94,-80,-200,-200,-82,-72,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526443177597,-76,-200,-93,-80,-70,-200,-83,-74,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526443177692,-76,-200,-200,-200,-69,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443177798,-76,-200,-200,-79,-71,-200,-82,-200,-200,-200,-85,-200,-200,-200,-98,-95,-200,-200,-200
1526443177917,-200,-200,-96,-79,-200,-200,-84,-200,-95,-200,-85,-200,-200,-200,-97,-200,-200,-200,-200
1526443178024,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-84,-200,-200,-200,-200,-96,-200,-200,-200
1526443182531,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526443182644,-200,-200,-200,-200,-200,-200,-84,-200,-90,-200,-82,-200,-92,-200,-200,-200,-90,-200,-200
1526443182795,-67,-200,-90,-200,-200,-92,-84,-66,-89,-200,-200,-200,-93,-200,-91,-200,-91,-200,-200
1526443182892,-200,-200,-89,-87,-67,-92,-84,-66,-200,-200,-83,-200,-92,-200,-200,-200,-200,-200,-200
1526443187491,-68,-200,-200,-76,-67,-200,-200,-63,-200,-200,-73,-200,-97,-89,-88,-200,-200,-200,-200
1526443187605,-66,-200,-200,-76,-67,-200,-200,-63,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526443187711,-68,-200,-200,-76,-66,-200,-200,-63,-200,-200,-73,-200,-200,-200,-87,-99,-200,-200,-200
1526443187817,-200,-200,-200,-200,-67,-200,-200,-63,-88,-94,-73,-200,-200,-200,-200,-200,-200,-94,-200
1526443187917,-68,-200,-200,-76,-67,-200,-86,-200,-87,-200,-74,-200,-97,-89,-88,-200,-200,-200,-200
1526443188019,-68,-200,-93,-77,-71,-200,-83,-200,-200,-200,-74,-96,-200,-90,-200,-200,-200,-200,-200
1526443192532,-76,-200,-200,-80,-72,-200,-200,-74,-95,-200,-90,-97,-200,-200,-200,-93,-200,-200,-200
1526443192683,-75,-200,-200,-80,-71,-200,-200,-74,-200,-200,-91,-96,-200,-200,-200,-92,-200,-200,-200
1526443192780,-75,-200,-200,-80,-71,-200,-200,-74,-95,-200,-88,-96,-200,-200,-200,-93,-200,-200,-200
1526443192901,-75,-200,-200,-80,-71,-200,-83,-74,-96,-200,-89,-95,-200,-200,-200,-92,-200,-200,-200
1526443192999,-75,-200,-200,-80,-71,-200,-200,-65,-200,-200,-200,-95,-200,-200,-200,-200,-91,-200,-200
1526443197518,-67,-200,-90,-200,-71,-91,-84,-65,-90,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526443197666,-67,-200,-92,-200,-70,-91,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443197751,-68,-200,-200,-87,-200,-93,-200,-66,-200,-200,-85,-200,-94,-200,-200,-200,-200,-200,-200
1526443197933,-67,-200,-200,-86,-200,-200,-84,-50,-200,-200,-85,-200,-200,-200,-200,-200,-92,-200,-200
1526443198045,-69,-200,-200,-86,-68,-200,-84,-63,-200,-200,-75,-200,-200,-200,-87,-200,-200,-200,-95
1526443202632,-68,-200,-200,-200,-67,-200,-87,-61,-88,-200,-75,-200,-96,-200,-87,-200,-200,-200,-200
1526443202748,-69,-200,-200,-200,-68,-200,-88,-63,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-96
1526443202839,-69,-200,-200,-76,-67,-200,-87,-63,-200,-200,-75,-96,-200,-200,-200,-200,-200,-200,-200
1526443202950,-200,-200,-200,-75,-67,-200,-87,-63,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-95
1526443203067,-200,-200,-200,-75,-67,-200,-88,-62,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526443207477,-200,-200,-200,-81,-200,-200,-83,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443207623,-76,-200,-200,-80,-72,-200,-200,-75,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526443207785,-76,-200,-92,-80,-71,-200,-83,-200,-96,-200,-89,-200,-200,-200,-200,-92,-200,-200,-200
1526443207885,-75,-200,-93,-80,-71,-200,-83,-75,-92,-200,-200,-96,-200,-200,-97,-200,-200,-200,-200
1526443207993,-76,-200,-92,-80,-71,-200,-82,-74,-95,-200,-89,-94,-200,-200,-98,-93,-200,-200,-200
1526443212481,-67,-200,-92,-88,-72,-200,-83,-65,-90,-200,-200,-200,-200,-200,-91,-200,-90,-200,-200
1526443212585,-200,-200,-200,-88,-72,-93,-200,-63,-89,-200,-84,-93,-200,-200,-200,-94,-92,-200,-200
1526443212692,-68,-200,-200,-88,-73,-92,-200,-65,-88,-200,-85,-200,-200,-200,-91,-200,-200,-200,-200
1526443212814,-67,-200,-200,-89,-72,-200,-200,-66,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526443213018,-200,-200,-200,-90,-73,-92,-84,-65,-88,-95,-84,-94,-200,-200,-91,-200,-200,-200,-200
1526443217515,-68,-200,-200,-76,-68,-200,-200,-200,-88,-200,-74,-94,-200,-200,-200,-200,-200,-200,-200
1526443217628,-68,-200,-200,-75,-68,-200,-200,-63,-89,-200,-75,-200,-95,-89,-200,-200,-200,-200,-200
1526443217722,-69,-200,-200,-200,-67,-200,-87,-63,-88,-98,-200,-200,-97,-200,-200,-200,-200,-95,-200
1526443217838,-68,-200,-200,-200,-67,-200,-87,-200,-88,-200,-74,-200,-200,-200,-200,-200,-200,-94,-200
1526443217984,-68,-200,-200,-75,-67,-200,-200,-64,-88,-200,-74,-200,-200,-200,-200,-99,-200,-200,-200
1526443218085,-200,-200,-93,-81,-67,-200,-83,-76,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200
1526443222594,-200,-200,-93,-80,-71,-200,-83,-74,-200,-200,-86,-98,-200,-200,-99,-93,-200,-200,-200
1526443222720,-200,-200,-200,-81,-71,-200,-83,-76,-200,-200,-88,-97,-200,-200,-97,-200,-200,-200,-200
1526443222835,-200,-200,-200,-200,-200,-200,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443222940,-75,-200,-200,-200,-71,-200,-83,-75,-200,-200,-200,-98,-200,-200,-200,-94,-200,-200,-200
1526443223049,-67,-200,-92,-85,-72,-92,-200,-75,-95,-200,-88,-200,-200,-200,-90,-200,-200,-200,-200
1526443227582,-200,-200,-200,-86,-200,-93,-200,-66,-200,-200,-86,-200,-200,-200,-200,-96,-91,-200,-200
1526443227684,-68,-200,-200,-85,-72,-200,-84,-200,-89,-200,-200,-200,-200,-200,-90,-200,-91,-200,-200
1526443227791,-67,-200,-92,-84,-72,-92,-84,-200,-200,-200,-88,-91,-200,-200,-90,-200,-200,-200,-200
1526443227929,-67,-200,-92,-200,-72,-200,-84,-65,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526443228031,-67,-200,-200,-200,-72,-91,-200,-200,-91,-200,-200,-200,-200,-200,-89,-94,-200,-200,-200
