,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EE:01,78:A5:04:41:E9:DF,78:A5:04:41:EB:93,78:A5:04:41:EB:FC,78:A5:04:41:EB:CA,78:A5:04:41:EB:D9,78:A5:04:41:E7:9C,78:A5:04:41:E7:A3,78:A5:04:41:E9:F7,78:A5:04:41:E5:75,78:A5:04:41:E9:E7,78:A5:04:41:EB:EC,78:A5:04:41:E9:E8,78:A5:04:41:E7:84,78:A5:04:41:EB:F6,78:A5:04:41:EB:B1,78:A5:04:41:E5:67,78:A5:04:41:EB:E1
1526443407587,-90,-86,-89,-74,-74,-83,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443407702,-89,-200,-88,-74,-200,-83,-91,-89,-80,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526443407798,-89,-86,-89,-73,-74,-84,-200,-88,-79,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526443407931,-200,-200,-89,-74,-74,-84,-92,-200,-80,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526443408038,-80,-72,-200,-200,-74,-200,-200,-93,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443412564,-200,-200,-200,-74,-200,-85,-78,-200,-75,-72,-200,-99,-96,-200,-200,-200,-200,-200
1526443412667,-79,-200,-85,-73,-78,-85,-200,-200,-74,-72,-200,-200,-200,-95,-97,-200,-200,-200
1526443412767,-200,-71,-200,-73,-78,-200,-79,-200,-74,-72,-95,-200,-200,-200,-200,-87,-96,-200
1526443412877,-79,-71,-200,-200,-200,-200,-200,-93,-74,-200,-200,-200,-200,-95,-200,-200,-200,-200
1526443412990,-200,-73,-200,-73,-200,-200,-200,-93,-75,-200,-200,-200,-96,-96,-200,-200,-200,-200
1526443413097,-200,-200,-200,-73,-85,-200,-75,-200,-75,-200,-200,-200,-200,-200,-200,-88,-94,-200
1526443417512,-88,-86,-200,-200,-84,-200,-82,-200,-78,-80,-94,-200,-97,-200,-200,-92,-200,-200
1526443417638,-88,-87,-98,-81,-84,-88,-200,-200,-78,-200,-94,-200,-200,-200,-200,-92,-200,-200
1526443417744,-89,-88,-98,-200,-85,-200,-200,-200,-79,-79,-95,-200,-96,-200,-200,-93,-200,-200
1526443417848,-200,-200,-99,-200,-85,-88,-200,-200,-79,-200,-96,-200,-96,-200,-200,-94,-200,-200
1526443417961,-88,-88,-99,-82,-85,-88,-200,-200,-78,-80,-95,-200,-200,-200,-200,-92,-200,-97
1526443418091,-89,-88,-200,-200,-85,-88,-200,-200,-78,-75,-94,-200,-200,-200,-200,-91,-200,-200
1526443422522,-85,-75,-88,-74,-76,-84,-72,-200,-86,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526443422620,-85,-75,-200,-75,-76,-84,-200,-92,-85,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526443422773,-200,-75,-200,-75,-76,-85,-71,-93,-85,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526443422926,-200,-75,-200,-75,-76,-200,-71,-91,-86,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526443423023,-85,-200,-200,-75,-77,-200,-71,-93,-200,-75,-200,-200,-200,-200,-200,-91,-200,-200
1526443427488,-200,-72,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526443427615,-81,-72,-200,-72,-200,-84,-76,-92,-78,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526443427735,-81,-72,-87,-200,-200,-200,-77,-91,-200,-73,-200,-200,-200,-200,-200,-200,-95,-200
1526443427883,-81,-200,-86,-72,-79,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526443428003,-81,-72,-87,-200,-200,-200,-77,-92,-200,-73,-200,-200,-200,-94,-200,-89,-200,-200
