,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:CA,78:A5:04:41:EB:FC,78:A5:04:41:E9:DF,78:A5:04:41:EB:EA,78:A5:04:41:EB:93,78:A5:04:41:E7:9C,78:A5:04:41:E9:F7,78:A5:04:41:E5:75,F4:B8:5E:AA:7A:3E,78:A5:04:41:EB:EC,78:A5:04:41:E9:E7,78:A5:04:41:E9:8C,F4:B8:5E:AA:7A:97,78:A5:04:41:E7:84,78:A5:04:41:EB:B1,78:A5:04:41:EB:D9
1526444092605,-73,-72,-78,-86,-87,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526444092712,-73,-200,-78,-200,-200,-200,-85,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526444092818,-71,-75,-77,-86,-88,-69,-86,-200,-91,-95,-200,-200,-200,-200,-200,-200
1526444092927,-71,-76,-78,-200,-87,-200,-78,-74,-200,-200,-79,-200,-200,-200,-200,-200
1526444093021,-71,-75,-77,-86,-90,-67,-75,-75,-200,-200,-77,-93,-200,-200,-200,-200
1526444097486,-87,-81,-200,-200,-83,-200,-71,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526444097599,-87,-200,-200,-200,-83,-76,-71,-94,-200,-200,-86,-200,-200,-200,-200,-200
1526444097692,-86,-80,-85,-200,-83,-75,-72,-97,-200,-200,-85,-200,-200,-200,-200,-200
1526444097800,-88,-80,-86,-200,-83,-76,-71,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526444097906,-200,-80,-85,-200,-200,-76,-71,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526444098010,-72,-200,-86,-93,-83,-200,-71,-95,-200,-200,-86,-200,-200,-200,-200,-200
1526444102556,-73,-82,-200,-200,-200,-79,-200,-71,-200,-200,-75,-200,-200,-200,-200,-200
