,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:9C,78:A5:04:41:E9:E7,F4:B8:5E:AA:7A:97,7C:66:9D:7B:2D:79,78:A5:04:41:EB:CA,78:A5:04:41:E9:F7,F4:B8:5E:AA:7A:3E,78:A5:04:41:EB:FC,78:A5:04:41:EB:EA,78:A5:04:41:E9:DF,78:A5:04:41:EB:93,78:A5:04:41:E5:75,78:A5:04:41:EB:B1,78:A5:04:41:EB:E1,78:A5:04:41:E9:E8,78:A5:04:41:E5:67,78:A5:04:41:E9:F2,78:A5:04:41:E7:A3,F4:B8:5E:AA:79:07,78:A5:04:41:EE:0A,78:A5:04:41:EB:BF,78:A5:04:41:EB:D9,78:A5:04:41:EE:01
1526451002720,-83,-75,-83,-81,-81,-89,-83,-90,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451002820,-84,-74,-82,-80,-200,-200,-85,-200,-80,-93,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451002944,-200,-74,-84,-200,-80,-88,-84,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451003047,-86,-200,-85,-81,-84,-90,-84,-200,-84,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451003157,-82,-73,-84,-80,-80,-200,-84,-200,-72,-200,-62,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451007648,-200,-72,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451007761,-76,-71,-200,-79,-70,-200,-200,-200,-73,-200,-62,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451007943,-75,-71,-79,-78,-200,-200,-83,-200,-72,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526451008053,-200,-200,-79,-200,-200,-200,-82,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451008174,-83,-72,-200,-200,-80,-200,-200,-200,-72,-200,-200,-94,-95,-200,-200,-91,-93,-200,-200,-200,-200,-200,-200
1526451012760,-83,-89,-200,-91,-200,-200,-87,-98,-86,-200,-200,-94,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451012865,-84,-89,-200,-90,-80,-200,-86,-200,-84,-96,-200,-97,-200,-96,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526451013012,-200,-200,-82,-200,-79,-200,-200,-200,-87,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451013113,-84,-200,-81,-200,-80,-200,-200,-200,-85,-200,-71,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451017624,-82,-200,-83,-81,-79,-200,-81,-92,-83,-200,-62,-200,-90,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526451017834,-200,-73,-200,-79,-81,-87,-200,-200,-200,-200,-63,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451017940,-200,-72,-83,-82,-200,-200,-200,-200,-200,-200,-63,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451018054,-83,-74,-79,-79,-200,-200,-200,-200,-82,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451022663,-200,-200,-79,-200,-68,-200,-200,-200,-75,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451022766,-77,-71,-79,-200,-200,-200,-200,-97,-75,-200,-200,-200,-200,-200,-200,-200,-200,-98,-97,-200,-200,-200,-200
1526451022864,-78,-71,-80,-78,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451022972,-76,-71,-79,-78,-70,-200,-200,-200,-76,-200,-63,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451023097,-77,-71,-80,-80,-69,-89,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-95,-96,-98,-200,-200,-200
1526451023189,-78,-200,-200,-90,-77,-200,-87,-200,-84,-200,-200,-96,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200
1526451027729,-87,-200,-83,-91,-75,-200,-200,-200,-85,-200,-71,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526451027822,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
