,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:93,7C:66:9D:7B:2D:79,78:A5:04:41:EB:E1,78:A5:04:41:EB:FC,F4:B8:5E:AA:7A:3E,78:A5:04:41:EB:CA,78:A5:04:41:EB:B1,78:A5:04:41:E9:DF,78:A5:04:41:EB:EA,78:A5:04:41:E9:E7,78:A5:04:41:E5:75,78:A5:04:41:E7:9C,F4:B8:5E:AA:7A:97,78:A5:04:41:EB:EC,78:A5:04:41:E7:A3,78:A5:04:41:E5:67,78:A5:04:41:EB:BF,78:A5:04:41:E9:F7,78:A5:04:41:EB:F6,78:A5:04:41:E9:F2
1526451077719,-71,-90,-92,-91,-85,-72,-93,-94,-74,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451077847,-70,-200,-91,-200,-86,-200,-200,-200,-72,-70,-87,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526451077919,-71,-88,-91,-90,-200,-71,-200,-200,-73,-70,-86,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526451078037,-72,-90,-200,-92,-85,-200,-200,-200,-72,-69,-200,-76,-78,-200,-200,-200,-200,-200,-200,-200
1526451078138,-71,-89,-200,-200,-88,-200,-200,-200,-81,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526451082630,-73,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526451082758,-200,-200,-200,-200,-83,-73,-200,-200,-200,-68,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
1526451082856,-72,-90,-200,-200,-200,-73,-200,-200,-80,-68,-200,-200,-78,-95,-200,-200,-200,-200,-200,-200
1526451082964,-71,-200,-200,-200,-83,-73,-200,-200,-200,-67,-88,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526451083100,-79,-200,-200,-200,-88,-75,-94,-200,-92,-67,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526451087703,-79,-95,-96,-200,-89,-74,-93,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451087804,-78,-200,-200,-200,-88,-75,-200,-200,-200,-82,-200,-97,-83,-200,-200,-200,-200,-200,-200,-200
1526451087903,-200,-96,-200,-200,-88,-75,-200,-200,-95,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526451088027,-200,-200,-200,-200,-88,-79,-200,-200,-200,-81,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526451088140,-81,-96,-93,-200,-88,-73,-200,-200,-200,-86,-87,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526451092655,-70,-200,-92,-90,-85,-200,-200,-94,-73,-200,-85,-200,-79,-200,-92,-200,-200,-200,-200,-200
1526451092751,-71,-200,-200,-200,-200,-73,-200,-200,-74,-200,-88,-200,-79,-200,-94,-200,-200,-200,-200,-200
1526451092852,-200,-200,-200,-200,-86,-73,-200,-200,-200,-69,-200,-80,-78,-200,-94,-200,-200,-200,-200,-200
1526451092990,-71,-89,-200,-200,-200,-200,-200,-98,-200,-69,-86,-78,-78,-200,-200,-96,-200,-200,-200,-200
1526451093102,-70,-88,-200,-93,-85,-72,-200,-200,-200,-69,-200,-77,-78,-200,-93,-200,-200,-200,-200,-200
1526451093210,-200,-89,-200,-200,-200,-200,-200,-200,-200,-69,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526451097618,-200,-200,-200,-200,-200,-200,-97,-200,-200,-67,-88,-200,-78,-94,-200,-200,-95,-94,-200,-200
1526451097717,-200,-200,-200,-200,-200,-200,-200,-96,-200,-68,-200,-84,-78,-95,-200,-200,-200,-90,-200,-200
1526451097834,-200,-88,-200,-200,-200,-200,-200,-200,-200,-67,-86,-94,-200,-94,-200,-200,-200,-200,-200,-200
1526451097934,-200,-200,-200,-200,-200,-75,-200,-200,-200,-68,-87,-84,-200,-92,-200,-200,-200,-200,-200,-200
1526451098055,-88,-88,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-79,-200,-200,-200,-200,-200,-99,-200
