,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0124.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:CA,7C:66:9D:7B:2D:79,78:A5:04:41:E9:F7,78:A5:04:41:EB:B1,F4:B8:5E:AA:7A:97,78:A5:04:41:EB:93,78:A5:04:41:EB:FC,78:A5:04:41:E7:9C,78:A5:04:41:E9:E7,78:A5:04:41:EB:EA,F4:B8:5E:AA:7A:3E,78:A5:04:41:E9:DF,78:A5:04:41:E9:D3,78:A5:04:41:E7:A3,78:A5:04:41:E5:67,78:A5:04:41:EB:D9,78:A5:04:41:E5:75,F4:B8:5E:AA:79:07,78:A5:04:41:EB:E1
1526451277709,-81,-92,-88,-92,-95,-85,-92,-83,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451277820,-76,-90,-87,-200,-200,-83,-200,-84,-72,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451277927,-75,-200,-88,-93,-200,-200,-91,-84,-71,-200,-87,-95,-200,-200,-200,-200,-200,-200,-200
1526451278033,-73,-200,-90,-200,-200,-200,-200,-200,-72,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526451278136,-79,-200,-200,-200,-91,-70,-91,-85,-75,-83,-86,-200,-94,-200,-200,-200,-200,-200,-200
1526451282613,-70,-200,-89,-200,-94,-200,-87,-74,-74,-82,-88,-200,-200,-92,-92,-200,-200,-200,-200
1526451282713,-70,-200,-200,-200,-93,-64,-200,-75,-74,-82,-87,-200,-200,-91,-93,-200,-200,-200,-200
1526451282836,-200,-200,-200,-92,-92,-64,-200,-200,-200,-84,-88,-200,-200,-91,-200,-200,-200,-200,-200
1526451282953,-68,-200,-90,-90,-200,-64,-200,-200,-74,-200,-86,-200,-200,-90,-92,-200,-200,-200,-200
1526451283066,-70,-200,-89,-200,-91,-200,-200,-74,-200,-200,-90,-93,-200,-200,-87,-200,-200,-200,-200
1526451283171,-70,-200,-89,-90,-91,-64,-200,-200,-73,-83,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526451287612,-200,-200,-200,-85,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526451287716,-72,-200,-200,-87,-200,-72,-200,-200,-200,-77,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526451287853,-72,-91,-200,-200,-200,-67,-200,-84,-66,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451288002,-72,-200,-200,-200,-200,-68,-87,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451288096,-200,-200,-200,-200,-89,-67,-200,-83,-66,-200,-200,-200,-92,-200,-92,-98,-200,-200,-200
1526451292617,-76,-200,-89,-91,-200,-67,-200,-83,-200,-86,-86,-200,-95,-98,-200,-200,-200,-200,-200
1526451292723,-75,-200,-200,-200,-94,-200,-91,-84,-72,-200,-200,-200,-93,-98,-200,-200,-200,-200,-200
1526451292828,-76,-200,-200,-91,-200,-67,-91,-83,-72,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526451292965,-77,-200,-200,-200,-95,-67,-200,-83,-73,-200,-86,-96,-200,-200,-200,-200,-200,-200,-200
1526451293069,-77,-90,-90,-200,-200,-67,-93,-84,-200,-200,-86,-200,-200,-99,-200,-200,-200,-200,-200
1526451293192,-77,-90,-90,-200,-97,-200,-200,-83,-200,-200,-88,-200,-96,-200,-200,-200,-200,-200,-200
1526451297621,-70,-200,-88,-91,-200,-200,-89,-200,-77,-200,-200,-200,-92,-90,-200,-200,-200,-200,-200
1526451297720,-200,-200,-87,-200,-200,-64,-90,-76,-77,-82,-88,-90,-91,-91,-200,-200,-200,-200,-200
1526451297855,-200,-200,-200,-200,-91,-200,-200,-200,-74,-85,-87,-90,-200,-200,-96,-200,-95,-200,-200
1526451297963,-200,-200,-200,-200,-91,-64,-200,-74,-75,-85,-200,-200,-91,-90,-200,-200,-93,-200,-200
1526451298057,-200,-200,-200,-92,-200,-65,-89,-73,-76,-200,-200,-91,-90,-89,-200,-200,-200,-200,-200
1526451298213,-71,-200,-200,-200,-200,-66,-89,-82,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526451302724,-200,-200,-200,-200,-200,-67,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451302828,-73,-200,-200,-87,-200,-67,-200,-80,-200,-80,-200,-92,-200,-200,-91,-200,-200,-200,-200
1526451302929,-69,-200,-200,-200,-87,-69,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-97,-200
1526451303031,-200,-200,-89,-87,-85,-68,-200,-81,-65,-80,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526451303137,-71,-200,-89,-92,-200,-66,-92,-83,-200,-82,-200,-200,-200,-200,-93,-200,-90,-200,-200
1526451307623,-76,-89,-200,-200,-96,-68,-93,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451307730,-75,-200,-89,-200,-200,-67,-200,-83,-72,-200,-86,-200,-200,-200,-200,-97,-200,-200,-200
1526451307839,-75,-200,-89,-94,-200,-67,-92,-82,-200,-83,-85,-94,-200,-200,-200,-99,-200,-200,-200
1526451307946,-200,-200,-200,-93,-95,-200,-200,-82,-73,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200
1526451308047,-75,-200,-200,-200,-200,-67,-200,-82,-200,-83,-85,-93,-200,-200,-200,-200,-200,-200,-200
1526451308160,-200,-91,-88,-200,-200,-67,-86,-82,-73,-84,-200,-200,-200,-200,-93,-200,-200,-97,-200
1526451312639,-69,-200,-200,-200,-200,-64,-200,-74,-76,-200,-89,-89,-200,-200,-92,-200,-200,-200,-94
1526451312749,-69,-200,-88,-91,-200,-200,-200,-200,-77,-200,-89,-200,-94,-90,-91,-200,-200,-200,-200
1526451312855,-70,-200,-200,-200,-91,-65,-87,-75,-76,-200,-200,-200,-91,-200,-91,-200,-200,-200,-94
