,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:DF,78:A5:04:41:EB:F6,78:A5:04:41:E5:67,78:A5:04:41:EB:E1,78:A5:04:41:EB:CA,78:A5:04:41:EB:EC,78:A5:04:41:EB:BF,78:A5:04:41:EB:EA,78:A5:04:41:E9:F2,78:A5:04:41:E9:C8,78:A5:04:41:EB:B2,78:A5:04:41:EB:B1,78:A5:04:41:EE:01,78:A5:04:41:EB:D9,78:A5:04:41:E9:E7,78:A5:04:41:E9:E8,78:A5:04:41:E7:A3,F4:B8:5E:AA:7A:3E,78:A5:04:41:E7:84,78:A5:04:41:E9:8C,78:A5:04:41:EB:AB,78:A5:04:41:E9:9B,78:A5:04:41:EB:93,78:A5:04:41:E7:A7,78:A5:04:41:EB:FC,78:A5:04:41:EB:E4
1526448602286,-77,-71,-75,-71,-93,-87,-92,-82,-88,-100,-86,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448602390,-77,-72,-75,-71,-200,-86,-93,-200,-86,-200,-84,-75,-72,-66,-93,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448602517,-77,-71,-78,-200,-91,-200,-200,-200,-89,-200,-200,-75,-73,-200,-92,-76,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448602596,-76,-72,-200,-200,-200,-85,-200,-82,-86,-200,-200,-75,-200,-66,-92,-77,-200,-97,-89,-95,-90,-200,-200,-200,-200,-200
1526448602704,-77,-73,-75,-200,-93,-200,-97,-82,-87,-96,-85,-76,-200,-66,-91,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526448602812,-76,-71,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448607133,-200,-73,-200,-74,-200,-200,-200,-200,-200,-200,-200,-74,-200,-71,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448607233,-80,-74,-71,-71,-200,-200,-200,-200,-86,-200,-92,-74,-200,-70,-200,-200,-81,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526448607324,-200,-200,-200,-72,-200,-86,-200,-200,-86,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
