,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:DF,78:A5:04:41:E9:A7,78:A5:04:41:E9:F3,78:A5:04:41:E9:FB,78:A5:04:41:EB:94,78:A5:04:41:E9:8E,7C:66:9D:7B:47:FC,78:A5:04:41:EE:0A,78:A5:04:41:EB:AA,78:A5:04:41:EB:B5,78:A5:04:41:EB:D1,7C:66:9D:7B:2E:21,78:A5:04:41:E9:F2,78:A5:04:41:E9:C8,78:A5:04:41:EB:D8,78:A5:04:41:EB:E8,78:A5:04:41:E7:A7,78:A5:04:41:E9:E0,78:A5:04:41:EB:E4,78:A5:04:41:EB:AB,78:A5:04:41:EB:FE,78:A5:04:41:E5:59,78:A5:04:41:EB:B2,78:A5:04:41:EB:D4,78:A5:04:41:EE:08,78:A5:04:41:E9:BB,78:A5:04:41:E9:BE,78:A5:04:41:E9:E3,F4:B8:5E:AA:7A:3E,BC:6A:29:BE:31:7F,78:A5:04:41:E9:CB,78:A5:04:41:E9:82
1526462447396,-83,-69,-89,-69,-89,-92,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462447499,-84,-69,-200,-69,-200,-200,-88,-84,-67,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462447603,-82,-200,-200,-69,-200,-200,-200,-85,-64,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462447704,-83,-70,-200,-70,-200,-93,-200,-200,-68,-200,-200,-85,-89,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462447824,-200,-69,-200,-69,-200,-200,-200,-85,-67,-200,-200,-200,-89,-73,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462452356,-73,-200,-90,-69,-200,-200,-87,-200,-200,-88,-200,-91,-200,-74,-200,-90,-89,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462452515,-200,-69,-90,-69,-89,-200,-86,-200,-69,-200,-88,-200,-200,-200,-200,-200,-200,-200,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462452614,-74,-69,-200,-69,-200,-200,-86,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-99,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462452727,-74,-200,-200,-69,-200,-200,-86,-86,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
