,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:C8,78:A5:04:41:EB:DF,78:A5:04:41:EB:B2,78:A5:04:41:E9:F2,78:A5:04:41:EB:B5,78:A5:04:41:EB:D1,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:EB:D8,78:A5:04:41:E9:FB,78:A5:04:41:E9:E3,78:A5:04:41:EB:AA,78:A5:04:41:E9:A7,78:A5:04:41:E9:F3,78:A5:04:41:EB:E8,78:A5:04:41:EB:94,78:A5:04:41:E7:A7,78:A5:04:41:E5:59,78:A5:04:41:EB:FE,78:A5:04:41:E9:BB,78:A5:04:41:E9:8E,78:A5:04:41:EB:E4,78:A5:04:41:EB:D4,78:A5:04:41:EB:EA,78:A5:04:41:EE:0A
1526462537392,-94,-75,-97,-88,-82,-88,-90,-99,-87,-72,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462537507,-93,-77,-200,-200,-200,-200,-200,-200,-200,-73,-200,-71,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462537608,-200,-77,-200,-200,-81,-200,-89,-200,-200,-71,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462537716,-200,-75,-200,-87,-200,-87,-200,-200,-200,-72,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462537832,-200,-76,-200,-200,-80,-87,-200,-92,-89,-200,-94,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462542421,-200,-75,-200,-85,-81,-200,-200,-200,-88,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462542535,-200,-75,-200,-200,-200,-200,-200,-200,-200,-80,-200,-73,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462542645,-85,-200,-200,-84,-81,-200,-92,-200,-86,-79,-200,-73,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462547294,-200,-76,-93,-200,-200,-200,-96,-99,-93,-76,-200,-81,-74,-200,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462547415,-88,-76,-200,-200,-200,-90,-95,-200,-93,-76,-200,-80,-200,-97,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462547521,-89,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-74,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462547615,-200,-200,-200,-200,-200,-200,-98,-101,-92,-77,-200,-81,-74,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462547716,-200,-75,-200,-85,-200,-200,-200,-200,-200,-77,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462547824,-88,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462552289,-93,-77,-200,-200,-83,-200,-89,-200,-200,-200,-200,-70,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462552378,-93,-77,-200,-200,-82,-200,-92,-200,-200,-72,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462552480,-94,-200,-200,-200,-200,-89,-90,-200,-88,-73,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462552590,-94,-76,-200,-89,-200,-200,-93,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462552745,-85,-200,-200,-200,-200,-200,-90,-200,-87,-72,-200,-72,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462557358,-200,-200,-200,-83,-200,-200,-200,-91,-200,-200,-200,-200,-74,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462557470,-200,-77,-200,-200,-200,-200,-200,-200,-87,-200,-200,-72,-71,-90,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526462557592,-200,-200,-200,-83,-200,-200,-200,-91,-200,-200,-200,-72,-72,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526462557691,-200,-200,-98,-83,-200,-89,-200,-200,-87,-81,-200,-72,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462557806,-86,-200,-200,-85,-200,-200,-95,-200,-88,-81,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462562315,-89,-200,-200,-200,-200,-90,-100,-200,-200,-77,-200,-200,-74,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462562413,-89,-77,-92,-85,-200,-90,-96,-200,-200,-76,-200,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462562551,-89,-200,-200,-84,-200,-200,-200,-200,-200,-76,-200,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462562635,-88,-77,-93,-85,-200,-90,-95,-200,-93,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462562744,-90,-200,-200,-85,-200,-200,-94,-200,-200,-75,-200,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462562856,-89,-77,-200,-85,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-95,-200,-200,-98,-200,-200,-200,-200,-200,-200
1526462567292,-200,-200,-200,-87,-83,-200,-90,-200,-200,-73,-91,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462567427,-200,-200,-200,-200,-82,-88,-92,-200,-200,-72,-200,-72,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462567512,-200,-200,-200,-88,-82,-200,-90,-200,-200,-70,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462567614,-200,-76,-200,-87,-82,-88,-200,-200,-87,-73,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462567723,-200,-77,-200,-89,-82,-88,-91,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462567836,-87,-77,-200,-200,-82,-87,-200,-92,-87,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526462572320,-200,-76,-200,-200,-79,-89,-93,-200,-88,-200,-200,-72,-73,-90,-200,-200,-93,-92,-200,-200,-200,-200,-200,-200,-200
1526462572462,-200,-76,-200,-200,-80,-88,-95,-91,-200,-200,-200,-72,-200,-89,-96,-200,-200,-90,-200,-200,-92,-96,-200,-200,-200
1526462572584,-87,-200,-200,-200,-80,-200,-200,-91,-200,-200,-93,-73,-73,-200,-200,-200,-200,-91,-200,-200,-92,-200,-200,-200,-200
1526462572713,-200,-200,-200,-200,-80,-200,-200,-91,-86,-80,-200,-73,-73,-200,-200,-200,-92,-91,-200,-200,-200,-200,-200,-200,-200
1526462572831,-88,-78,-200,-85,-80,-200,-200,-92,-200,-76,-200,-200,-200,-97,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462577380,-200,-78,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462577487,-200,-79,-200,-85,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462577577,-88,-78,-200,-200,-200,-200,-97,-200,-200,-76,-200,-80,-73,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462577681,-200,-78,-200,-200,-200,-200,-96,-200,-200,-77,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462577791,-89,-78,-93,-85,-200,-90,-200,-200,-93,-76,-200,-80,-200,-200,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200
