,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:F6,78:A5:04:41:E9:F3,78:A5:04:41:EB:AC,78:A5:04:41:E9:8E,78:A5:04:41:EB:B2,78:A5:04:41:EB:E4,7C:66:9D:7B:47:FC,78:A5:04:41:E9:C8,78:A5:04:41:EB:B5,78:A5:04:41:EB:D4,78:A5:04:41:EB:AB,78:A5:04:41:EB:DF,78:A5:04:41:EB:EA,78:A5:04:41:E9:BE,78:A5:04:41:E7:A7,78:A5:04:41:EB:AA,78:A5:04:41:E9:F2,78:A5:04:41:E9:E3,78:A5:04:41:E9:A7,78:A5:04:41:E5:59,78:A5:04:41:EE:0A,78:A5:04:41:EB:D8,7C:66:9D:7B:2E:21,BC:6A:29:BE:2F:54,78:A5:04:41:EE:08,78:A5:04:41:E9:B3,78:A5:04:41:E5:34,78:A5:04:41:EB:FE,78:A5:04:41:EB:E8,78:A5:04:41:E7:9D,78:A5:04:41:E7:FE,78:A5:04:41:EB:FB,78:A5:04:41:E9:FB,78:A5:04:41:E9:BB,78:A5:04:41:EB:85,78:A5:04:41:E9:82,78:A5:04:41:EB:94,78:A5:04:41:E9:A5,78:A5:04:41:EB:D1,BC:6A:29:BE:31:7F,78:A5:04:41:EB:BF
1526452352523,-96,-82,-93,-97,-79,-87,-95,-79,-73,-74,-86,-86,-95,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452352658,-200,-200,-200,-200,-81,-87,-200,-79,-72,-71,-200,-86,-200,-200,-76,-93,-91,-94,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452352763,-200,-200,-200,-200,-80,-83,-94,-80,-72,-200,-200,-200,-200,-200,-76,-91,-89,-200,-200,-91,-72,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452352887,-200,-200,-93,-100,-200,-78,-94,-200,-73,-72,-80,-88,-200,-200,-76,-91,-200,-91,-200,-200,-72,-200,-96,-98,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452353006,-200,-82,-200,-200,-200,-80,-97,-81,-200,-72,-83,-200,-200,-200,-77,-91,-200,-200,-200,-92,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452357447,-200,-77,-200,-200,-200,-200,-200,-76,-72,-200,-86,-200,-200,-91,-200,-200,-200,-200,-200,-200,-72,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452357559,-200,-200,-200,-200,-200,-200,-200,-77,-200,-71,-86,-200,-200,-92,-70,-200,-200,-200,-81,-80,-70,-200,-200,-200,-86,-200,-96,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452357669,-200,-200,-200,-86,-75,-76,-200,-77,-200,-200,-200,-87,-200,-92,-200,-200,-85,-200,-200,-200,-71,-200,-94,-200,-88,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452357771,-200,-200,-200,-200,-75,-76,-200,-200,-72,-71,-200,-200,-200,-93,-69,-200,-200,-200,-200,-79,-72,-88,-200,-200,-87,-200,-200,-200,-200,-94,-93,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452357870,-200,-200,-200,-200,-200,-200,-94,-77,-200,-71,-200,-200,-200,-92,-68,-200,-200,-200,-200,-80,-71,-200,-93,-200,-200,-87,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452357977,-200,-200,-200,-87,-74,-200,-200,-200,-200,-72,-85,-200,-96,-200,-200,-200,-86,-99,-200,-200,-71,-200,-200,-200,-87,-86,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
