,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:BF,78:A5:04:41:EB:AA,78:A5:04:41:E9:F2,78:A5:04:41:EE:0A,78:A5:04:41:EB:E4,78:A5:04:41:EB:AB,78:A5:04:41:E9:A7,78:A5:04:41:E7:A7,78:A5:04:41:EB:D4,78:A5:04:41:EB:F6,78:A5:04:41:EB:B2,78:A5:04:41:E5:59,78:A5:04:41:EB:B5,78:A5:04:41:E9:C8,78:A5:04:41:EB:E1,78:A5:04:41:EB:D8,78:A5:04:41:E9:F3,78:A5:04:41:E5:67,78:A5:04:41:E9:E8,78:A5:04:41:EE:01,78:A5:04:41:E9:FB,F4:B8:5E:AA:7A:3E,7C:66:9D:7B:2D:79,78:A5:04:41:EB:B1,78:A5:04:41:EB:DF
1526452742493,-91,-93,-79,-78,-73,-72,-84,-85,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452742600,-89,-96,-200,-77,-72,-200,-82,-88,-87,-88,-79,-92,-92,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452742715,-89,-94,-78,-77,-73,-72,-200,-85,-86,-200,-80,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452742821,-91,-93,-200,-77,-73,-200,-84,-84,-200,-89,-81,-93,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452742926,-200,-94,-200,-77,-73,-200,-84,-87,-86,-91,-200,-91,-200,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452743084,-200,-200,-200,-77,-72,-72,-83,-200,-200,-87,-79,-92,-90,-200,-200,-98,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452747396,-200,-200,-200,-83,-200,-200,-82,-83,-80,-82,-67,-91,-79,-200,-200,-200,-200,-90,-93,-200,-200,-200,-200,-200,-200
1526452747501,-81,-200,-200,-83,-72,-64,-200,-81,-81,-82,-68,-91,-200,-200,-200,-200,-200,-200,-200,-94,-90,-200,-200,-200,-200
1526452747594,-82,-200,-74,-83,-72,-64,-200,-81,-200,-83,-200,-200,-200,-82,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526452747709,-82,-200,-74,-200,-72,-200,-200,-82,-200,-82,-200,-200,-78,-83,-79,-200,-200,-91,-200,-200,-89,-200,-200,-200,-200
1526452747856,-81,-200,-74,-83,-72,-200,-83,-81,-200,-82,-68,-200,-200,-82,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452747962,-81,-200,-74,-83,-71,-200,-83,-81,-80,-83,-67,-200,-79,-81,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452748086,-81,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452752397,-84,-200,-200,-77,-200,-63,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526452752519,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452752631,-200,-88,-72,-200,-200,-63,-200,-70,-200,-200,-200,-200,-80,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526452752771,-84,-200,-72,-200,-65,-63,-200,-73,-89,-89,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-95,-200,-200,-200
1526452752877,-84,-200,-72,-77,-65,-63,-200,-71,-200,-200,-200,-200,-200,-200,-84,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526452753021,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452757409,-90,-200,-200,-78,-74,-73,-200,-87,-82,-92,-81,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452757498,-200,-200,-78,-77,-73,-73,-84,-85,-86,-89,-79,-93,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452757610,-90,-200,-200,-78,-73,-200,-200,-200,-86,-200,-81,-94,-90,-85,-92,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526452757737,-89,-94,-78,-77,-73,-73,-200,-86,-87,-91,-81,-93,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452757871,-200,-200,-78,-77,-73,-200,-85,-87,-86,-90,-81,-94,-90,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452757978,-90,-200,-78,-78,-73,-73,-84,-86,-200,-200,-80,-92,-200,-86,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526452758083,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-81,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452762445,-200,-200,-200,-85,-72,-200,-200,-82,-81,-200,-67,-91,-79,-200,-78,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526452762548,-82,-200,-73,-84,-72,-200,-83,-200,-200,-200,-67,-93,-200,-82,-80,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526452762650,-200,-200,-73,-85,-72,-64,-83,-200,-81,-200,-68,-200,-200,-82,-79,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526452762743,-81,-200,-74,-200,-200,-63,-200,-200,-81,-200,-68,-200,-200,-82,-80,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526452762852,-81,-200,-200,-200,-71,-200,-200,-82,-81,-83,-67,-200,-79,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526452762956,-81,-200,-200,-200,-72,-63,-200,-82,-80,-82,-68,-200,-79,-82,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452763056,-83,-200,-200,-200,-65,-200,-200,-200,-200,-200,-67,-200,-79,-82,-200,-200,-200,-82,-200,-200,-89,-200,-200,-200,-200
1526452767436,-84,-200,-71,-200,-200,-63,-200,-72,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200
1526452767527,-200,-87,-72,-200,-64,-200,-84,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526452767663,-200,-200,-70,-200,-65,-63,-84,-73,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200
1526452767834,-200,-86,-71,-77,-65,-63,-83,-200,-200,-200,-200,-200,-79,-200,-82,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526452772395,-200,-200,-78,-77,-73,-73,-83,-86,-200,-88,-80,-92,-89,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452772540,-91,-200,-78,-200,-72,-73,-84,-86,-85,-200,-80,-92,-89,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526452772646,-91,-93,-79,-200,-200,-72,-84,-86,-86,-88,-200,-92,-89,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-101,-200
