,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E7:CC,78:A5:04:41:EB:B2,78:A5:04:41:EB:B7,78:A5:04:41:E7:81,78:A5:04:41:E9:A5,78:A5:04:41:EB:FE,78:A5:04:41:E9:E3,78:A5:04:41:E9:F3,78:A5:04:41:E9:E0,78:A5:04:41:EB:AC,78:A5:04:41:EB:C9,78:A5:04:41:E9:BE,78:A5:04:41:E5:77,78:A5:04:41:EE:08,78:A5:04:41:EB:94,78:A5:04:41:E7:FE,78:A5:04:41:EB:85,78:A5:04:41:E5:59,78:A5:04:41:E5:56,78:A5:04:41:EB:D1,78:A5:04:41:EB:D8,78:A5:04:41:EB:B5,7C:66:9D:7B:2E:21,78:A5:04:41:E9:8E,F4:B8:5E:AA:77:73,78:A5:04:41:E9:B3,78:A5:04:41:E9:C8,7C:66:9D:7B:47:FC,78:A5:04:41:EB:E8,78:A5:04:41:E9:BB,78:A5:04:41:E7:91
1526454797591,-78,-95,-80,-76,-72,-86,-81,-91,-71,-77,-91,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454797697,-78,-200,-200,-200,-200,-200,-200,-200,-200,-76,-93,-89,-71,-91,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454797804,-77,-200,-78,-200,-71,-200,-85,-200,-71,-81,-91,-89,-72,-200,-75,-67,-64,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454797893,-78,-200,-78,-200,-71,-82,-86,-200,-72,-73,-200,-90,-70,-91,-74,-64,-65,-200,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454798010,-79,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-90,-200,-93,-75,-66,-66,-200,-200,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454798122,-77,-200,-73,-200,-200,-200,-200,-200,-74,-76,-200,-200,-200,-200,-200,-65,-60,-86,-79,-200,-200,-97,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526454802529,-78,-94,-73,-200,-73,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-61,-59,-87,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454802633,-78,-200,-200,-200,-74,-87,-200,-200,-200,-76,-200,-200,-200,-200,-75,-62,-60,-85,-80,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526454802758,-200,-200,-74,-200,-73,-87,-200,-200,-77,-76,-200,-200,-69,-200,-200,-62,-60,-86,-200,-200,-200,-200,-95,-200,-96,-200,-200,-200,-200,-200,-200
1526454802856,-78,-200,-74,-200,-200,-87,-200,-200,-200,-200,-200,-200,-69,-200,-76,-62,-60,-84,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526454802976,-200,-200,-73,-200,-73,-87,-200,-200,-73,-75,-200,-200,-69,-95,-75,-62,-59,-200,-79,-200,-94,-200,-98,-200,-200,-91,-200,-200,-200,-200,-200
1526454803070,-200,-200,-74,-74,-73,-91,-85,-200,-72,-76,-200,-200,-200,-200,-87,-66,-59,-86,-87,-200,-90,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526454807552,-81,-200,-73,-200,-200,-90,-200,-200,-74,-76,-200,-200,-73,-200,-200,-67,-200,-97,-87,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454807660,-200,-200,-200,-82,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-66,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454807770,-81,-200,-200,-82,-70,-200,-85,-200,-74,-200,-92,-200,-73,-200,-200,-67,-72,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454807878,-200,-200,-72,-200,-69,-200,-84,-200,-73,-76,-92,-200,-73,-200,-200,-67,-71,-200,-86,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454807987,-81,-200,-73,-200,-200,-90,-200,-200,-73,-200,-200,-200,-200,-200,-200,-66,-71,-200,-86,-89,-89,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526454812428,-200,-200,-79,-200,-200,-83,-200,-91,-72,-76,-200,-200,-70,-200,-74,-66,-65,-89,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526454812551,-200,-200,-79,-76,-200,-200,-200,-200,-71,-76,-200,-200,-72,-200,-74,-65,-65,-200,-200,-90,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454812691,-78,-200,-79,-200,-200,-84,-200,-200,-71,-200,-200,-200,-71,-200,-74,-200,-65,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454812803,-78,-200,-79,-200,-200,-200,-90,-200,-200,-76,-200,-200,-71,-200,-74,-200,-65,-89,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454812919,-77,-200,-79,-77,-200,-83,-90,-200,-71,-77,-92,-200,-71,-200,-200,-200,-65,-200,-200,-90,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526454813033,-78,-200,-200,-200,-200,-84,-91,-90,-71,-200,-92,-89,-71,-200,-74,-200,-65,-200,-85,-89,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
