,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1
,78:A5:04:41:E5:56,78:A5:04:41:E9:E0,F4:B8:5E:AA:77:73,78:A5:04:41:EB:94,78:A5:04:41:EB:C9,F4:B8:5E:AA:79:6C,78:A5:04:41:E7:CC,78:A5:04:41:E7:FE,78:A5:04:41:EB:B7,78:A5:04:41:EB:E1,78:A5:04:41:EB:85,78:A5:04:41:EB:AC,78:A5:04:41:EB:E8,78:A5:04:41:E5:77,78:A5:04:41:E7:81,78:A5:04:41:E9:A5,78:A5:04:41:EB:D1,78:A5:04:41:E9:F2,78:A5:04:41:E9:E3,F4:B8:5E:AA:79:4E,78:A5:04:41:E9:C8,7C:66:9D:7B:2B:DE,78:A5:04:41:EB:B5,78:A5:04:41:E7:91,7C:66:9D:7B:2B:E4
1526457197109,-66,-82,-94,-78,-81,-95,-84,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457197213,-66,-82,-94,-78,-81,-200,-200,-81,-85,-90,-91,-91,-95,-70,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457197442,-67,-82,-200,-200,-82,-93,-200,-200,-200,-200,-200,-90,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457197546,-200,-82,-200,-200,-200,-94,-200,-200,-200,-91,-91,-90,-95,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457197649,-200,-83,-93,-78,-200,-200,-200,-76,-200,-200,-88,-88,-200,-200,-73,-91,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526457202125,-67,-200,-94,-78,-200,-90,-200,-200,-78,-200,-200,-200,-98,-66,-200,-200,-92,-98,-200,-200,-200,-200,-200,-200,-200
1526457202236,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-89,-200,-200,-67,-72,-200,-200,-200,-90,-100,-200,-200,-200,-200,-200
1526457202350,-67,-78,-200,-78,-200,-200,-200,-76,-76,-200,-89,-200,-97,-67,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457202449,-66,-78,-200,-200,-82,-91,-200,-76,-76,-200,-89,-200,-200,-67,-200,-200,-92,-200,-200,-200,-99,-200,-200,-200,-200
1526457202555,-200,-78,-200,-200,-200,-200,-200,-76,-77,-200,-200,-200,-200,-66,-73,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200
1526457202664,-200,-81,-200,-200,-82,-200,-200,-85,-200,-200,-200,-200,-200,-67,-200,-91,-200,-200,-96,-200,-200,-200,-200,-200,-200
1526457207141,-69,-200,-200,-200,-200,-200,-200,-85,-200,-200,-87,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457207250,-70,-81,-200,-200,-81,-200,-200,-85,-200,-200,-87,-200,-200,-75,-75,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200
1526457207369,-200,-81,-200,-90,-200,-200,-81,-85,-200,-200,-87,-200,-200,-200,-200,-90,-200,-200,-97,-200,-200,-200,-200,-200,-200
1526457207471,-69,-200,-200,-200,-200,-200,-200,-85,-200,-200,-87,-95,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457207571,-200,-81,-200,-90,-81,-96,-200,-85,-86,-200,-200,-200,-200,-76,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457212003,-200,-83,-200,-200,-200,-200,-200,-81,-200,-200,-92,-94,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457212184,-67,-83,-93,-78,-200,-92,-82,-81,-86,-94,-91,-200,-200,-70,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457212288,-67,-85,-95,-79,-83,-93,-83,-81,-85,-200,-91,-90,-200,-70,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457212401,-68,-200,-94,-200,-83,-200,-200,-81,-85,-200,-91,-92,-200,-200,-72,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457212546,-67,-200,-200,-200,-83,-200,-200,-81,-84,-200,-200,-200,-200,-70,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457217044,-66,-78,-200,-78,-82,-90,-200,-76,-77,-200,-200,-88,-200,-200,-73,-90,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526457217141,-67,-200,-200,-78,-82,-200,-200,-200,-77,-200,-200,-200,-200,-67,-73,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457217255,-67,-78,-200,-200,-82,-90,-200,-200,-76,-200,-89,-200,-200,-67,-73,-200,-93,-200,-89,-200,-200,-200,-200,-200,-200
1526457217362,-67,-200,-200,-200,-200,-200,-200,-76,-77,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457217470,-66,-200,-200,-78,-82,-200,-200,-76,-77,-200,-200,-200,-200,-67,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457217592,-67,-200,-200,-200,-200,-200,-200,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457222041,-69,-80,-200,-200,-81,-94,-200,-84,-85,-200,-87,-95,-200,-75,-200,-89,-200,-200,-94,-200,-200,-98,-200,-200,-200
1526457222144,-68,-200,-200,-90,-200,-94,-80,-84,-85,-200,-87,-200,-200,-75,-74,-90,-200,-200,-94,-200,-200,-100,-200,-200,-200
1526457222252,-69,-81,-200,-90,-81,-200,-200,-200,-86,-200,-87,-98,-200,-75,-75,-91,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526457222358,-70,-81,-200,-90,-81,-200,-80,-200,-86,-200,-87,-97,-200,-75,-75,-89,-200,-200,-94,-200,-95,-200,-97,-200,-200
1526457222482,-69,-80,-200,-90,-200,-200,-200,-85,-200,-200,-200,-200,-200,-75,-74,-90,-200,-200,-95,-200,-96,-200,-200,-200,-200
1526457222571,-69,-81,-200,-90,-200,-200,-81,-84,-86,-200,-87,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-97,-200,-200,-200
1526457222674,-70,-83,-200,-78,-83,-91,-200,-81,-84,-200,-200,-92,-200,-67,-72,-200,-200,-200,-94,-200,-98,-200,-200,-200,-200
