,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null
,78:A5:04:41:E7:91,7C:66:9D:7B:2B:E4,7C:66:9D:7B:2B:DE,7C:66:9D:7B:2B:D3,F4:B8:5E:AA:77:73,78:A5:04:41:EB:C7,78:A5:04:41:E5:5F,7C:66:9D:7B:2E:16,F4:B8:5E:AA:79:4E,BC:6A:29:BE:2F:12,78:A5:04:41:EE:07,78:A5:04:41:E5:77,BC:6A:29:BE:31:61,7C:66:9D:7B:46:8C
1526459187130,-83,-80,-80,-80,-80,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526459187245,-84,-80,-86,-200,-79,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526459187457,-91,-80,-81,-79,-200,-200,-93,-85,-200,-200,-200,-200,-200,-200
1526459192102,-90,-79,-79,-200,-80,-98,-94,-86,-75,-200,-200,-200,-200,-200
1526459192215,-91,-79,-80,-79,-79,-200,-93,-200,-75,-99,-200,-200,-200,-200
1526459192329,-200,-80,-79,-200,-79,-200,-200,-200,-78,-200,-200,-200,-200,-200
1526459192448,-200,-80,-200,-200,-80,-98,-200,-200,-200,-200,-200,-200,-200,-200
1526459192541,-200,-200,-200,-79,-80,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526459197079,-200,-200,-76,-76,-74,-200,-92,-78,-77,-200,-200,-200,-200,-200
1526459197181,-200,-200,-76,-77,-74,-90,-200,-79,-76,-200,-200,-200,-200,-200
1526459197285,-89,-200,-76,-76,-74,-89,-93,-78,-76,-200,-200,-200,-200,-200
1526459197379,-90,-93,-75,-77,-74,-89,-200,-79,-77,-200,-200,-200,-200,-200
1526459197486,-200,-92,-200,-76,-74,-200,-200,-200,-76,-200,-200,-200,-200,-200
1526459202023,-84,-90,-200,-74,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200
1526459202174,-83,-77,-82,-74,-81,-200,-200,-200,-73,-200,-94,-200,-200,-200
1526459202336,-200,-77,-83,-75,-200,-200,-87,-200,-73,-200,-200,-200,-200,-200
1526459202461,-84,-200,-200,-74,-200,-200,-87,-200,-73,-200,-95,-200,-200,-200
1526459202562,-200,-200,-200,-74,-80,-200,-94,-85,-73,-200,-200,-95,-200,-200
1526459207094,-200,-200,-79,-200,-79,-200,-92,-85,-75,-200,-200,-98,-200,-200
1526459207184,-200,-200,-79,-200,-79,-200,-200,-200,-75,-200,-200,-200,-200,-200
1526459207284,-200,-80,-79,-200,-80,-200,-200,-200,-75,-200,-200,-200,-200,-200
1526459207405,-90,-80,-79,-79,-80,-100,-200,-84,-75,-200,-200,-200,-200,-200
1526459207506,-92,-80,-79,-78,-79,-200,-95,-85,-75,-200,-200,-200,-200,-200
1526459207624,-90,-81,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459212044,-90,-98,-75,-75,-200,-89,-90,-79,-77,-200,-200,-200,-200,-200
1526459212168,-91,-200,-76,-200,-75,-200,-200,-79,-76,-200,-200,-200,-200,-200
1526459212274,-90,-200,-75,-200,-74,-200,-90,-79,-77,-200,-200,-200,-200,-200
1526459212387,-92,-200,-76,-200,-74,-90,-93,-79,-77,-200,-200,-200,-200,-200
1526459212487,-90,-200,-76,-200,-74,-91,-93,-79,-77,-200,-200,-200,-200,-200
1526459212603,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459217015,-83,-78,-82,-200,-80,-200,-87,-200,-200,-97,-95,-200,-200,-200
1526459217131,-200,-200,-82,-74,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459217224,-84,-200,-82,-74,-80,-200,-200,-200,-73,-98,-200,-200,-200,-200
1526459217325,-200,-78,-82,-200,-80,-94,-88,-200,-73,-200,-200,-96,-200,-200
1526459217474,-200,-200,-82,-74,-81,-200,-87,-200,-73,-200,-200,-200,-200,-200
1526459217561,-84,-77,-200,-75,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200
1526459222024,-90,-79,-79,-79,-79,-200,-93,-85,-75,-99,-200,-200,-200,-200
1526459222153,-90,-80,-79,-79,-79,-200,-92,-85,-75,-200,-200,-200,-200,-200
1526459222270,-92,-80,-79,-78,-80,-200,-93,-85,-75,-200,-200,-200,-200,-200
1526459222371,-91,-80,-80,-200,-80,-200,-93,-85,-75,-200,-200,-200,-200,-200
1526459222480,-91,-79,-79,-78,-80,-98,-93,-200,-74,-200,-200,-200,-200,-200
1526459222589,-89,-80,-75,-79,-74,-200,-93,-79,-75,-200,-200,-200,-200,-200
1526459227154,-200,-200,-75,-76,-74,-89,-200,-200,-77,-200,-200,-200,-200,-200
1526459227251,-200,-200,-75,-76,-74,-89,-200,-79,-76,-200,-200,-200,-200,-200
1526459227355,-200,-200,-200,-76,-200,-200,-200,-79,-77,-200,-200,-200,-200,-200
1526459227471,-91,-200,-75,-76,-74,-200,-92,-80,-77,-200,-200,-200,-200,-200
1526459227553,-83,-200,-82,-76,-200,-200,-200,-200,-200,-200,-200,-200,-99,-200
1526459232074,-84,-77,-82,-75,-80,-93,-88,-200,-73,-97,-200,-200,-99,-200
1526459232210,-83,-200,-200,-74,-80,-200,-200,-200,-73,-200,-200,-97,-102,-97
1526459232311,-83,-78,-82,-75,-80,-200,-200,-200,-72,-99,-94,-200,-200,-200
1526459232414,-84,-200,-82,-74,-81,-200,-200,-97,-72,-200,-200,-200,-200,-200
1526459232519,-84,-200,-82,-74,-81,-93,-87,-200,-73,-200,-94,-95,-200,-200
1526459237035,-91,-79,-78,-78,-79,-100,-93,-84,-75,-200,-200,-98,-200,-200
1526459237126,-92,-200,-200,-78,-79,-200,-93,-84,-75,-200,-200,-200,-200,-200
1526459237235,-90,-80,-79,-78,-79,-98,-200,-85,-200,-200,-200,-200,-200,-200
1526459237345,-92,-79,-79,-78,-79,-98,-92,-85,-75,-200,-200,-99,-200,-200
1526459237455,-91,-200,-200,-78,-79,-200,-94,-85,-75,-200,-200,-200,-200,-200
1526459237557,-200,-200,-79,-78,-79,-200,-200,-85,-200,-200,-200,-96,-200,-200
1526459242024,-90,-200,-200,-75,-200,-91,-92,-80,-78,-200,-200,-200,-200,-200
1526459242125,-91,-92,-75,-74,-200,-200,-91,-80,-200,-200,-200,-200,-200,-200
1526459242229,-200,-92,-75,-74,-73,-200,-200,-80,-78,-200,-200,-200,-200,-200
1526459242355,-200,-200,-75,-75,-200,-89,-200,-81,-200,-200,-200,-200,-200,-200
1526459242481,-91,-200,-76,-74,-72,-90,-200,-81,-200,-200,-200,-200,-200,-200
1526459242563,-200,-78,-200,-74,-200,-94,-200,-94,-72,-200,-200,-200,-200,-200
1526459247100,-200,-200,-81,-76,-200,-200,-86,-200,-72,-200,-200,-200,-200,-200
1526459247184,-84,-78,-81,-77,-200,-200,-88,-200,-72,-200,-200,-200,-200,-200
1526459247319,-84,-78,-200,-200,-79,-93,-87,-200,-200,-200,-200,-200,-200,-200
1526459247507,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
