,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1
,78:A5:04:41:EB:CE,78:A5:04:41:E7:91,78:A5:04:41:EB:C7,78:A5:04:41:E5:5F,78:A5:04:41:E7:CC,78:A5:04:41:E5:77,78:A5:04:41:EE:07,78:A5:04:41:E7:81,78:A5:04:41:E5:70,78:A5:04:41:E5:56,7C:66:9D:7B:2E:16
1526462027618,-92,-90,-93,-89,-200,-200,-200,-200,-200,-200,-200
1526462027719,-93,-89,-91,-89,-96,-200,-200,-200,-200,-200,-200
1526462027827,-92,-88,-200,-92,-200,-92,-95,-200,-200,-200,-200
1526462027927,-90,-200,-88,-200,-200,-92,-200,-96,-95,-200,-200
1526462032451,-93,-200,-200,-200,-200,-200,-85,-200,-95,-200,-200
1526462032593,-94,-86,-200,-200,-200,-200,-85,-200,-94,-200,-200
1526462032775,-200,-200,-86,-93,-200,-200,-83,-200,-200,-200,-200
1526462032942,-200,-90,-87,-200,-200,-200,-200,-200,-94,-200,-200
1526462037474,-200,-91,-95,-90,-95,-200,-200,-200,-95,-200,-200
1526462037555,-200,-93,-97,-90,-200,-200,-200,-200,-200,-200,-200
1526462037663,-200,-93,-95,-89,-97,-200,-200,-200,-94,-200,-200
1526462037862,-200,-200,-96,-89,-200,-200,-100,-200,-94,-200,-200
1526462037968,-200,-200,-93,-90,-200,-91,-200,-200,-200,-200,-200
1526462042698,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526462042899,-200,-200,-200,-88,-200,-200,-83,-200,-200,-200,-200
1526462047418,-200,-84,-200,-95,-200,-200,-83,-91,-90,-95,-200
1526462047520,-93,-200,-87,-94,-200,-200,-84,-92,-91,-95,-200
1526462047609,-200,-84,-87,-95,-200,-200,-84,-91,-90,-200,-200
1526462047711,-93,-84,-87,-94,-200,-90,-200,-200,-200,-96,-95
1526462047816,-200,-83,-86,-95,-200,-90,-200,-93,-200,-95,-200
1526462048004,-95,-92,-95,-89,-200,-200,-84,-200,-94,-93,-200
1526462052550,-96,-92,-96,-89,-200,-97,-200,-200,-95,-200,-200
1526462052675,-200,-200,-95,-200,-96,-200,-200,-200,-94,-200,-200
1526462052847,-200,-92,-96,-89,-94,-200,-99,-200,-94,-200,-200
1526462052956,-91,-88,-95,-89,-94,-200,-200,-200,-200,-200,-200
1526462057654,-200,-200,-92,-87,-200,-200,-200,-200,-200,-95,-200
1526462062419,-92,-200,-86,-200,-200,-90,-84,-91,-200,-94,-200
1526462062526,-93,-84,-88,-200,-200,-91,-84,-92,-90,-94,-200
1526462062656,-200,-85,-88,-97,-200,-91,-84,-200,-91,-200,-200
1526462062768,-93,-85,-200,-200,-200,-200,-84,-200,-92,-200,-200
1526462062850,-93,-84,-88,-200,-200,-200,-84,-94,-91,-200,-200
1526462062951,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200
1526462067462,-200,-200,-200,-90,-94,-200,-100,-200,-94,-200,-200
1526462067575,-96,-92,-96,-90,-95,-200,-200,-200,-94,-200,-200
1526462067686,-200,-91,-95,-90,-95,-200,-200,-200,-94,-200,-200
1526462067803,-200,-92,-200,-90,-96,-97,-200,-200,-94,-200,-200
1526462067908,-98,-91,-200,-200,-200,-200,-200,-200,-94,-200,-200
1526462072437,-92,-89,-93,-88,-200,-200,-200,-200,-200,-200,-100
1526462077502,-94,-84,-86,-96,-200,-91,-200,-200,-90,-200,-200
1526462077603,-200,-200,-200,-95,-200,-200,-84,-91,-200,-200,-200
1526462077712,-93,-200,-87,-95,-200,-200,-82,-200,-89,-200,-200
1526462077820,-200,-200,-87,-95,-200,-91,-83,-200,-92,-94,-200
1526462077919,-200,-92,-88,-96,-200,-200,-85,-200,-200,-200,-200
1526462082667,-200,-91,-97,-90,-200,-97,-200,-200,-94,-200,-200
1526462082774,-98,-91,-95,-90,-200,-200,-200,-200,-94,-200,-200
1526462082874,-200,-90,-200,-90,-200,-200,-200,-200,-93,-200,-200
1526462087432,-89,-90,-93,-89,-200,-200,-200,-200,-200,-200,-200
1526462087538,-92,-89,-93,-88,-200,-200,-200,-200,-200,-200,-200
1526462087652,-200,-88,-92,-87,-200,-90,-200,-200,-200,-200,-200
1526462087758,-93,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
