,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E5:5F,78:A5:04:41:E7:93,F4:B8:5E:AA:79:4E,78:A5:04:41:EE:07,78:A5:04:41:EB:C7,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:E4,78:A5:04:41:E7:91,78:A5:04:41:EB:DD
1526460932514,-69,-95,-90,-200,-200,-200,-200,-200,-200
1526460932624,-70,-93,-92,-76,-75,-200,-200,-200,-200
1526460932740,-70,-94,-93,-74,-75,-200,-200,-200,-200
1526460932928,-70,-200,-200,-200,-74,-200,-200,-200,-200
1526460937431,-73,-200,-200,-68,-72,-91,-90,-95,-200
1526460937524,-200,-86,-96,-71,-72,-92,-89,-200,-200
1526460937634,-73,-200,-200,-200,-72,-200,-88,-200,-200
1526460937743,-72,-200,-200,-200,-72,-200,-88,-200,-200
1526460937853,-71,-200,-200,-71,-73,-200,-89,-200,-200
1526460942471,-71,-96,-200,-76,-87,-200,-200,-200,-200
1526460942625,-71,-200,-200,-75,-85,-200,-97,-200,-92
1526460942720,-70,-97,-95,-75,-200,-200,-200,-200,-93
1526460942820,-71,-200,-200,-200,-200,-200,-96,-200,-200
1526460942929,-71,-200,-200,-76,-72,-200,-200,-200,-200
1526460947478,-71,-200,-92,-75,-72,-91,-200,-200,-200
1526460947586,-71,-200,-94,-200,-73,-91,-200,-200,-200
1526460947691,-71,-200,-97,-76,-73,-200,-200,-96,-200
1526460947789,-71,-200,-200,-76,-72,-89,-200,-200,-200
1526460947891,-71,-85,-200,-71,-72,-200,-200,-200,-200
1526460952397,-74,-200,-200,-71,-73,-200,-88,-200,-200
1526460952494,-73,-200,-200,-200,-72,-200,-89,-95,-200
1526460952615,-74,-200,-200,-200,-72,-200,-89,-95,-200
1526460952758,-74,-96,-97,-75,-72,-91,-89,-200,-200
1526460957450,-71,-200,-95,-75,-85,-200,-94,-200,-93
1526460957557,-71,-200,-200,-75,-200,-200,-95,-200,-93
1526460957755,-200,-200,-96,-75,-85,-200,-98,-200,-93
1526460957839,-200,-98,-96,-74,-200,-200,-200,-200,-92
1526460957941,-200,-200,-200,-75,-72,-200,-200,-200,-200
1526460962479,-200,-200,-200,-76,-72,-200,-200,-200,-200
1526460962581,-71,-200,-200,-76,-72,-90,-200,-200,-200
1526460962785,-71,-200,-200,-76,-73,-200,-200,-200,-200
1526460962896,-78,-200,-200,-76,-73,-93,-200,-200,-200
1526460967468,-75,-86,-200,-71,-72,-200,-200,-96,-200
1526460967564,-74,-86,-200,-71,-200,-200,-200,-200,-200
1526460967666,-75,-86,-200,-71,-72,-92,-200,-200,-200
1526460967772,-74,-85,-200,-71,-72,-92,-200,-94,-200
1526460967876,-75,-200,-95,-71,-72,-91,-200,-200,-200
1526460972456,-72,-200,-200,-75,-85,-200,-200,-200,-93
1526460972557,-72,-200,-200,-200,-84,-200,-200,-200,-92
1526460972661,-71,-96,-200,-75,-84,-200,-200,-200,-200
1526460972771,-71,-200,-200,-75,-83,-200,-200,-200,-200
1526460972863,-71,-99,-98,-75,-84,-200,-200,-200,-200
1526460977459,-71,-93,-200,-76,-200,-90,-200,-200,-200
1526460977597,-70,-200,-200,-75,-200,-200,-200,-200,-200
1526460977702,-71,-200,-200,-76,-73,-90,-200,-200,-200
1526460977836,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526460977935,-71,-200,-200,-71,-71,-200,-200,-200,-200
1526460982431,-75,-86,-94,-71,-72,-92,-88,-95,-200
1526460982543,-75,-86,-200,-200,-72,-93,-200,-100,-200
1526460982642,-75,-86,-96,-200,-72,-91,-89,-200,-200
1526460982723,-74,-200,-95,-71,-200,-92,-200,-200,-200
1526460982828,-74,-85,-200,-71,-72,-200,-88,-95,-200
1526460982937,-74,-95,-98,-70,-85,-200,-89,-200,-93
1526460987462,-71,-99,-200,-75,-85,-200,-95,-200,-93
1526460987582,-71,-200,-200,-75,-200,-200,-200,-200,-93
1526460987687,-72,-200,-97,-75,-200,-200,-200,-200,-93
1526460987803,-70,-200,-96,-75,-85,-200,-200,-200,-200
1526460987891,-200,-200,-200,-76,-200,-200,-200,-200,-93
1526460992407,-70,-200,-200,-76,-72,-90,-200,-200,-200
1526460992515,-71,-200,-95,-76,-73,-200,-200,-200,-200
1526460992628,-71,-95,-200,-76,-73,-200,-200,-200,-200
1526460992732,-71,-200,-200,-76,-72,-200,-200,-200,-200
1526460992831,-200,-200,-200,-76,-72,-200,-200,-200,-200
