,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:2E:16,78:A5:04:41:E7:91,78:A5:04:41:E5:5F,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:D3,7C:66:9D:7B:2B:DE,78:A5:04:41:EB:C7,F4:B8:5E:AA:77:73,78:A5:04:41:EE:07,7C:66:9D:7B:2B:E4,78:A5:04:41:EB:C9,78:A5:04:41:E5:56
1526462489582,-88,-83,-80,-64,-200,-200,-200,-200,-200,-200,-200,-200
1526462489705,-89,-85,-76,-65,-69,-82,-77,-84,-200,-200,-200,-200
1526462489829,-200,-85,-200,-65,-68,-200,-200,-200,-84,-68,-200,-200
1526462489971,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200
1526462494369,-88,-200,-78,-73,-72,-200,-200,-86,-85,-200,-200,-200
1526462494462,-200,-85,-200,-200,-72,-84,-76,-86,-86,-200,-88,-200
1526462494562,-200,-85,-200,-72,-72,-200,-76,-86,-86,-200,-88,-200
1526462494675,-88,-200,-200,-200,-73,-84,-200,-86,-85,-71,-200,-200
1526462494778,-200,-85,-78,-200,-73,-200,-200,-83,-85,-200,-200,-200
1526462499381,-200,-86,-84,-81,-69,-200,-81,-83,-200,-69,-200,-200
1526462499495,-90,-90,-85,-80,-69,-86,-80,-84,-200,-69,-200,-200
1526462499620,-89,-90,-84,-77,-74,-86,-83,-200,-89,-76,-200,-200
1526462499725,-88,-87,-200,-76,-76,-87,-200,-82,-87,-200,-200,-200
1526462504369,-200,-82,-200,-69,-200,-200,-200,-200,-90,-200,-200,-200
1526462504898,-200,-200,-82,-73,-200,-200,-77,-200,-200,-66,-200,-200
1526462504989,-200,-82,-80,-68,-200,-200,-200,-200,-90,-200,-200,-200
1526462505103,-200,-200,-200,-69,-200,-90,-200,-200,-200,-66,-200,-200
1526462505218,-89,-200,-200,-69,-200,-200,-73,-200,-85,-200,-200,-200
1526462509394,-90,-200,-200,-73,-74,-200,-73,-200,-85,-200,-85,-200
1526462509498,-90,-80,-80,-73,-74,-83,-73,-84,-86,-72,-200,-200
1526462509607,-90,-82,-80,-73,-74,-200,-74,-84,-200,-200,-84,-200
1526462509733,-90,-200,-200,-73,-74,-83,-200,-84,-86,-200,-84,-200
1526462514430,-88,-82,-83,-79,-79,-200,-82,-200,-200,-65,-200,-89
1526462514991,-86,-200,-200,-81,-200,-200,-86,-200,-200,-74,-200,-200
1526462515383,-200,-200,-200,-200,-200,-200,-83,-200,-200,-73,-200,-200
1526462515497,-85,-83,-200,-200,-78,-200,-83,-83,-200,-72,-200,-200
1526462519356,-200,-200,-88,-200,-200,-200,-76,-90,-84,-65,-200,-200
1526462519495,-200,-80,-86,-200,-200,-200,-77,-200,-200,-200,-87,-200
1526462519606,-200,-79,-87,-68,-200,-200,-77,-89,-200,-65,-200,-200
1526462519710,-86,-80,-200,-68,-74,-200,-77,-200,-200,-200,-200,-200
1526462519821,-200,-80,-200,-200,-200,-200,-77,-200,-200,-200,-87,-200
1526462524383,-90,-78,-80,-72,-200,-200,-74,-200,-83,-75,-82,-200
1526462524479,-200,-78,-200,-73,-200,-82,-200,-86,-83,-75,-200,-200
1526462524600,-90,-78,-80,-72,-200,-82,-74,-86,-83,-200,-83,-200
1526462524694,-90,-200,-80,-73,-200,-82,-74,-200,-83,-200,-83,-200
1526462524800,-88,-200,-85,-81,-77,-82,-82,-86,-200,-74,-200,-200
1526462529949,-87,-80,-84,-81,-69,-200,-82,-200,-90,-200,-200,-200
1526462530049,-87,-78,-85,-80,-69,-93,-81,-84,-84,-65,-200,-92
