,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0121.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011e.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:85,78:A5:04:41:E7:91,78:A5:04:41:E9:E0,78:A5:04:41:E7:81,78:A5:04:41:EB:C9,78:A5:04:41:E5:56,78:A5:04:41:E5:77,F4:B8:5E:AA:79:6C,78:A5:04:41:EB:B7,F4:B8:5E:AA:78:68,78:A5:04:41:EB:94,78:A5:04:41:EB:AC,78:A5:04:41:E7:CC
1526463094922,-83,-90,-87,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526463095040,-84,-200,-79,-87,-76,-80,-89,-83,-87,-86,-200,-200,-200
1526463099466,-200,-200,-79,-87,-200,-90,-89,-83,-86,-86,-200,-200,-200
1526463099627,-200,-200,-78,-87,-77,-200,-89,-83,-87,-200,-200,-200,-200
1526463099800,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463104625,-200,-200,-88,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526463104820,-90,-200,-84,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526463105460,-87,-200,-84,-200,-91,-80,-200,-200,-200,-200,-200,-90,-200
1526463109427,-200,-200,-84,-88,-85,-200,-200,-200,-200,-86,-90,-91,-90
1526463109632,-200,-200,-86,-200,-85,-83,-200,-200,-200,-86,-90,-90,-200
1526463109787,-200,-200,-83,-200,-200,-82,-90,-85,-200,-86,-89,-89,-200
1526463114431,-88,-200,-200,-200,-83,-83,-93,-88,-200,-88,-200,-200,-90
1526463114539,-88,-200,-200,-200,-81,-84,-200,-200,-200,-87,-200,-200,-90
1526463114792,-200,-200,-200,-88,-76,-81,-200,-200,-200,-200,-200,-92,-200
1526463119394,-200,-200,-78,-90,-77,-86,-200,-85,-200,-200,-200,-200,-200
1526463119498,-200,-200,-78,-200,-77,-86,-200,-200,-200,-200,-200,-200,-200
1526463119609,-200,-88,-200,-91,-77,-85,-200,-84,-200,-200,-200,-200,-200
1526463119717,-92,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526463119805,-200,-88,-200,-200,-200,-85,-200,-85,-200,-83,-200,-200,-200
1526463124461,-200,-200,-78,-200,-68,-200,-200,-85,-200,-82,-200,-200,-200
1526463124598,-200,-88,-79,-200,-68,-200,-200,-87,-200,-83,-200,-200,-200
1526463124778,-200,-200,-200,-200,-83,-89,-200,-87,-200,-96,-200,-200,-200
1526463129757,-200,-85,-200,-200,-82,-200,-200,-86,-200,-89,-200,-200,-200
1526463129873,-200,-86,-88,-200,-83,-200,-200,-86,-200,-200,-200,-200,-89
1526463130047,-200,-200,-86,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526463134412,-200,-200,-85,-200,-67,-200,-200,-85,-200,-200,-200,-200,-200
1526463134520,-88,-89,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526463134616,-88,-88,-87,-200,-200,-200,-200,-86,-200,-200,-200,-200,-90
1526463134804,-88,-89,-82,-200,-200,-200,-91,-200,-200,-200,-200,-200,-88
1526463139441,-89,-200,-82,-88,-81,-83,-200,-200,-89,-200,-200,-200,-88
1526463139539,-89,-200,-82,-88,-80,-200,-200,-90,-200,-200,-200,-200,-88
1526463139678,-89,-200,-200,-89,-81,-200,-200,-200,-89,-200,-200,-200,-88
1526463139779,-200,-85,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526463144382,-200,-200,-200,-200,-84,-86,-92,-87,-200,-88,-200,-200,-89
1526463144579,-200,-85,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526463144668,-200,-86,-200,-200,-200,-200,-200,-86,-200,-88,-200,-200,-200
1526463144771,-200,-85,-90,-200,-66,-200,-200,-84,-200,-88,-200,-200,-91
1526463149533,-200,-200,-200,-200,-66,-200,-200,-200,-200,-89,-200,-200,-200
1526463149638,-88,-89,-200,-200,-66,-200,-200,-89,-200,-88,-200,-200,-89
1526463149772,-88,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526463154406,-90,-200,-83,-200,-81,-83,-92,-200,-200,-200,-200,-200,-200
1526463154509,-89,-200,-200,-88,-200,-83,-200,-200,-200,-200,-200,-200,-88
1526463154670,-200,-200,-82,-88,-200,-83,-200,-200,-200,-200,-200,-200,-88
1526463154768,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
