,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,7C:66:9D:7B:47:FC,7C:66:9D:7B:2E:21,78:A5:04:41:EB:D8,78:A5:04:41:EB:FE,78:A5:04:41:E9:A5,78:A5:04:41:EB:94,78:A5:04:41:EB:E8,78:A5:04:41:E9:E3,BC:6A:29:BE:31:7F,78:A5:04:41:EB:D1,78:A5:04:41:EB:AC
1526464696325,-92,-88,-80,-83,-87,-200,-200,-200,-200,-200,-200
1526464696433,-92,-200,-80,-83,-200,-92,-200,-200,-200,-200,-200
1526464696535,-94,-88,-80,-84,-87,-200,-80,-200,-200,-200,-200
1526464696652,-200,-88,-82,-82,-200,-81,-200,-93,-200,-200,-200
1526464701335,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526464701453,-200,-94,-82,-82,-200,-200,-84,-200,-200,-200,-200
1526464701555,-200,-94,-200,-82,-200,-82,-85,-92,-103,-92,-200
1526464701652,-200,-93,-200,-83,-200,-200,-80,-200,-200,-200,-200
1526464706310,-200,-89,-200,-200,-200,-200,-200,-200,-100,-86,-200
1526464706408,-97,-89,-82,-200,-200,-200,-80,-200,-200,-200,-200
1526464706616,-200,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200
1526464711234,-89,-83,-79,-85,-200,-200,-83,-200,-200,-200,-200
1526464711342,-90,-200,-78,-84,-200,-82,-200,-200,-200,-200,-200
1526464711454,-89,-200,-79,-200,-200,-82,-83,-200,-99,-200,-200
1526464711551,-200,-200,-79,-84,-200,-82,-200,-200,-95,-200,-200
1526464711654,-200,-94,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526464716257,-99,-93,-82,-78,-200,-200,-85,-200,-200,-88,-91
1526464716353,-98,-200,-81,-79,-200,-200,-85,-200,-200,-200,-200
1526464716472,-100,-200,-200,-79,-200,-200,-200,-200,-200,-88,-200
1526464716581,-91,-92,-200,-79,-200,-200,-85,-200,-200,-200,-200
1526464721389,-93,-88,-200,-200,-200,-200,-200,-200,-96,-200,-200
1526464721490,-200,-94,-200,-200,-200,-200,-200,-200,-100,-200,-200
1526464721603,-92,-88,-200,-200,-200,-200,-200,-200,-98,-200,-200
1526464721706,-91,-87,-79,-87,-200,-200,-84,-200,-200,-200,-200
1526464721823,-90,-94,-88,-200,-200,-200,-85,-200,-94,-200,-200
1526464726352,-200,-200,-89,-84,-200,-200,-200,-200,-100,-200,-92
1526464726453,-200,-94,-88,-200,-200,-90,-200,-200,-99,-200,-200
1526464726552,-200,-200,-89,-83,-200,-90,-200,-93,-200,-200,-200
1526464726661,-200,-97,-88,-200,-200,-200,-200,-200,-103,-200,-200
1526464731493,-200,-95,-88,-200,-200,-89,-200,-200,-98,-200,-93
1526464731797,-200,-94,-200,-82,-200,-91,-200,-200,-101,-200,-200
1526464732328,-200,-94,-200,-200,-200,-90,-85,-200,-200,-200,-200
1526464736255,-200,-200,-200,-83,-200,-82,-80,-87,-200,-200,-200
1526464736352,-200,-92,-78,-200,-200,-82,-200,-200,-200,-200,-200
1526464736459,-200,-200,-79,-83,-200,-82,-200,-200,-200,-200,-200
1526464736558,-100,-91,-78,-83,-200,-82,-80,-90,-200,-200,-200
1526464741249,-89,-200,-82,-81,-200,-86,-83,-200,-95,-200,-200
1526464741340,-90,-84,-83,-80,-200,-85,-83,-200,-96,-200,-200
1526464741443,-92,-83,-200,-200,-200,-86,-83,-200,-200,-200,-200
1526464741565,-90,-84,-83,-200,-200,-200,-83,-200,-95,-200,-200
1526464741657,-90,-200,-200,-78,-200,-86,-200,-200,-100,-90,-200
1526464746466,-200,-200,-84,-78,-200,-87,-200,-200,-200,-91,-200
1526464746566,-200,-200,-200,-78,-200,-88,-85,-200,-100,-200,-200
1526464746689,-200,-94,-200,-82,-200,-85,-86,-200,-200,-200,-200
1526464751380,-200,-93,-89,-81,-200,-85,-80,-200,-99,-88,-200
1526464751570,-96,-92,-88,-86,-200,-86,-80,-200,-99,-87,-200
1526464756717,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91
1526464756831,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464756946,-97,-93,-81,-200,-200,-200,-200,-200,-200,-86,-200
