,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:D8,7C:66:9D:7B:2E:21,7C:66:9D:7B:47:FC,78:A5:04:41:EB:FE,78:A5:04:41:EB:94,78:A5:04:41:EB:E8,78:A5:04:41:EB:D1,78:A5:04:41:EB:AC
1526465166330,-86,-88,-89,-200,-200,-200,-200,-200
1526465166440,-200,-88,-91,-68,-200,-200,-200,-200
1526465166619,-200,-89,-90,-200,-200,-200,-200,-200
1526465171294,-200,-94,-200,-70,-200,-200,-200,-200
1526465171405,-200,-94,-96,-69,-200,-200,-200,-200
1526465171503,-200,-90,-200,-69,-200,-200,-200,-200
1526465171717,-200,-91,-200,-200,-200,-200,-200,-200
1526465176242,-86,-94,-98,-69,-87,-85,-200,-200
1526465176331,-200,-94,-98,-69,-86,-85,-200,-200
1526465176442,-87,-94,-200,-69,-200,-84,-200,-200
1526465176546,-86,-95,-200,-200,-200,-84,-200,-200
1526465176653,-200,-94,-82,-67,-200,-200,-200,-200
1526465181367,-200,-92,-88,-67,-200,-83,-200,-200
1526465181524,-200,-90,-84,-200,-200,-83,-88,-200
1526465186249,-88,-98,-92,-73,-85,-88,-200,-200
1526465186339,-86,-94,-92,-74,-84,-200,-200,-200
1526465186441,-86,-92,-91,-74,-200,-200,-200,-200
1526465186545,-88,-200,-91,-74,-85,-200,-200,-200
1526465186664,-86,-96,-92,-77,-87,-86,-200,-200
1526465191368,-88,-96,-200,-79,-200,-85,-200,-92
1526465191463,-200,-99,-200,-76,-200,-200,-200,-200
1526465191571,-200,-104,-200,-200,-200,-200,-200,-200
1526465191785,-200,-93,-90,-69,-90,-200,-200,-200
1526465196320,-200,-86,-200,-69,-200,-200,-200,-200
1526465196423,-200,-86,-90,-70,-200,-200,-200,-200
1526465196539,-88,-87,-200,-200,-200,-200,-200,-200
1526465196652,-200,-84,-200,-75,-200,-200,-200,-200
1526465201284,-88,-87,-94,-75,-200,-85,-91,-200
1526465201380,-200,-88,-200,-73,-200,-200,-200,-200
1526465201501,-89,-85,-99,-200,-200,-200,-200,-200
1526465201626,-200,-89,-95,-200,-200,-200,-200,-200
1526465201806,-92,-91,-97,-75,-88,-83,-200,-200
1526465206369,-91,-200,-101,-200,-88,-83,-200,-200
1526465206482,-200,-88,-200,-82,-88,-82,-200,-200
1526465211310,-200,-88,-200,-77,-200,-200,-200,-200
1526465211412,-200,-89,-200,-77,-200,-200,-200,-200
1526465211519,-200,-89,-90,-77,-200,-85,-200,-200
1526465211627,-200,-200,-88,-77,-90,-85,-200,-200
1526465216273,-200,-200,-92,-200,-200,-85,-200,-200
1526465216468,-89,-200,-92,-69,-200,-86,-200,-200
1526465216687,-88,-89,-94,-68,-200,-200,-200,-200
1526465216785,-87,-89,-93,-68,-200,-200,-200,-200
1526465221327,-87,-93,-92,-76,-90,-200,-200,-200
1526465221409,-200,-91,-93,-76,-200,-200,-90,-200
1526465221633,-87,-87,-200,-76,-200,-200,-90,-200
1526465226422,-200,-80,-88,-200,-200,-200,-200,-200
1526465226529,-200,-87,-89,-200,-200,-200,-200,-200
1526465226771,-200,-90,-90,-200,-200,-200,-200,-200
1526465226878,-200,-88,-91,-200,-200,-200,-200,-200
1526465226974,-200,-87,-90,-74,-200,-200,-200,-200
