,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:B5,78:A5:04:41:E9:C8,7C:66:9D:7B:47:FC,78:A5:04:41:EB:AA,78:A5:04:41:EE:0A,78:A5:04:41:EB:D4,78:A5:04:41:E9:FB,78:A5:04:41:E5:59,7C:66:9D:7B:2E:21,78:A5:04:41:EB:AB,78:A5:04:41:E9:A7,78:A5:04:41:E9:F2,78:A5:04:41:EB:DF
1526465921170,-80,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465921276,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465921382,-200,-76,-96,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465926139,-87,-76,-102,-90,-92,-91,-200,-200,-200,-200,-200,-200,-200
1526465926300,-86,-200,-200,-90,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526465926419,-87,-76,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200
1526465931111,-86,-78,-200,-85,-200,-200,-90,-90,-200,-200,-200,-200,-200
1526465931295,-200,-200,-200,-86,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526465931470,-81,-76,-96,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526465936146,-81,-76,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465936257,-81,-76,-97,-92,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526465936343,-81,-76,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465941085,-86,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465941294,-88,-76,-200,-88,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526465946075,-84,-68,-200,-88,-200,-200,-200,-200,-98,-200,-88,-200,-200
1526465946249,-85,-200,-200,-88,-200,-200,-200,-200,-96,-200,-89,-200,-200
1526465946420,-200,-200,-200,-200,-90,-200,-200,-200,-98,-200,-90,-200,-200
1526465951166,-200,-87,-200,-89,-89,-200,-200,-200,-200,-94,-88,-88,-200
1526465951497,-88,-69,-200,-86,-92,-200,-200,-200,-200,-200,-90,-89,-91
1526465956287,-88,-69,-103,-87,-91,-200,-200,-200,-200,-200,-90,-200,-200
1526465956585,-200,-200,-101,-86,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526465956687,-85,-68,-200,-87,-200,-200,-200,-200,-100,-200,-200,-200,-200
1526465961256,-85,-200,-200,-89,-200,-200,-200,-200,-98,-200,-88,-200,-200
1526465961423,-81,-69,-200,-88,-200,-200,-200,-200,-200,-200,-88,-89,-200
1526465966070,-82,-88,-200,-90,-88,-200,-200,-200,-200,-200,-88,-90,-200
1526465966173,-82,-87,-200,-90,-200,-200,-200,-200,-200,-200,-88,-89,-200
1526465966283,-88,-88,-102,-200,-88,-200,-200,-200,-200,-200,-90,-200,-200
1526465971095,-88,-69,-200,-200,-200,-90,-200,-200,-200,-200,-92,-200,-200
1526465971275,-88,-69,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465971467,-200,-200,-200,-86,-200,-200,-200,-200,-96,-200,-200,-200,-200
1526465976089,-85,-69,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465976314,-85,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465976419,-85,-74,-101,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526465981322,-200,-68,-100,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526465981422,-86,-69,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465981534,-200,-69,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465981635,-200,-69,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
