,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:F2,78:A5:04:41:EB:E1,78:A5:04:41:E9:DF,78:A5:04:41:EB:EA,78:A5:04:41:EB:AB,78:A5:04:41:EB:CA,78:A5:04:41:EB:E4,78:A5:04:41:EB:DF,F4:B8:5E:AA:7A:3E,78:A5:04:41:EB:F6,78:A5:04:41:E9:E8,F4:B8:5E:AA:7A:97,78:A5:04:41:EB:93,78:A5:04:41:E5:67,78:A5:04:41:EB:AA,78:A5:04:41:EB:BF,78:A5:04:41:EB:B1,78:A5:04:41:EB:D9,78:A5:04:41:E9:A7,7C:66:9D:7B:2D:79,78:A5:04:41:EB:B5,78:A5:04:41:E9:E7,78:A5:04:41:E9:F3,78:A5:04:41:EE:0A,78:A5:04:41:E9:FB,78:A5:04:41:EB:EC,78:A5:04:41:EB:B2
1526465774978,-70,-84,-83,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465775086,-69,-200,-200,-200,-84,-83,-78,-80,-84,-82,-86,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465775204,-68,-200,-200,-200,-86,-200,-200,-79,-200,-200,-86,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465775294,-69,-200,-200,-200,-86,-77,-200,-77,-79,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465780020,-74,-200,-86,-64,-83,-77,-200,-79,-200,-200,-200,-81,-200,-82,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465784916,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-76,-200,-200,-200,-82,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465785009,-74,-200,-200,-73,-91,-200,-200,-89,-83,-89,-90,-76,-88,-200,-200,-82,-200,-86,-84,-79,-88,-200,-200,-200,-200,-200,-200
1526465785191,-74,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-75,-90,-200,-200,-82,-200,-200,-200,-79,-88,-89,-101,-200,-200,-200,-200
1526465785272,-68,-200,-200,-68,-200,-81,-78,-200,-83,-200,-200,-200,-200,-83,-90,-200,-200,-200,-87,-78,-84,-200,-200,-200,-200,-200,-200
