,011d.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
,F4:B8:5E:AA:7A:3E,78:A5:04:41:E5:67,78:A5:04:41:EB:AA,78:A5:04:41:E9:A7,7C:66:9D:7B:2D:79,78:A5:04:41:EB:B2,78:A5:04:41:EB:DF,78:A5:04:41:EB:EA,F4:B8:5E:AA:7A:97,78:A5:04:41:E9:F2,78:A5:04:41:EB:E1,78:A5:04:41:E9:DF,78:A5:04:41:EB:D8,78:A5:04:41:EB:AB,78:A5:04:41:EB:F6,78:A5:04:41:E9:FB,78:A5:04:41:EB:BF,78:A5:04:41:E9:C8,78:A5:04:41:EB:CA,78:A5:04:41:EB:E4,78:A5:04:41:EB:93,78:A5:04:41:EB:B1,7C:66:9D:7B:2E:21
1526465882958,-86,-76,-86,-83,-82,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465883026,-79,-200,-80,-200,-83,-200,-72,-69,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465887770,-74,-75,-200,-200,-200,-200,-200,-64,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465887873,-75,-76,-200,-200,-200,-200,-200,-64,-200,-77,-87,-79,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465887998,-200,-200,-200,-200,-200,-200,-200,-64,-82,-77,-200,-200,-200,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526465892799,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-87,-88,-88,-200,-200,-200,-200,-200,-200,-200
1526465892895,-75,-200,-76,-200,-200,-200,-200,-75,-80,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526465892998,-76,-200,-76,-200,-80,-200,-74,-77,-81,-58,-200,-200,-200,-86,-87,-88,-81,-200,-200,-200,-200,-200,-200
1526465893115,-74,-200,-76,-200,-79,-200,-74,-79,-81,-58,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
