,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0119.0012-vlucci.com A1.4.0.1,011d.0012-vlucci.com A1.4.0.1
,78:A5:04:41:EB:EC,78:A5:04:41:E9:9B,78:A5:04:41:EB:CA,78:A5:04:41:E9:DF,78:A5:04:41:EB:E1,78:A5:04:41:EB:D9,78:A5:04:41:E7:84,78:A5:04:41:E5:67,78:A5:04:41:E9:E7,78:A5:04:41:EB:B1,78:A5:04:41:EB:FC,78:A5:04:41:E7:A3,78:A5:04:41:E7:9C,78:A5:04:41:EB:EA,78:A5:04:41:E9:8C,78:A5:04:41:E5:75,78:A5:04:41:EB:93,78:A5:04:41:E9:E8,78:A5:04:41:E9:F7,78:A5:04:41:EB:DF,78:A5:04:41:EE:01,78:A5:04:41:E9:F2,78:A5:04:41:EB:AA,78:A5:04:41:EB:F6,7C:66:9D:7B:2D:79,F4:B8:5E:AA:7A:3E
1526466219890,-73,-88,-86,-69,-84,-70,-84,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466220970,-200,-94,-95,-87,-80,-77,-200,-200,-94,-70,-80,-89,-83,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466222092,-200,-200,-200,-73,-200,-200,-200,-200,-200,-70,-200,-200,-82,-200,-89,-79,-93,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526466223181,-74,-200,-200,-200,-200,-69,-200,-200,-200,-67,-73,-78,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466224275,-87,-94,-95,-200,-86,-200,-86,-200,-200,-70,-200,-75,-200,-200,-86,-200,-200,-87,-85,-200,-200,-200,-200,-200,-200,-200
1526466225417,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-80,-200,-94,-200,-200,-200,-200,-200,-200
1526466226511,-200,-200,-200,-86,-200,-68,-83,-200,-200,-67,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200
1526466227594,-200,-200,-200,-200,-200,-200,-200,-200,-95,-70,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-80,-200,-200,-200,-200,-200
1526466227697,-200,-200,-200,-200,-200,-67,-90,-200,-200,-200,-200,-200,-200,-80,-200,-80,-200,-200,-200,-200,-72,-94,-200,-200,-200,-200
1526466228845,-74,-200,-200,-74,-200,-68,-85,-200,-95,-200,-83,-200,-80,-82,-84,-88,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200
1526466229907,-200,-200,-200,-200,-85,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-83,-83,-200,-200,-200,-200,-200,-200,-200
1526466230982,-76,-200,-200,-200,-200,-68,-200,-80,-200,-68,-200,-76,-79,-78,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526466232139,-76,-200,-200,-72,-90,-200,-200,-200,-200,-70,-76,-200,-200,-82,-200,-81,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200
1526466234272,-76,-200,-200,-200,-200,-68,-200,-200,-200,-68,-200,-200,-200,-79,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526466235381,-75,-200,-88,-200,-83,-75,-200,-200,-94,-71,-200,-73,-82,-200,-200,-80,-92,-82,-200,-200,-74,-200,-96,-200,-200,-200
1526466236538,-200,-200,-200,-73,-200,-67,-200,-200,-95,-70,-76,-200,-200,-78,-200,-83,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526466237763,-75,-200,-200,-200,-82,-68,-200,-200,-200,-70,-79,-73,-200,-200,-89,-78,-200,-81,-200,-200,-72,-200,-200,-200,-200,-200
1526466238875,-73,-200,-83,-200,-200,-200,-200,-200,-200,-70,-74,-200,-88,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466240986,-84,-200,-200,-200,-200,-76,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466241085,-83,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526466242137,-75,-200,-86,-200,-200,-68,-200,-200,-92,-200,-76,-200,-200,-200,-200,-79,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200
1526466244280,-82,-200,-200,-78,-84,-200,-200,-85,-200,-70,-200,-200,-75,-79,-200,-84,-200,-83,-200,-200,-73,-200,-200,-200,-200,-200
1526466245599,-200,-91,-200,-200,-200,-200,-200,-81,-200,-68,-200,-200,-200,-80,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526466246543,-74,-200,-200,-200,-200,-77,-200,-83,-200,-67,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466247693,-70,-200,-200,-76,-200,-82,-200,-200,-200,-67,-89,-74,-83,-200,-200,-87,-92,-85,-85,-200,-70,-96,-200,-200,-97,-200
1526466248824,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526466249878,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-69,-72,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526466249978,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-72,-73,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200
1526466251063,-69,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-73,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466252101,-73,-200,-200,-66,-200,-200,-86,-86,-200,-200,-200,-87,-200,-200,-82,-200,-93,-83,-200,-200,-71,-200,-200,-92,-200,-200
1526466253224,-72,-200,-86,-69,-91,-76,-200,-200,-85,-70,-67,-85,-82,-80,-200,-200,-89,-90,-78,-200,-200,-200,-200,-200,-200,-200
1526466255396,-200,-200,-200,-200,-200,-73,-200,-200,-200,-68,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200
1526466256476,-200,-89,-86,-200,-88,-74,-200,-92,-200,-200,-67,-81,-85,-80,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466257582,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-90,-200,-200,-200,-200,-88,-200,-200
1526466257684,-200,-200,-200,-64,-86,-76,-200,-200,-200,-200,-69,-75,-93,-200,-200,-80,-200,-85,-77,-200,-200,-200,-200,-200,-200,-200
1526466259796,-200,-200,-200,-67,-93,-81,-200,-92,-200,-68,-71,-200,-200,-200,-82,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466260916,-200,-200,-90,-68,-87,-200,-200,-200,-200,-200,-200,-73,-200,-80,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200
1526466262014,-200,-200,-200,-66,-200,-72,-200,-200,-200,-67,-200,-200,-77,-200,-200,-82,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526466263092,-71,-200,-200,-200,-200,-75,-200,-200,-200,-200,-84,-74,-200,-80,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526466264208,-72,-200,-200,-200,-200,-83,-200,-86,-200,-71,-200,-200,-200,-82,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466265277,-200,-200,-200,-67,-200,-74,-88,-200,-88,-200,-69,-200,-200,-200,-91,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466265385,-200,-200,-200,-200,-89,-73,-200,-86,-97,-200,-84,-200,-200,-81,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526466267477,-200,-94,-200,-200,-83,-73,-200,-200,-200,-70,-70,-74,-200,-200,-200,-81,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200
1526466268585,-70,-200,-84,-64,-200,-200,-200,-200,-200,-68,-200,-76,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466269678,-200,-200,-200,-200,-200,-81,-200,-86,-200,-72,-200,-200,-200,-200,-82,-85,-200,-90,-200,-200,-71,-200,-200,-88,-200,-200
1526466270830,-200,-200,-200,-200,-86,-200,-200,-200,-200,-68,-200,-73,-85,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526466271882,-200,-200,-200,-200,-90,-75,-85,-200,-200,-200,-68,-78,-200,-78,-200,-200,-200,-200,-95,-200,-69,-200,-200,-200,-200,-200
1526466272988,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-82,-200,-200,-200,-200,-81,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526466273080,-72,-200,-200,-200,-200,-74,-200,-84,-200,-200,-68,-200,-200,-77,-200,-200,-88,-200,-77,-200,-83,-200,-200,-200,-200,-200
1526466274130,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-91,-200,-200
1526466275195,-71,-200,-88,-200,-200,-73,-85,-200,-200,-69,-200,-73,-200,-82,-200,-200,-200,-87,-200,-200,-70,-200,-200,-90,-200,-200
1526466276291,-74,-200,-200,-66,-200,-200,-200,-92,-200,-200,-69,-73,-79,-79,-200,-200,-200,-200,-79,-200,-70,-200,-200,-200,-200,-200
1526466277379,-200,-200,-200,-67,-91,-200,-85,-200,-200,-70,-68,-200,-80,-81,-200,-82,-200,-86,-200,-200,-72,-200,-200,-200,-200,-200
1526466278495,-73,-200,-90,-68,-200,-73,-200,-200,-200,-71,-83,-200,-200,-82,-83,-85,-95,-200,-83,-90,-81,-200,-200,-200,-200,-200
1526466279635,-200,-200,-200,-66,-200,-76,-200,-200,-200,-68,-200,-200,-200,-76,-200,-82,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526466279730,-200,-93,-200,-66,-200,-200,-200,-200,-200,-69,-200,-73,-78,-200,-92,-200,-86,-88,-200,-200,-200,-200,-200,-89,-200,-200
1526466281940,-73,-92,-200,-66,-200,-78,-200,-85,-200,-70,-200,-200,-79,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-96
1526466284113,-200,-93,-200,-68,-200,-200,-200,-200,-200,-200,-200,-91,-84,-80,-200,-84,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
