,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:EC,78:A5:04:41:EE:01,78:A5:04:41:EB:B1
1526446916327,-89,-200,-200
1526446916449,-89,-200,-200
1526446916573,-89,-200,-200
1526446916750,-89,-97,-200
1526446926645,-200,-97,-200
1526446931325,-89,-93,-200
1526446931440,-89,-200,-200
1526446931544,-88,-200,-200
1526446936409,-91,-200,-97
1526446941796,-89,-200,-96
1526446946446,-88,-200,-200
1526446946667,-89,-200,-200
1526446946779,-89,-99,-200
1526446956594,-200,-98,-200
