,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:EC,78:A5:04:41:EE:01,78:A5:04:41:E9:E8,78:A5:04:41:EB:B1,78:A5:04:41:EB:D9,78:A5:04:41:EB:E1
1526447430696,-90,-86,-83,-88,-200,-200
1526447436545,-200,-86,-85,-88,-200,-200
1526447436701,-200,-200,-79,-200,-90,-200
1526447441539,-91,-87,-86,-200,-200,-200
1526447451375,-200,-200,-87,-200,-200,-200
1526447451473,-200,-88,-86,-88,-200,-200
1526447451712,-200,-87,-85,-89,-200,-200
1526447451823,-90,-200,-84,-88,-200,-200
1526447456435,-200,-200,-84,-200,-200,-200
1526447456548,-200,-200,-84,-200,-200,-95
1526447456645,-200,-200,-84,-200,-200,-96
1526447456727,-92,-200,-85,-200,-89,-200
1526447461388,-94,-88,-84,-89,-89,-200
1526447466426,-200,-88,-84,-88,-96,-200
1526447466555,-200,-81,-84,-200,-200,-200
1526447466832,-200,-200,-84,-87,-90,-200
1526447471436,-90,-200,-85,-200,-89,-200
1526447471680,-200,-200,-84,-200,-91,-200
1526447471753,-200,-200,-89,-200,-89,-200
1526447481310,-94,-87,-86,-88,-200,-200
1526447481419,-200,-88,-87,-88,-200,-200
1526447481522,-94,-89,-86,-88,-200,-200
1526447481637,-200,-88,-84,-87,-200,-200
1526447486443,-90,-200,-85,-200,-200,-200
1526447486563,-200,-200,-85,-200,-200,-200
1526447486641,-90,-200,-84,-200,-90,-200
1526447486746,-200,-200,-85,-200,-200,-200
