,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:EB:E4,78:A5:04:41:EB:AB,78:A5:04:41:EB:F6,78:A5:04:41:EB:B2,78:A5:04:41:E9:F2
1526452123005,-83,-200,-200,-200,-200
1526452125962,-77,-200,-200,-200,-200
1526452126169,-77,-200,-200,-200,-200
1526452130796,-82,-200,-200,-200,-200
1526452130880,-83,-94,-200,-200,-200
1526452131183,-82,-96,-200,-200,-200
1526452135749,-84,-200,-200,-200,-200
1526452141000,-76,-200,-200,-200,-200
1526452141112,-77,-200,-200,-200,-200
1526452141215,-76,-200,-200,-200,-200
1526452145751,-83,-200,-200,-200,-200
1526452145872,-82,-200,-200,-200,-200
1526452145974,-83,-95,-200,-200,-200
1526452146295,-83,-200,-92,-200,-200
1526452150894,-81,-200,-200,-88,-200
1526452151094,-76,-200,-200,-200,-94
1526452155843,-77,-200,-200,-200,-200
1526452155944,-78,-200,-200,-200,-200
1526452160904,-83,-200,-200,-200,-200
1526452160978,-82,-200,-200,-200,-200
1526452161089,-82,-200,-200,-200,-200
1526452161191,-82,-200,-200,-200,-200
1526452165807,-82,-200,-200,-200,-200
1526452166015,-81,-200,-93,-200,-200
1526452166110,-81,-200,-200,-200,-200
1526452171162,-77,-200,-200,-200,-200
1526452175743,-82,-200,-200,-96,-200
1526452175859,-82,-200,-200,-200,-200
1526452175939,-84,-200,-200,-200,-200
1526452176046,-83,-200,-200,-200,-200
1526452176154,-83,-200,-200,-200,-200
1526452176287,-82,-200,-200,-200,-200
1526452180775,-83,-200,-200,-89,-200
1526452180878,-83,-200,-200,-200,-200
1526452180984,-82,-200,-200,-200,-200
1526452181094,-83,-200,-200,-90,-200
1526452181195,-83,-200,-200,-200,-200
