,0116.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:DE,F4:B8:5E:AA:77:73,7C:66:9D:7B:2E:16,F4:B8:5E:AA:79:4E
1526459615165,-93,-200,-200,-200
1526459617168,-91,-96,-95,-200
1526459623251,-200,-90,-200,-200
1526459623886,-94,-90,-200,-200
1526459625254,-200,-92,-200,-200
1526459626626,-200,-94,-100,-200
1526459629243,-200,-92,-200,-200
1526459629867,-200,-92,-200,-200
1526459630484,-200,-94,-200,-200
1526459637227,-95,-91,-200,-200
1526459641099,-93,-92,-200,-200
1526459644350,-200,-94,-200,-200
1526459645035,-200,-95,-200,-200
1526459645605,-200,-93,-200,-200
1526459646225,-96,-93,-200,-200
1526459650957,-200,-92,-200,-93
1526459657580,-200,-95,-92,-200
1526459662834,-200,-96,-93,-200
1526459667330,-200,-95,-93,-200
