,0117.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1
,7C:66:9D:7B:2B:D3,F4:B8:5E:AA:79:4E,7C:66:9D:7B:2B:E4
1526459834032,-83,-83,-200
1526459834782,-85,-83,-200
1526459835778,-83,-83,-200
1526459836519,-200,-83,-88
1526459837155,-84,-83,-90
1526459838524,-84,-91,-90
1526459840522,-200,-90,-200
1526459841257,-84,-91,-200
1526459842504,-200,-87,-200
1526459843243,-83,-86,-200
1526459843864,-200,-84,-200
1526459845134,-84,-86,-200
1526459845872,-200,-86,-200
1526459846624,-200,-91,-200
1526459847244,-200,-89,-200
1526459847873,-84,-88,-200
1526459850245,-84,-91,-200
1526459850996,-200,-89,-93
1526459851619,-200,-88,-200
1526459852248,-200,-87,-200
1526459852878,-84,-88,-200
1526459853497,-200,-83,-200
1526459856122,-84,-88,-93
1526459858255,-84,-200,-92
1526459859735,-87,-85,-94
1526459861611,-200,-96,-93
1526459862856,-84,-200,-94
1526459863735,-87,-85,-93
1526459866846,-87,-200,-92
1526459867594,-200,-89,-93
1526459868743,-83,-82,-200
1526459869959,-85,-88,-93
1526459870584,-84,-84,-200
1526459871322,-85,-90,-200
1526459872075,-85,-200,-94
1526459873709,-88,-85,-93
1526459875841,-88,-88,-200
1526459877957,-86,-80,-96
1526459878831,-84,-200,-95
1526459879944,-85,-81,-200
1526459880568,-85,-80,-200
1526459882066,-86,-80,-200
1526459885196,-200,-87,-92
1526459885934,-88,-86,-90
1526459889182,-86,-86,-200
1526459892057,-85,-86,-90
1526459894674,-86,-86,-92
1526459896681,-88,-200,-200
1526459897421,-84,-92,-200
