,011f.0012-vlucci.com A1.4.0.1
,F4:B8:5E:AA:77:7A
1526462029382,-82
1526462030431,-79
1526462030542,-80
1526462030638,-79
1526462030746,-79
1526462030854,-79
1526462035475,-82
1526462035808,-82
1526462035901,-82
1526462040445,-81
1526462040543,-75
1526462040652,-76
1526462040784,-83
1526462040890,-83
1526462050438,-83
1526462050546,-84
1526462050766,-85
1526462050867,-82
1526462055485,-87
1526462055590,-84
1526462055695,-83
1526462055798,-84
1526462055906,-84
1526462065432,-90
1526462070543,-83
1526462070650,-83
1526462070870,-82
1526462075420,-80
1526462085604,-84
1526462085716,-87
1526462085815,-85
1526462090426,-79
1526462090538,-79
1526462090639,-77
