,vlucci.com AC-V1.4.0.0,null
,78:A5:04:41:E9:C8,7C:66:9D:7B:47:FC
1526462902284,-91,-200
1526462904397,-90,-200
1526462905554,-91,-200
1526462909969,-90,-200
1526462914412,-92,-200
1526462915779,-91,-200
1526462917365,-92,-200
1526462920004,-86,-200
1526462920302,-94,-200
1526462920516,-93,-200
1526462920617,-87,-200
1526462921266,-90,-200
1526462927532,-87,-200
1526462928673,-91,-200
1526462929705,-92,-200
1526462931882,-90,-102
1526462938529,-90,-200
1526462939580,-92,-200
1526462942932,-90,-200
1526462943984,-86,-200
