,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:C8,78:A5:04:41:E7:A7
1526463040473,-89,-200
1526463040584,-91,-200
1526463045937,-92,-200
1526463046996,-92,-200
1526463049209,-90,-200
1526463051416,-86,-200
1526463053609,-88,-200
1526463054734,-92,-200
1526463058092,-87,-200
1526463059115,-90,-97
1526463062455,-92,-200
1526463064654,-89,-97
1526463067886,-88,-200
1526463070104,-88,-200
1526463072312,-87,-200
1526463076784,-88,-200
1526463079089,-87,-95
1526463087803,-87,-200
1526463091243,-86,-200
1526463096604,-88,-200
1526463098799,-91,-200
1526463099960,-90,-200
1526463100992,-87,-200
1526463103205,-89,-200
