,vlucci.com AC-V1.4.0.0,011d.0012-vlucci.com A1.4.0.1,0119.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0122.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
,78:A5:04:41:E9:E7,F4:B8:5E:AA:7A:3E,7C:66:9D:7B:2D:79,78:A5:04:41:EB:CA,F4:B8:5E:AA:7A:97,78:A5:04:41:E9:F2,78:A5:04:41:EB:93,78:A5:04:41:EB:EA
1526461357028,-82,-74,-86,-200,-200,-200,-200,-200
1526461357446,-200,-78,-86,-200,-200,-200,-200,-200
1526461361984,-200,-79,-97,-96,-98,-200,-200,-200
1526461362061,-92,-79,-200,-98,-97,-200,-200,-200
1526461362165,-92,-200,-200,-95,-97,-200,-200,-200
1526461362315,-91,-79,-200,-200,-98,-200,-200,-200
1526461362416,-200,-200,-88,-200,-98,-200,-200,-200
1526461366935,-81,-200,-200,-200,-89,-200,-200,-200
1526461367038,-82,-76,-88,-200,-90,-200,-200,-200
1526461367139,-84,-76,-88,-200,-88,-200,-200,-200
1526461367247,-84,-75,-87,-200,-89,-200,-200,-200
1526461367413,-84,-75,-200,-200,-200,-200,-200,-200
1526461372093,-200,-77,-200,-200,-200,-200,-200,-200
1526461372192,-200,-77,-200,-200,-200,-200,-200,-200
1526461372300,-200,-78,-93,-200,-200,-200,-200,-200
1526461377038,-200,-82,-94,-95,-99,-200,-200,-200
1526461377106,-200,-82,-94,-94,-99,-200,-200,-200
1526461377214,-92,-81,-95,-95,-99,-200,-200,-200
1526461377327,-93,-81,-94,-96,-89,-200,-200,-200
1526461382051,-85,-76,-87,-200,-200,-200,-200,-200
1526461382155,-200,-75,-87,-200,-90,-200,-200,-200
1526461382261,-85,-76,-88,-200,-88,-200,-200,-200
1526461382382,-85,-79,-87,-200,-89,-200,-200,-200
1526461387180,-200,-79,-200,-200,-200,-200,-200,-200
1526461387392,-87,-75,-93,-200,-200,-98,-200,-200
1526461392078,-85,-78,-94,-90,-97,-97,-200,-200
1526461392377,-200,-200,-94,-90,-200,-200,-200,-200
1526461397233,-200,-72,-82,-200,-200,-200,-200,-200
1526461397338,-200,-200,-83,-88,-200,-200,-200,-200
1526461401966,-200,-74,-92,-200,-200,-200,-200,-200
1526461402113,-200,-74,-200,-200,-200,-200,-200,-200
1526461402219,-86,-74,-95,-90,-98,-98,-93,-200
1526461407032,-200,-80,-94,-200,-98,-200,-200,-200
1526461407134,-200,-78,-200,-200,-98,-200,-200,-200
1526461407242,-87,-78,-94,-91,-97,-98,-200,-200
1526461411923,-84,-200,-87,-200,-200,-200,-95,-94
1526461412032,-200,-71,-84,-200,-91,-200,-92,-200
1526461412134,-200,-70,-83,-200,-200,-94,-94,-200
1526461412235,-83,-200,-82,-200,-90,-200,-200,-200
1526461412343,-83,-72,-82,-200,-91,-97,-93,-200
1526461412598,-87,-200,-81,-87,-90,-200,-89,-200
1526461417177,-88,-73,-90,-200,-200,-200,-200,-200
1526461421918,-87,-79,-91,-91,-101,-200,-200,-200
1526461422032,-87,-79,-93,-92,-99,-95,-200,-200
1526461422163,-89,-200,-92,-91,-96,-99,-200,-200
1526461422309,-88,-78,-91,-200,-95,-98,-200,-200
