,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:02:91,74:da:da:c1:03:2d,0c:73:eb:d0:13:98,74:da:da:c1:03:21,0c:73:eb:d0:7f:00,74:da:da:98:74:74,0c:73:eb:d0:13:d8,74:da:da:c1:3a:8d,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,0c:73:eb:d0:7c:40,74:da:da:c1:3d:2d,d8:15:0d:6c:13:98,74:da:da:c1:6b:4d,74:da:da:c0:f6:15,0c:73:eb:d0:11:f8,74:da:da:98:90:2c,74:da:da:98:74:80,0c:73:eb:d0:7c:28,74:da:da:c1:3a:dd,0c:73:eb:d0:13:b0,74:da:da:98:66:cc,74:da:da:c0:d9:39,74:da:da:c0:d6:ed,0c:73:eb:d0:11:c8,74:da:da:98:74:34,74:da:da:c1:3a:81,0c:73:eb:d0:76:18,0c:73:eb:d0:19:80,74:da:da:c1:3c:11,74:da:da:c1:48:bd,74:da:da:c1:3b:29,74:da:da:c0:d8:3d,0c:73:eb:d0:76:50,74:da:da:c0:f3:05,74:da:da:c0:d7:0d,0c:73:eb:d0:13:90,74:da:da:c0:d7:c5
1526442400157,-27,-39,-48,-53,-55,-56,-60,-63,-66,-67,-69,-71,-73,-76,-76,-77,-78,-79,-79,-80,-80,-81,-83,-84,-85,-85,-87,-88,-90,-90,-91,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526442403186,-25,-32,-46,-55,-55,-62,-63,-64,-66,-64,-80,-72,-68,-76,-80,-66,-80,-79,-81,-75,-80,-200,-83,-84,-85,-200,-200,-200,-200,-90,-82,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526442406214,-25,-32,-46,-55,-55,-62,-63,-64,-66,-64,-80,-72,-68,-76,-80,-66,-80,-79,-81,-75,-80,-200,-83,-84,-85,-200,-200,-200,-200,-90,-82,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526442409252,-25,-32,-46,-55,-55,-62,-63,-64,-66,-64,-80,-72,-68,-76,-80,-66,-80,-79,-81,-75,-80,-200,-83,-84,-85,-200,-200,-200,-200,-90,-82,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526442412289,-30,-33,-37,-54,-68,-63,-62,-63,-64,-68,-80,-72,-66,-72,-72,-66,-80,-200,-81,-73,-79,-200,-83,-87,-200,-84,-200,-200,-92,-200,-86,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526442415330,-29,-33,-44,-56,-63,-64,-62,-64,-65,-68,-77,-69,-66,-73,-72,-69,-80,-88,-81,-73,-79,-200,-83,-82,-200,-84,-88,-200,-92,-200,-86,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526442418359,-29,-33,-44,-56,-63,-64,-62,-64,-65,-68,-77,-69,-66,-73,-72,-69,-80,-88,-81,-73,-79,-200,-83,-82,-200,-84,-88,-200,-92,-200,-86,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526442421381,-29,-33,-44,-56,-63,-64,-62,-64,-65,-68,-77,-69,-66,-73,-72,-69,-80,-88,-81,-73,-79,-200,-83,-82,-200,-84,-88,-200,-92,-200,-86,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526442424425,-30,-32,-44,-52,-63,-64,-60,-66,-66,-66,-81,-68,-68,-72,-71,-69,-81,-85,-200,-72,-78,-200,-79,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200
1526442427459,-32,-33,-48,-52,-62,-64,-62,-65,-66,-67,-79,-66,-67,-72,-77,-69,-81,-85,-200,-74,-76,-84,-79,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-88,-81,-91,-200,-200,-200,-200
1526442430497,-32,-33,-48,-52,-62,-64,-62,-65,-66,-67,-79,-66,-67,-72,-77,-69,-81,-85,-200,-74,-76,-84,-79,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-88,-81,-91,-200,-200,-200,-200
1526442433532,-32,-33,-48,-52,-62,-64,-62,-65,-66,-67,-79,-66,-67,-72,-77,-69,-81,-85,-200,-74,-76,-84,-79,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-88,-81,-91,-200,-200,-200,-200
1526442436575,-32,-33,-46,-52,-60,-66,-64,-63,-68,-68,-74,-64,-70,-67,-74,-68,-79,-81,-200,-75,-78,-84,-200,-82,-200,-200,-200,-89,-81,-200,-82,-200,-200,-88,-81,-91,-90,-200,-200,-200
1526442439610,-25,-33,-44,-51,-64,-64,-61,-63,-66,-65,-63,-64,-69,-69,-79,-64,-86,-81,-200,-75,-78,-84,-84,-84,-200,-200,-200,-89,-81,-200,-82,-200,-200,-88,-81,-91,-90,-200,-200,-200
