,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
,0c:73:eb:d0:7e:d0,74:da:da:c1:03:1d,74:da:da:c1:02:8d,0c:73:eb:d0:11:d8,74:da:da:c1:03:2d,0c:73:eb:d0:7c:40,74:da:da:98:74:74,0c:73:eb:d0:13:98,74:da:da:c1:02:91,0c:73:eb:d0:13:d8,74:da:da:c1:3d:2d,0c:73:eb:d0:7f:00,74:da:da:c1:3a:8d,74:da:da:c0:f6:15,74:da:da:c1:03:21,74:da:da:c1:3a:81,0c:73:eb:d0:13:b0,74:da:da:c0:d9:39,74:da:da:c1:6b:4d,0c:73:eb:d0:19:80,74:da:da:c1:3b:29,74:da:da:98:66:cc,74:da:da:c0:d6:ed,0c:73:eb:d0:7c:28,d8:15:0d:6c:13:98,0c:73:eb:d0:11:c8,0c:73:eb:d0:13:90,74:da:da:c1:3c:51,74:da:da:98:90:2c,74:da:da:98:74:80,74:da:da:c1:3a:dd,0c:73:eb:d0:11:f8,74:da:da:98:74:34
1526442799254,-44,-45,-56,-58,-61,-62,-62,-71,-71,-71,-71,-72,-73,-73,-77,-78,-80,-80,-80,-81,-81,-82,-83,-86,-87,-87,-89,-89,-200,-200,-200,-200,-200
1526442802283,-36,-37,-55,-61,-49,-61,-63,-61,-53,-74,-71,-66,-68,-82,-61,-78,-80,-200,-200,-84,-81,-82,-200,-200,-80,-87,-88,-89,-81,-84,-200,-200,-200
1526442805309,-36,-37,-55,-61,-49,-61,-63,-61,-53,-74,-71,-66,-68,-82,-61,-78,-80,-200,-200,-84,-81,-82,-200,-200,-80,-87,-88,-89,-81,-84,-200,-200,-200
1526442808343,-36,-37,-55,-61,-49,-61,-63,-61,-53,-74,-71,-66,-68,-82,-61,-78,-80,-200,-200,-84,-81,-82,-200,-200,-80,-87,-88,-89,-81,-84,-200,-200,-200
1526442811379,-32,-35,-55,-61,-46,-60,-65,-64,-47,-70,-69,-68,-67,-79,-58,-79,-200,-88,-74,-84,-200,-200,-200,-200,-80,-91,-88,-200,-81,-89,-78,-85,-200
1526442814418,-31,-31,-54,-62,-46,-60,-65,-63,-47,-70,-69,-65,-67,-79,-58,-79,-200,-88,-74,-84,-200,-200,-200,-200,-80,-91,-88,-200,-81,-89,-78,-86,-88
1526442817451,-31,-31,-54,-62,-46,-60,-65,-63,-47,-70,-69,-65,-67,-79,-58,-79,-200,-88,-74,-84,-200,-200,-200,-200,-80,-91,-88,-200,-81,-89,-78,-86,-88
1526442820478,-31,-31,-54,-62,-46,-60,-65,-63,-47,-70,-69,-65,-67,-79,-58,-79,-200,-88,-74,-84,-200,-200,-200,-200,-80,-91,-88,-200,-81,-89,-78,-86,-88
1526442823520,-31,-31,-56,-64,-46,-60,-67,-70,-45,-71,-69,-66,-68,-78,-58,-72,-200,-200,-83,-79,-200,-85,-89,-200,-80,-200,-200,-200,-81,-84,-200,-87,-89
1526442826551,-31,-31,-61,-64,-46,-61,-63,-67,-45,-73,-69,-66,-64,-78,-58,-72,-200,-200,-83,-79,-200,-83,-84,-200,-80,-200,-200,-200,-81,-86,-200,-87,-89
1526442829591,-31,-31,-61,-64,-46,-61,-63,-67,-45,-73,-69,-66,-64,-78,-58,-72,-200,-200,-83,-79,-200,-83,-84,-200,-80,-200,-200,-200,-81,-86,-200,-87,-89
1526442832628,-31,-31,-61,-64,-46,-61,-63,-67,-45,-73,-69,-66,-64,-78,-58,-72,-200,-200,-83,-79,-200,-83,-84,-200,-80,-200,-200,-200,-81,-86,-200,-87,-89
1526442835661,-31,-31,-56,-65,-46,-60,-64,-67,-45,-73,-69,-66,-65,-78,-58,-200,-200,-200,-200,-79,-200,-83,-84,-200,-80,-200,-200,-200,-200,-86,-200,-200,-200
1526442838696,-32,-30,-56,-68,-47,-62,-64,-64,-41,-75,-69,-67,-64,-81,-59,-73,-200,-85,-200,-79,-200,-83,-87,-200,-84,-200,-200,-200,-200,-86,-200,-200,-200
1526442841718,-32,-30,-56,-68,-47,-62,-64,-64,-41,-75,-69,-67,-64,-81,-59,-73,-200,-85,-200,-79,-200,-83,-87,-200,-84,-200,-200,-200,-200,-86,-200,-200,-200
1526442844753,-32,-30,-56,-68,-47,-62,-64,-64,-41,-75,-69,-67,-64,-81,-59,-73,-200,-85,-200,-79,-200,-83,-87,-200,-84,-200,-200,-200,-200,-86,-200,-200,-200
1526442847789,-32,-31,-58,-63,-46,-62,-64,-71,-45,-70,-69,-67,-64,-82,-60,-70,-200,-90,-200,-84,-200,-200,-90,-200,-80,-200,-85,-200,-200,-86,-78,-84,-200
1526442850833,-32,-31,-59,-63,-45,-61,-64,-74,-46,-72,-70,-69,-63,-81,-60,-77,-200,-90,-84,-84,-200,-200,-90,-200,-77,-89,-85,-200,-200,-86,-78,-83,-200
1526442853862,-32,-31,-59,-63,-45,-61,-64,-74,-46,-72,-70,-69,-63,-81,-60,-77,-200,-90,-84,-84,-200,-200,-90,-200,-77,-89,-85,-200,-200,-86,-78,-83,-200
1526442856896,-32,-31,-59,-63,-45,-61,-64,-74,-46,-72,-70,-69,-63,-81,-60,-77,-200,-90,-84,-84,-200,-200,-90,-200,-77,-89,-85,-200,-200,-86,-78,-83,-200
1526442859936,-32,-81,-55,-65,-45,-63,-64,-74,-46,-69,-70,-69,-64,-81,-60,-75,-200,-200,-81,-200,-200,-200,-200,-200,-77,-89,-200,-200,-79,-200,-77,-83,-200
