,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:13:d0,74:da:da:c0:e2:d9,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,74:da:da:c1:3c:99,74:da:da:c1:3c:f5,74:da:da:c0:d7:19,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:e0,0c:73:eb:d0:11:f0,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7c:18,74:da:da:c0:f3:01,74:da:da:c0:f4:69,74:da:da:c1:48:bd,74:da:da:98:91:d4,0c:73:eb:d0:7c:08,74:da:da:c1:3c:dd,74:da:da:c1:56:a1,74:da:da:98:85:00,0c:73:eb:d0:7a:68,0c:73:eb:d0:7f:10,74:da:da:c1:3a:dd,0c:73:eb:d0:13:a8,74:da:da:c1:4b:59,74:da:da:c0:d7:b9,74:da:da:98:85:60,0c:73:eb:d0:7c:38,74:da:da:c1:3c:f9,0c:73:eb:d0:11:f8,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:10,ec:26:ca:0b:d4:1e,0c:73:eb:d0:7f:08,0c:73:eb:d0:7c:30,74:da:da:c1:3a:81,74:da:da:c0:e0:81,74:da:da:98:92:14,0c:73:eb:d0:7e:e0,74:da:da:c0:d7:0d,c0:61:18:93:35:28,0c:73:eb:d0:76:48,74:da:da:c1:56:ed,74:da:da:c1:3c:51,0c:73:eb:d0:2a:10,74:da:da:c1:04:45,74:da:da:c0:d8:1d,74:da:da:c0:e0:69,74:da:da:c1:3c:8d,74:da:da:c1:4b:01,0c:73:eb:d0:2a:58,74:da:da:c1:3c:cd,74:da:da:c1:6b:4d,0c:73:eb:d0:7e:f0,74:da:da:c0:d8:59,74:da:da:98:8f:34
1526458481647,-44,-46,-55,-55,-56,-57,-58,-59,-61,-63,-65,-67,-67,-68,-68,-70,-71,-72,-73,-73,-73,-74,-74,-74,-74,-76,-76,-76,-78,-79,-79,-79,-80,-81,-83,-85,-86,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458484655,-41,-42,-55,-49,-65,-62,-58,-51,-60,-63,-65,-74,-67,-62,-68,-70,-68,-72,-200,-73,-73,-67,-77,-74,-78,-59,-78,-200,-200,-200,-77,-79,-200,-77,-83,-85,-200,-200,-89,-80,-78,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458487694,-45,-40,-54,-43,-66,-53,-57,-51,-59,-74,-69,-78,-65,-59,-70,-70,-68,-72,-67,-73,-71,-59,-77,-70,-80,-58,-78,-77,-200,-200,-75,-79,-200,-71,-83,-85,-88,-200,-81,-80,-78,-83,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458490743,-45,-40,-54,-43,-66,-53,-57,-51,-59,-74,-69,-78,-65,-59,-70,-70,-68,-72,-67,-73,-71,-59,-77,-70,-80,-58,-78,-77,-200,-200,-75,-79,-200,-71,-83,-85,-88,-200,-81,-80,-78,-83,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458493775,-45,-40,-54,-43,-66,-53,-57,-51,-59,-74,-69,-78,-65,-59,-70,-70,-68,-72,-67,-73,-71,-59,-77,-70,-80,-58,-78,-77,-200,-200,-75,-79,-200,-71,-83,-85,-88,-200,-81,-80,-78,-83,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458496796,-42,-40,-53,-46,-64,-62,-57,-50,-56,-74,-66,-75,-66,-60,-70,-200,-66,-200,-68,-71,-69,-58,-81,-71,-80,-58,-77,-77,-200,-77,-75,-200,-200,-71,-200,-81,-200,-78,-200,-84,-77,-200,-74,-88,-81,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458499844,-45,-40,-51,-46,-66,-63,-57,-48,-60,-70,-70,-75,-66,-61,-71,-200,-67,-200,-68,-71,-68,-64,-78,-69,-80,-58,-77,-77,-200,-77,-75,-83,-200,-70,-200,-81,-200,-78,-200,-84,-77,-200,-75,-88,-81,-88,-91,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526458502877,-45,-40,-51,-46,-66,-63,-57,-48,-60,-70,-70,-75,-66,-61,-71,-200,-67,-200,-68,-71,-68,-64,-78,-69,-80,-58,-77,-77,-200,-77,-75,-83,-200,-70,-200,-81,-200,-78,-200,-84,-77,-200,-75,-88,-81,-88,-91,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526458505891,-45,-40,-51,-46,-66,-63,-57,-48,-60,-70,-70,-75,-66,-61,-71,-200,-67,-200,-68,-71,-68,-64,-78,-69,-80,-58,-77,-77,-200,-77,-75,-83,-200,-70,-200,-81,-200,-78,-200,-84,-77,-200,-75,-88,-81,-88,-91,-82,-200,-200,-200,-200,-200,-200,-200,-200
