,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro
,0c:73:eb:d0:7a:68,74:da:da:c0:d7:0d,74:da:da:c0:f3:01,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:08,74:da:da:c0:f4:69,0c:73:eb:d0:7c:28,0c:73:eb:d0:7f:18,74:da:da:c0:d7:19,ec:26:ca:0b:d4:1e,0c:73:eb:d0:7c:00,74:da:da:c1:48:bd,0c:73:eb:d0:11:f8,74:da:da:c1:3c:f5,74:da:da:c1:6b:4d,74:da:da:98:91:d4,74:da:da:c1:3c:51,0c:73:eb:d0:13:a8,0c:73:eb:d0:13:d0,74:da:da:98:92:14,0c:73:eb:d0:7e:f8,0c:73:eb:d0:11:e0,74:da:da:c0:d7:b9,0c:73:eb:d0:7e:e0,0c:73:eb:d0:7f:10,0c:73:eb:d0:7e:e8,74:da:da:c1:56:a1,0c:73:eb:d0:7c:38,74:da:da:c0:f6:15,0c:73:eb:d0:7f:08,0c:73:eb:d0:7c:40,74:da:da:98:85:00,0c:73:eb:d0:11:f0,74:da:da:c1:56:ed,74:da:da:c1:3c:cd,74:da:da:98:85:60,0c:73:eb:d0:19:b8,0c:73:eb:d0:11:d8,74:da:da:c1:3a:81,0c:73:eb:d0:13:d8,74:da:da:c1:3a:8d,74:da:da:c0:e2:d9,0c:73:eb:d0:11:e8,d8:15:0d:6c:13:98,74:da:da:c1:3c:99,0c:73:eb:d0:7c:30,0c:73:eb:d0:76:30,c0:61:18:93:35:28,74:da:da:c0:e0:69
1526448394095,-38,-43,-49,-54,-55,-55,-56,-57,-59,-60,-64,-64,-66,-66,-66,-67,-67,-67,-68,-68,-69,-69,-69,-70,-70,-71,-72,-74,-74,-76,-76,-76,-77,-78,-83,-83,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448397123,-27,-37,-49,-55,-56,-63,-58,-56,-56,-52,-65,-65,-71,-66,-66,-67,-67,-65,-68,-64,-69,-58,-69,-70,-70,-78,-72,-65,-74,-72,-76,-76,-77,-68,-89,-74,-86,-87,-62,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526448400155,-27,-37,-49,-55,-56,-63,-58,-56,-56,-52,-65,-65,-71,-66,-66,-67,-67,-65,-68,-64,-69,-58,-69,-70,-70,-78,-72,-65,-74,-72,-76,-76,-77,-68,-89,-74,-86,-87,-62,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526448403195,-27,-37,-49,-55,-56,-63,-58,-56,-56,-52,-65,-65,-71,-66,-66,-67,-67,-65,-68,-64,-69,-58,-69,-70,-70,-78,-72,-65,-74,-72,-76,-76,-77,-68,-89,-74,-86,-87,-62,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526448406240,-24,-38,-58,-53,-56,-67,-64,-55,-56,-55,-66,-66,-67,-66,-58,-200,-74,-59,-68,-66,-76,-65,-62,-200,-65,-88,-73,-71,-81,-71,-72,-66,-83,-65,-89,-70,-85,-89,-64,-83,-85,-73,-78,-200,-200,-200,-200,-200,-200
1526448409286,-26,-38,-58,-51,-56,-67,-58,-56,-56,-55,-66,-68,-68,-66,-58,-200,-73,-55,-66,-70,-76,-65,-60,-200,-67,-82,-73,-73,-81,-73,-75,-66,-83,-66,-89,-74,-85,-89,-62,-83,-85,-74,-78,-80,-200,-200,-200,-200,-200
1526448412335,-26,-38,-58,-51,-56,-67,-58,-56,-56,-55,-66,-68,-68,-66,-58,-200,-73,-55,-66,-70,-76,-65,-60,-200,-67,-82,-73,-73,-81,-73,-75,-66,-83,-66,-89,-74,-85,-89,-62,-83,-85,-74,-78,-80,-200,-200,-200,-200,-200
1526448415383,-26,-38,-58,-51,-56,-67,-58,-56,-56,-55,-66,-68,-68,-66,-58,-200,-73,-55,-66,-70,-76,-65,-60,-200,-67,-82,-73,-73,-81,-73,-75,-66,-83,-66,-89,-74,-85,-89,-62,-83,-85,-74,-78,-80,-200,-200,-200,-200,-200
1526448418434,-28,-38,-57,-46,-56,-67,-57,-59,-53,-43,-62,-64,-67,-65,-58,-200,-77,-62,-66,-68,-79,-63,-64,-200,-70,-74,-72,-73,-200,-71,-74,-66,-82,-63,-200,-70,-86,-88,-64,-200,-83,-68,-82,-80,-82,-89,-92,-200,-200
