,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,74:da:da:c1:4b:01,74:da:da:c1:3c:f9,bc:d1:77:5f:6a:b4,74:da:da:98:8d:78,74:da:da:c1:4b:05,0c:73:eb:d0:7c:48,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,74:da:da:98:74:94,74:da:da:c1:4a:ed,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:18,0c:73:eb:d0:7c:10,74:da:da:c1:3c:99,74:da:da:c1:4b:59,74:da:da:c1:3c:d1,0c:73:eb:d0:11:d0,0c:73:eb:d0:11:f0,74:da:da:c0:f2:fd,74:da:da:c1:3c:91,0c:73:eb:d0:11:b0,0c:73:eb:d0:11:e8,74:da:da:98:7a:6c,74:da:da:c1:3c:f5,0c:73:eb:d0:11:b8,0c:73:eb:d0:76:20
1526453689589,-40,-47,-49,-49,-50,-53,-54,-55,-58,-59,-61,-66,-68,-68,-69,-73,-73,-77,-82,-86,-200,-200,-200,-200,-200,-200
1526453692616,-46,-47,-53,-47,-49,-43,-48,-57,-51,-71,-57,-67,-65,-68,-64,-73,-73,-76,-82,-86,-80,-89,-200,-200,-200,-200
1526453695649,-46,-47,-53,-47,-49,-43,-48,-57,-51,-71,-57,-67,-65,-68,-64,-73,-73,-76,-82,-86,-80,-89,-200,-200,-200,-200
1526453698676,-46,-47,-53,-47,-49,-43,-48,-57,-51,-71,-57,-67,-65,-68,-64,-73,-73,-76,-82,-86,-80,-89,-200,-200,-200,-200
1526453701707,-49,-57,-52,-50,-49,-40,-51,-60,-47,-67,-57,-70,-61,-83,-64,-76,-74,-77,-84,-74,-80,-89,-84,-200,-200,-200
1526453704740,-51,-57,-53,-52,-47,-40,-51,-59,-45,-67,-56,-70,-61,-83,-65,-77,-75,-75,-84,-75,-80,-83,-84,-79,-200,-200
1526453707766,-51,-57,-53,-52,-47,-40,-51,-59,-45,-67,-56,-70,-61,-83,-65,-77,-75,-75,-84,-75,-80,-83,-84,-79,-200,-200
1526453710796,-51,-57,-53,-52,-47,-40,-51,-59,-45,-67,-56,-70,-61,-83,-65,-77,-75,-75,-84,-75,-80,-83,-84,-79,-200,-200
1526453713805,-48,-58,-53,-46,-50,-40,-48,-55,-45,-58,-54,-69,-60,-78,-66,-78,-77,-75,-83,-74,-200,-83,-85,-79,-200,-200
1526453716825,-49,-59,-53,-50,-49,-41,-44,-53,-45,-62,-54,-69,-60,-78,-66,-77,-77,-71,-83,-75,-200,-83,-85,-79,-200,-200
1526453719865,-49,-59,-53,-50,-49,-41,-44,-53,-45,-62,-54,-69,-60,-78,-66,-77,-77,-71,-83,-75,-200,-83,-85,-79,-200,-200
1526453722898,-49,-59,-53,-50,-49,-41,-44,-53,-45,-62,-54,-69,-60,-78,-66,-77,-77,-71,-83,-75,-200,-83,-85,-79,-200,-200
1526453725928,-50,-59,-53,-45,-48,-43,-48,-53,-46,-65,-54,-70,-64,-200,-66,-76,-75,-75,-200,-74,-78,-200,-84,-77,-200,-200
1526453728958,-50,-56,-53,-47,-48,-43,-49,-60,-46,-65,-54,-72,-64,-200,-65,-76,-75,-74,-200,-77,-78,-83,-85,-77,-88,-200
1526453731990,-50,-56,-53,-47,-48,-43,-49,-60,-46,-65,-54,-72,-64,-200,-65,-76,-75,-74,-200,-77,-78,-83,-85,-77,-88,-200
1526453735029,-50,-56,-53,-47,-48,-43,-49,-60,-46,-65,-54,-72,-64,-200,-65,-76,-75,-74,-200,-77,-78,-83,-85,-77,-88,-200
1526453738061,-48,-57,-53,-50,-47,-44,-46,-55,-45,-63,-55,-71,-61,-200,-62,-76,-79,-73,-200,-75,-200,-83,-84,-200,-88,-91
1526453741091,-48,-57,-53,-50,-46,-44,-48,-55,-45,-63,-55,-71,-61,-200,-64,-76,-79,-70,-200,-75,-200,-83,-77,-75,-88,-91
1526453744100,-48,-57,-53,-50,-46,-44,-48,-55,-45,-63,-55,-71,-61,-200,-64,-76,-79,-70,-200,-75,-200,-83,-77,-75,-88,-91
1526453747126,-48,-57,-53,-50,-46,-44,-48,-55,-45,-63,-55,-71,-61,-200,-64,-76,-79,-70,-200,-75,-200,-83,-77,-75,-88,-91
1526453750169,-48,-57,-52,-46,-47,-40,-51,-60,-45,-63,-56,-69,-66,-200,-64,-75,-200,-71,-200,-75,-200,-84,-83,-75,-200,-88
