,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,0c:73:eb:d0:7f:00,74:da:da:c1:03:21,74:da:da:c1:03:2d,74:da:da:98:74:34,74:da:da:c1:02:8d,0c:73:eb:d0:11:c8,74:da:da:c1:02:91,0c:73:eb:d0:13:90,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:d8,0c:73:eb:d0:13:d8,74:da:da:98:90:94,74:da:da:98:74:80,74:da:da:c1:3a:8d,0c:73:eb:d0:13:98,0c:73:eb:d0:13:c8,74:da:da:98:90:2c,74:da:da:c1:03:1d,0c:73:eb:d0:7c:40,74:da:da:c1:3a:81,d8:15:0d:6c:13:98,74:da:da:98:85:4c,74:da:da:98:85:60
1526447187749,-37,-39,-54,-63,-65,-69,-70,-72,-73,-77,-80,-80,-81,-82,-84,-85,-87,-200,-200,-200,-200,-200,-200
1526447190777,-38,-46,-58,-68,-60,-57,-61,-76,-65,-69,-74,-84,-81,-69,-84,-85,-87,-65,-79,-85,-200,-200,-200
1526447193788,-38,-46,-58,-68,-60,-57,-61,-76,-65,-69,-74,-84,-81,-69,-84,-85,-87,-65,-79,-85,-200,-200,-200
1526447196818,-38,-46,-58,-68,-60,-57,-61,-76,-65,-69,-74,-84,-81,-69,-84,-85,-87,-65,-79,-85,-200,-200,-200
1526447199842,-33,-46,-55,-78,-51,-57,-55,-83,-63,-62,-78,-82,-85,-70,-200,-200,-200,-72,-79,-81,-83,-93,-200
1526447202874,-31,-44,-54,-74,-53,-57,-55,-80,-57,-62,-81,-84,-84,-71,-200,-200,-200,-70,-80,-81,-83,-93,-85
1526447205903,-31,-44,-54,-74,-53,-57,-55,-80,-57,-62,-81,-84,-84,-71,-200,-200,-200,-70,-80,-81,-83,-93,-85
1526447208924,-31,-44,-54,-74,-53,-57,-55,-80,-57,-62,-81,-84,-84,-71,-200,-200,-200,-70,-80,-81,-83,-93,-85
1526447211968,-49,-50,-66,-80,-61,-64,-75,-92,-78,-74,-81,-84,-84,-72,-200,-200,-200,-70,-80,-88,-200,-200,-85
1526447214994,-49,-51,-66,-80,-61,-68,-71,-92,-74,-70,-81,-84,-84,-70,-200,-200,-200,-86,-88,-88,-200,-200,-85
1526447218021,-49,-51,-66,-80,-61,-68,-71,-92,-74,-70,-81,-84,-84,-70,-200,-200,-200,-86,-88,-88,-200,-200,-85
1526447221054,-49,-51,-66,-80,-61,-68,-71,-92,-74,-70,-81,-84,-84,-70,-200,-200,-200,-86,-88,-88,-200,-200,-85
1526447224090,-53,-50,-66,-80,-62,-65,-68,-200,-72,-69,-200,-200,-200,-72,-200,-200,-200,-86,-88,-87,-200,-200,-200
1526447227114,-52,-50,-66,-82,-60,-65,-68,-200,-72,-72,-200,-200,-200,-72,-200,-200,-200,-82,-88,-84,-200,-200,-200
1526447230136,-52,-50,-66,-82,-60,-65,-68,-200,-72,-72,-200,-200,-200,-72,-200,-200,-200,-82,-88,-84,-200,-200,-200
1526447233166,-52,-50,-66,-82,-60,-65,-68,-200,-72,-72,-200,-200,-200,-72,-200,-200,-200,-82,-88,-84,-200,-200,-200
1526447236202,-50,-51,-64,-81,-61,-70,-72,-200,-74,-69,-84,-200,-200,-69,-200,-90,-200,-82,-86,-84,-200,-200,-200
1526447239227,-50,-51,-64,-82,-60,-66,-75,-89,-73,-73,-84,-200,-200,-69,-200,-90,-200,-82,-86,-83,-200,-200,-200
1526447242254,-50,-51,-64,-82,-60,-66,-75,-89,-73,-73,-84,-200,-200,-69,-200,-90,-200,-82,-86,-83,-200,-200,-200
1526447245281,-50,-51,-64,-82,-60,-66,-75,-89,-73,-73,-84,-200,-200,-69,-200,-90,-200,-82,-86,-83,-200,-200,-200
1526447248313,-44,-51,-63,-73,-60,-66,-66,-86,-67,-72,-84,-200,-200,-78,-200,-200,-200,-81,-87,-83,-200,-200,-200
