,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018
,0c:73:eb:d0:13:d8,74:da:da:c1:03:2d,74:da:da:c1:3a:8d,d8:15:0d:6c:13:98,74:da:da:c1:3a:81,0c:73:eb:d0:7c:40,74:da:da:c1:02:8d,0c:73:eb:d0:7e:d0,0c:73:eb:d0:11:f8,74:da:da:c1:03:1d,74:da:da:c1:6b:4d,0c:73:eb:d0:11:d8,74:da:da:c1:3b:29,74:da:da:c1:3a:8e,74:da:da:c1:02:91,74:da:da:c1:3a:dd,0c:73:eb:d0:7c:28,74:da:da:c0:d7:0d,0c:73:eb:d0:7f:00,74:da:da:c1:03:2e,0c:73:eb:d0:7c:08,0c:73:eb:d0:7f:18,ec:26:ca:0b:d4:1e,74:da:da:c1:3a:82,74:da:da:c1:6b:4e,74:da:da:98:74:80,74:da:da:c0:f6:15,74:da:da:98:92:14,0c:73:eb:d0:7a:68,0c:73:eb:d0:13:a8,74:da:da:c1:02:92,74:da:da:c0:d7:ba,74:da:da:c1:3a:de,74:da:da:c1:48:be,74:da:da:c1:02:8e,74:da:da:98:74:34,74:da:da:c0:f3:02,74:da:da:c1:03:22,74:da:da:c0:f6:16,74:da:da:c1:03:1e,74:da:da:c1:3c:f5,74:da:da:c1:03:21,0c:73:eb:d0:7c:00,0c:73:eb:d0:11:e8,0c:73:eb:d0:13:b8,74:da:da:98:85:4c,74:da:da:98:74:74,74:da:da:98:85:00,74:da:da:c0:f3:01,0c:73:eb:d0:13:90,0c:73:eb:d0:11:c0,0c:73:eb:d0:7e:f8,0c:73:eb:d0:13:d0
1526452227560,-29,-38,-39,-49,-53,-54,-54,-55,-58,-58,-58,-59,-62,-63,-63,-63,-64,-65,-66,-68,-70,-74,-74,-75,-75,-78,-79,-79,-80,-80,-83,-83,-88,-88,-89,-89,-89,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452230583,-34,-33,-37,-51,-56,-55,-54,-48,-57,-58,-58,-55,-62,-67,-55,-63,-64,-65,-61,-65,-70,-75,-74,-68,-75,-78,-79,-79,-80,-80,-78,-83,-88,-88,-87,-89,-89,-89,-90,-85,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452233604,-34,-33,-37,-51,-56,-55,-54,-48,-57,-58,-58,-55,-62,-67,-55,-63,-64,-65,-61,-65,-70,-75,-200,-68,-75,-78,-79,-200,-80,-200,-78,-83,-200,-88,-87,-89,-200,-89,-90,-85,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452236628,-34,-45,-37,-49,-56,-51,-54,-48,-57,-58,-58,-55,-75,-63,-55,-63,-64,-65,-57,-69,-74,-75,-200,-74,-75,-74,-79,-200,-78,-200,-84,-83,-200,-88,-85,-89,-200,-89,-90,-85,-77,-65,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452239648,-34,-45,-37,-49,-56,-56,-54,-48,-57,-58,-58,-55,-75,-63,-55,-63,-64,-65,-57,-69,-74,-75,-200,-74,-75,-74,-79,-200,-78,-200,-84,-83,-200,-88,-85,-89,-200,-89,-90,-85,-77,-65,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452242676,-34,-33,-33,-48,-53,-51,-53,-56,-51,-60,-58,-51,-75,-63,-56,-63,-65,-73,-61,-65,-73,-75,-200,-71,-75,-77,-73,-200,-78,-200,-78,-83,-200,-88,-83,-89,-200,-87,-200,-85,-77,-65,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452245703,-34,-33,-33,-48,-53,-54,-53,-56,-51,-60,-58,-51,-75,-63,-56,-63,-65,-73,-61,-65,-73,-75,-200,-71,-75,-77,-73,-200,-78,-200,-78,-83,-200,-88,-83,-89,-200,-87,-200,-85,-77,-65,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452248730,-34,-49,-37,-46,-62,-55,-53,-55,-58,-67,-58,-51,-75,-66,-63,-200,-59,-73,-65,-64,-73,-75,-200,-68,-200,-78,-74,-200,-78,-200,-83,-200,-92,-200,-83,-89,-200,-87,-200,-85,-77,-65,-75,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452251751,-34,-49,-37,-46,-62,-56,-53,-55,-58,-67,-58,-51,-75,-66,-63,-200,-59,-73,-65,-64,-73,-75,-200,-68,-200,-78,-74,-200,-78,-200,-83,-200,-92,-200,-83,-89,-200,-87,-200,-85,-77,-65,-75,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
