,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
,74:da:da:c0:f3:01,0c:73:eb:d0:7c:08,74:da:da:c1:48:bd,74:da:da:c1:3a:81,74:da:da:c1:3a:dd,0c:73:eb:d0:11:e0,0c:73:eb:d0:7f:10,74:da:da:c0:d7:b9,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:f8,0c:73:eb:d0:7c:28,74:da:da:c0:d7:19,0c:73:eb:d0:7a:68,74:da:da:c1:3c:f5,74:da:da:c1:6b:4d,0c:73:eb:d0:7c:00,74:da:da:c0:f4:69,74:da:da:c1:3c:51,0c:73:eb:d0:7e:e0,0c:73:eb:d0:13:a8,74:da:da:c1:56:a1,74:da:da:98:92:14,74:da:da:98:91:d4,74:da:da:c0:d7:0d,74:da:da:c0:e2:d9,0c:73:eb:d0:7c:38,ec:26:ca:0b:d4:1e,74:da:da:c1:48:be,0c:73:eb:d0:7e:f8,74:da:da:c0:f3:02,0c:73:eb:d0:76:38,74:da:da:c1:3a:82,74:da:da:c0:d7:ba,74:da:da:c1:3a:8d,0c:73:eb:d0:7c:40,74:da:da:c1:56:ed,c0:61:18:93:3e:54,0c:73:eb:d0:11:e8,74:da:da:c1:3c:f6,0c:73:eb:d0:7f:08,74:da:da:98:91:d5,0c:73:eb:d0:7c:30,74:da:da:c1:03:2d,74:da:da:c0:f6:15,74:da:da:c0:d7:0e,74:da:da:c1:6b:4e,74:da:da:c1:56:a2,74:da:da:c0:d7:1a,74:da:da:c0:f4:6a,74:da:da:c1:3a:de,74:da:da:c1:3a:8e,74:da:da:98:92:15,74:da:da:98:85:01,74:da:da:c1:3c:52,74:da:da:c1:3b:cd,0c:73:eb:d0:13:d8,0c:73:eb:d0:13:d0,74:da:da:c1:3b:19,0c:73:eb:d0:76:30,74:da:da:98:85:00,0c:73:eb:d0:11:f0,c0:61:18:93:35:28,74:da:da:98:85:60,0c:73:eb:d0:7e:e8,74:da:da:98:85:4c,0c:73:eb:d0:19:b8,0c:73:eb:d0:19:98
1526450365302,-32,-33,-36,-39,-40,-41,-41,-42,-43,-43,-43,-46,-47,-47,-47,-48,-50,-52,-52,-53,-53,-54,-54,-55,-55,-55,-56,-57,-57,-58,-61,-63,-63,-64,-65,-65,-67,-68,-70,-70,-71,-71,-71,-72,-73,-75,-76,-79,-80,-81,-81,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450368333,-44,-30,-40,-51,-44,-45,-42,-40,-43,-47,-43,-49,-42,-47,-47,-48,-52,-47,-52,-50,-53,-54,-54,-45,-48,-52,-63,-55,-57,-58,-61,-60,-63,-64,-63,-65,-67,-68,-83,-70,-68,-71,-83,-72,-69,-81,-73,-80,-80,-80,-82,-87,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450371347,-44,-52,-38,-51,-39,-23,-47,-39,-47,-47,-43,-49,-47,-47,-55,-55,-52,-52,-52,-47,-53,-61,-50,-42,-50,-48,-59,-55,-54,-62,-61,-64,-63,-64,-63,-65,-67,-77,-78,-65,-68,-71,-83,-67,-70,-77,-75,-77,-79,-77,-82,-87,-89,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450374362,-38,-40,-38,-46,-43,-38,-46,-36,-37,-50,-43,-45,-43,-47,-54,-60,-52,-53,-56,-47,-53,-52,-50,-48,-43,-48,-58,-58,-58,-53,-61,-63,-63,-200,-73,-65,-67,-77,-68,-65,-72,-71,-83,-67,-70,-73,-69,-71,-82,-83,-80,-82,-86,-200,-65,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450377392,-42,-35,-37,-47,-43,-39,-46,-39,-39,-48,-51,-45,-43,-47,-54,-66,-52,-53,-56,-47,-53,-56,-50,-47,-43,-52,-62,-54,-56,-53,-64,-67,-64,-200,-73,-65,-67,-77,-75,-65,-74,-71,-83,-67,-71,-72,-72,-75,-84,-78,-79,-82,-86,-200,-65,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450380403,-42,-35,-36,-47,-43,-39,-46,-39,-44,-48,-51,-45,-44,-200,-54,-66,-52,-53,-56,-47,-69,-56,-50,-47,-43,-52,-65,-54,-56,-53,-64,-64,-66,-200,-73,-65,-67,-77,-71,-63,-74,-200,-83,-65,-67,-74,-73,-71,-83,-77,-79,-82,-86,-200,-65,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450383433,-46,-53,-36,-47,-43,-40,-43,-39,-39,-52,-53,-51,-46,-200,-54,-66,-52,-53,-58,-48,-69,-60,-50,-47,-39,-48,-65,-55,-58,-57,-64,-64,-66,-200,-73,-60,-67,-77,-82,-67,-72,-200,-83,-73,-67,-74,-73,-73,-84,-79,-79,-82,-86,-200,-65,-64,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450386456,-44,-39,-36,-43,-43,-40,-43,-39,-39,-52,-53,-51,-41,-57,-54,-61,-52,-51,-58,-48,-73,-56,-50,-47,-42,-48,-61,-56,-58,-57,-64,-67,-70,-200,-73,-60,-200,-77,-83,-67,-73,-200,-83,-67,-69,-74,-73,-72,-82,-78,-86,-82,-89,-200,-65,-64,-59,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450389479,-41,-33,-36,-43,-43,-44,-43,-43,-39,-52,-50,-54,-41,-53,-54,-61,-200,-51,-58,-49,-73,-56,-50,-50,-41,-48,-61,-56,-58,-55,-64,-67,-66,-200,-73,-63,-200,-77,-81,-67,-72,-200,-200,-67,-69,-74,-73,-70,-83,-78,-85,-83,-89,-200,-65,-67,-56,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
