,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DQKJ,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
,0c:73:eb:d0:7f:18,0c:73:eb:d0:11:e0,74:da:da:c0:d7:19,74:da:da:c0:f4:69,74:da:da:c0:f3:01,74:da:da:98:85:00,74:da:da:c0:e2:d9,74:da:da:c1:48:bd,0c:73:eb:d0:7f:10,0c:73:eb:d0:13:a8,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7c:38,74:da:da:c1:56:a1,74:da:da:c0:d7:b9,74:da:da:98:92:14,0c:73:eb:d0:7a:68,0c:73:eb:d0:13:d0,74:da:da:c0:d7:0d,0c:73:eb:d0:7e:f8,74:da:da:c1:56:ed,74:da:da:c1:3a:dd,74:da:da:98:91:d4,74:da:da:98:85:60,0c:73:eb:d0:11:e8,0c:73:eb:d0:7f:08,0c:73:eb:d0:19:b8,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:08,0c:73:eb:d0:7c:00,0c:73:eb:d0:7e:e0,ec:26:ca:0b:d4:1e,c0:61:18:93:3e:54,74:da:da:c1:6b:4d,74:da:da:c0:f3:02,74:da:da:c1:3c:51,74:da:da:c0:d7:1a,0c:73:eb:d0:7e:f0,74:da:da:c0:d7:ba,0c:73:eb:d0:76:38,c0:61:18:93:35:28,74:da:da:98:91:d5,0c:73:eb:d0:76:30,74:da:da:c1:48:be,74:da:da:c1:56:a2,74:da:da:c1:3a:82,74:da:da:c1:3c:f6,74:da:da:c1:56:ee,74:da:da:c0:d7:0e,74:da:da:c0:f4:6a,74:da:da:98:85:01,74:da:da:98:85:61,0c:73:eb:d0:7c:18,74:da:da:c1:6b:4e,74:da:da:98:92:15,74:da:da:c1:3a:de,0c:73:eb:d0:13:b8,0c:73:eb:d0:76:48,74:da:da:c1:3c:52,74:da:da:c1:3a:81,74:da:da:c0:e0:69,0c:73:eb:d0:11:f8,74:da:da:98:ea:5c,74:da:da:98:ea:50,74:da:da:c0:e0:6a,74:da:da:c1:3c:cd,74:da:da:c1:3c:99,74:da:da:c1:3b:c9,0c:73:eb:d0:7c:28
1526447697941,-35,-35,-36,-39,-39,-41,-42,-44,-44,-44,-46,-47,-48,-50,-50,-51,-51,-52,-54,-55,-55,-55,-56,-57,-58,-58,-58,-60,-62,-62,-63,-63,-63,-64,-64,-65,-65,-66,-67,-71,-73,-74,-75,-76,-79,-82,-82,-83,-85,-86,-87,-88,-90,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447700972,-34,-33,-40,-44,-39,-39,-48,-44,-43,-38,-50,-45,-48,-47,-56,-44,-50,-52,-52,-49,-55,-55,-63,-57,-58,-58,-58,-58,-62,-62,-62,-200,-63,-64,-64,-66,-65,-67,-67,-71,-77,-74,-71,-75,-78,-78,-82,-80,-81,-86,-87,-88,-84,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447704009,-48,-34,-40,-49,-39,-38,-48,-44,-42,-39,-50,-47,-48,-47,-51,-40,-56,-45,-55,-49,-51,-55,-63,-57,-53,-56,-58,-52,-61,-72,-56,-200,-66,-67,-63,-64,-200,-67,-67,-71,-77,-74,-71,-73,-78,-85,-82,-85,-83,-86,-87,-86,-83,-88,-89,-74,-76,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447707037,-43,-35,-38,-48,-43,-37,-44,-57,-44,-43,-54,-47,-48,-52,-51,-45,-56,-49,-64,-55,-52,-55,-63,-57,-53,-56,-58,-56,-60,-63,-60,-200,-66,-63,-63,-60,-200,-70,-67,-71,-74,-74,-68,-71,-78,-83,-82,-79,-83,-84,-87,-86,-83,-88,-89,-74,-76,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447710069,-43,-37,-41,-48,-41,-40,-44,-52,-42,-39,-47,-48,-48,-52,-51,-45,-51,-43,-64,-55,-52,-55,-63,-57,-53,-56,-58,-60,-54,-63,-58,-200,-66,-63,-63,-64,-200,-66,-67,-71,-74,-74,-67,-70,-78,-79,-82,-80,-85,-82,-87,-81,-80,-88,-89,-74,-76,-92,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447713094,-47,-37,-40,-48,-41,-40,-47,-52,-42,-39,-46,-48,-48,-52,-62,-76,-51,-43,-64,-55,-52,-55,-63,-57,-54,-58,-58,-60,-54,-63,-58,-200,-66,-64,-63,-61,-200,-65,-200,-71,-74,-72,-70,-72,-74,-81,-82,-78,-85,-84,-87,-81,-84,-88,-89,-74,-76,-92,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447716122,-41,-34,-38,-45,-41,-37,-43,-53,-47,-41,-46,-56,-48,-46,-54,-52,-56,-44,-62,-55,-53,-55,-63,-200,-55,-58,-200,-58,-54,-59,-58,-200,-66,-58,-63,-61,-200,-64,-200,-69,-73,-72,-72,-71,-78,-81,-200,-78,-85,-84,-87,-81,-82,-89,-89,-74,-76,-92,-59,-67,-200,-200,-200,-200,-200,-200,-200,-200
1526447719150,-41,-35,-41,-43,-53,-39,-47,-53,-43,-43,-61,-52,-43,-46,-55,-47,-51,-52,-62,-55,-55,-200,-63,-200,-58,-58,-200,-58,-58,-60,-58,-66,-66,-60,-63,-60,-200,-68,-200,-69,-72,-72,-68,-71,-77,-79,-200,-82,-85,-87,-87,-81,-86,-89,-89,-74,-76,-92,-59,-67,-200,-200,-200,-200,-200,-200,-200,-200
1526447722165,-37,-39,-37,-43,-49,-39,-47,-53,-44,-39,-61,-48,-43,-46,-55,-51,-48,-52,-57,-55,-55,-200,-200,-200,-58,-58,-200,-58,-58,-58,-65,-64,-66,-58,-63,-60,-200,-64,-200,-69,-71,-74,-68,-69,-73,-79,-200,-82,-83,-84,-87,-81,-82,-89,-89,-74,-76,-92,-59,-67,-200,-200,-200,-200,-200,-200,-200,-200
