,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398
,74:da:da:c0:d7:19,0c:73:eb:d0:7f:18,74:da:da:c0:f3:01,74:da:da:c1:3a:81,0c:73:eb:d0:7c:00,74:da:da:c0:d7:0d,0c:73:eb:d0:7f:10,0c:73:eb:d0:11:f8,74:da:da:c1:3c:f5,74:da:da:c0:d7:b9,74:da:da:c0:f4:69,74:da:da:98:92:14,0c:73:eb:d0:11:e0,0c:73:eb:d0:13:d0,74:da:da:98:91:d4,74:da:da:c1:48:bd,0c:73:eb:d0:7c:08,74:da:da:c0:e2:d9,0c:73:eb:d0:7e:f8,0c:73:eb:d0:7c:38,0c:73:eb:d0:7a:68,74:da:da:c1:56:a1,0c:73:eb:d0:7f:08,74:da:da:c1:56:ed,74:da:da:98:85:00,0c:73:eb:d0:13:a8,74:da:da:c1:3a:dd,74:da:da:c1:02:8d,0c:73:eb:d0:7e:e8,0c:73:eb:d0:7e:e0,0c:73:eb:d0:11:f0,74:da:da:98:85:60,74:da:da:c0:d7:1a,ec:26:ca:0b:d4:1e,74:da:da:c1:6b:4d,74:da:da:c0:f3:02,0c:73:eb:d0:7c:40,74:da:da:c1:3b:69,74:da:da:c1:3c:51,0c:73:eb:d0:11:e8,74:da:da:c1:48:be,0c:73:eb:d0:7c:30,74:da:da:98:91:d5,74:da:da:c0:d7:ba,74:da:da:c1:56:a2,0c:73:eb:d0:7c:18,74:da:da:c1:3a:82,0c:73:eb:d0:11:d8,c0:61:18:93:3e:54,74:da:da:c1:3c:f6,0c:73:eb:d0:13:d8,74:da:da:c1:6b:4e,74:da:da:c0:f4:6a,74:da:da:c0:d7:0e,74:da:da:98:85:61,74:da:da:98:85:01,74:da:da:98:92:15,74:da:da:c1:3a:de,74:da:da:c1:3a:8e,74:da:da:98:85:4c,74:da:da:c1:3c:99,74:da:da:c0:e0:71,74:da:da:c1:4b:02,74:da:da:c1:03:2d,0c:73:eb:d0:7c:28,74:da:da:c1:3c:52,74:da:da:c1:3a:8d,74:da:da:c0:f6:15,c0:61:18:93:35:28,0c:73:eb:d0:76:38,74:da:da:c1:3b:c9,0c:73:eb:d0:13:b8,0c:73:eb:d0:76:30,d8:15:0d:6c:13:98
1526448862762,-26,-32,-38,-38,-39,-41,-42,-42,-44,-45,-47,-48,-48,-48,-48,-49,-49,-50,-51,-51,-52,-52,-53,-53,-54,-55,-56,-57,-57,-59,-59,-60,-61,-61,-62,-63,-63,-63,-64,-64,-67,-68,-70,-70,-70,-70,-72,-72,-73,-74,-75,-78,-79,-86,-86,-88,-89,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448865797,-34,-29,-35,-30,-45,-45,-42,-46,-43,-38,-40,-48,-46,-52,-44,-49,-45,-54,-43,-54,-56,-48,-53,-53,-54,-51,-56,-57,-57,-59,-59,-60,-66,-61,-62,-61,-63,-63,-64,-64,-62,-68,-66,-67,-69,-70,-72,-72,-65,-72,-75,-80,-82,-86,-86,-88,-89,-86,-88,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448868838,-34,-27,-35,-32,-41,-45,-42,-46,-44,-38,-40,-44,-46,-52,-41,-49,-45,-54,-42,-50,-47,-48,-61,-58,-54,-53,-56,-57,-57,-200,-59,-60,-66,-63,-62,-60,-63,-55,-64,-57,-66,-200,-69,-61,-70,-70,-67,-72,-65,-74,-200,-80,-78,-82,-86,-87,-85,-86,-88,-80,-69,-78,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448871871,-34,-27,-34,-32,-41,-45,-50,-47,-44,-38,-40,-44,-47,-52,-41,-49,-45,-54,-41,-56,-47,-48,-61,-58,-50,-53,-56,-57,-57,-200,-59,-60,-66,-64,-60,-65,-63,-55,-64,-57,-66,-71,-66,-67,-73,-70,-68,-72,-65,-73,-200,-80,-80,-81,-86,-86,-88,-87,-88,-80,-69,-78,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448874901,-34,-32,-34,-32,-41,-49,-46,-47,-44,-40,-38,-47,-51,-55,-41,-47,-42,-56,-54,-52,-45,-48,-61,-58,-50,-47,-60,-57,-57,-200,-59,-64,-66,-64,-60,-68,-64,-55,-64,-57,-66,-66,-68,-65,-71,-70,-70,-72,-65,-71,-200,-83,-77,-80,-89,-86,-84,-83,-88,-80,-69,-78,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448877913,-34,-28,-34,-32,-41,-49,-48,-46,-44,-40,-36,-47,-49,-52,-38,-48,-43,-56,-46,-51,-46,-53,-66,-58,-47,-49,-60,-57,-57,-57,-59,-64,-66,-64,-57,-65,-64,-55,-54,-57,-66,-66,-68,-62,-67,-70,-67,-200,-69,-71,-200,-79,-77,-80,-89,-86,-84,-86,-87,-80,-69,-78,-88,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448880947,-34,-31,-30,-31,-44,-48,-46,-50,-45,-40,-37,-47,-49,-52,-39,-49,-43,-51,-42,-52,-47,-53,-70,-58,-47,-52,-60,-57,-200,-57,-59,-64,-62,-64,-57,-66,-64,-55,-54,-57,-66,-66,-66,-62,-68,-200,-71,-200,-68,-71,-200,-81,-79,-80,-86,-84,-82,-88,-87,-80,-69,-78,-88,-69,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448883974,-34,-27,-35,-31,-42,-48,-51,-49,-45,-38,-39,-47,-46,-52,-38,-49,-45,-47,-49,-52,-46,-53,-70,-58,-47,-53,-55,-200,-69,-53,-200,-64,-66,-62,-57,-64,-67,-54,-54,-65,-62,-66,-70,-66,-73,-200,-67,-200,-68,-72,-200,-78,-78,-82,-86,-85,-82,-88,-87,-80,-69,-78,-88,-69,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448887002,-32,-27,-36,-31,-42,-47,-50,-46,-41,-37,-39,-47,-48,-52,-40,-49,-44,-46,-41,-52,-46,-53,-65,-58,-47,-52,-55,-200,-69,-53,-200,-63,-66,-62,-57,-65,-67,-54,-54,-58,-62,-66,-66,-66,-71,-200,-67,-200,-69,-73,-200,-77,-82,-82,-86,-88,-82,-88,-87,-200,-69,-78,-88,-69,-59,-89,-200,-200,-200,-200,-200,-200,-200,-200
