,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
,74:da:da:c1:4b:01,74:da:da:c1:4a:f5,74:da:da:c1:3c:dd,74:da:da:c1:3c:f5,0c:73:eb:d0:7c:48,0c:73:eb:d0:7c:18,0c:73:eb:d0:11:f0,74:da:da:c1:4b:05,0c:73:eb:d0:7c:10,74:da:da:c1:4b:59,74:da:da:98:8d:78,bc:d1:77:5f:6a:b4,0c:73:eb:d0:7c:30,0c:73:eb:d0:7c:00,74:da:da:c1:3b:49,0c:73:eb:d0:11:e8,74:da:da:c1:4b:02,0c:73:eb:d0:13:d0,74:da:da:c1:3c:e1,74:da:da:c1:3c:de,74:da:da:c1:4a:f6,74:da:da:c0:f3:01,74:da:da:98:8d:79,0c:73:eb:d0:11:b0,74:da:da:c1:4b:06,74:da:da:c1:3c:f6,74:da:da:c0:e2:d9,74:da:da:c1:4b:5a,74:da:da:c0:e0:71,0c:73:eb:d0:7f:18,74:da:da:c1:3b:4a,74:da:da:c1:3c:9a,74:da:da:c1:4a:ee,0c:73:eb:d0:76:20,74:da:da:c1:3c:91,0c:73:eb:d0:76:58,74:da:da:c0:f2:fe,74:da:da:98:92:14,74:da:da:c1:3c:f9,74:da:da:c1:3c:99,74:da:da:c1:4a:ed,74:da:da:c1:3c:d1,74:da:da:98:74:95,74:da:da:c1:3c:fa,0c:73:eb:d0:11:d0,74:da:da:c0:e0:81,74:da:da:98:7a:6c,74:da:da:98:74:94,74:da:da:98:7a:4c
1526454962870,-29,-32,-34,-35,-37,-39,-40,-40,-43,-44,-46,-52,-54,-55,-56,-60,-60,-60,-62,-63,-63,-67,-68,-70,-71,-73,-75,-79,-79,-80,-80,-85,-86,-86,-88,-88,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454965889,-22,-32,-34,-35,-42,-43,-36,-40,-42,-44,-46,-55,-50,-55,-56,-68,-56,-60,-69,-55,-66,-67,-69,-70,-67,-75,-75,-79,-76,-80,-80,-82,-88,-86,-88,-88,-89,-91,-44,-50,-58,-85,-89,-200,-200,-200,-200,-200,-200
1526454968910,-22,-32,-34,-35,-42,-43,-36,-40,-42,-44,-46,-55,-51,-55,-56,-68,-56,-60,-69,-55,-66,-67,-69,-70,-67,-75,-75,-79,-76,-80,-200,-82,-88,-86,-88,-88,-89,-91,-44,-50,-58,-85,-89,-200,-200,-200,-200,-200,-200
1526454971919,-22,-32,-39,-35,-42,-40,-40,-41,-46,-44,-42,-53,-54,-55,-56,-66,-57,-60,-72,-58,-64,-67,-67,-70,-71,-77,-75,-82,-76,-76,-200,-82,-88,-86,-80,-88,-89,-91,-44,-50,-58,-82,-85,-90,-200,-200,-200,-200,-200
1526454974929,-22,-32,-39,-35,-42,-40,-40,-41,-46,-44,-42,-53,-55,-55,-56,-66,-57,-200,-72,-58,-64,-200,-67,-70,-71,-77,-200,-82,-76,-76,-200,-82,-88,-86,-80,-88,-200,-91,-44,-50,-58,-82,-85,-90,-200,-200,-200,-200,-200
1526454977951,-23,-32,-40,-35,-44,-41,-37,-39,-43,-44,-42,-53,-54,-55,-56,-66,-57,-200,-72,-62,-64,-200,-63,-71,-69,-77,-200,-82,-76,-76,-200,-81,-88,-200,-80,-88,-200,-91,-44,-50,-58,-82,-85,-90,-79,-200,-200,-200,-200
1526454980959,-23,-32,-40,-35,-44,-41,-37,-39,-43,-44,-42,-53,-54,-55,-56,-66,-57,-200,-72,-62,-64,-200,-63,-71,-69,-77,-200,-82,-76,-76,-200,-81,-88,-200,-80,-88,-200,-91,-44,-50,-58,-82,-85,-90,-79,-200,-200,-200,-200
1526454983974,-25,-31,-40,-200,-41,-40,-41,-43,-39,-43,-42,-55,-54,-200,-69,-66,-60,-200,-72,-61,-64,-200,-62,-71,-67,-76,-75,-82,-76,-76,-200,-84,-88,-84,-80,-88,-200,-200,-44,-50,-58,-82,-90,-90,-79,-81,-84,-200,-200
1526454986983,-25,-31,-40,-200,-41,-40,-41,-43,-39,-43,-42,-55,-53,-200,-69,-66,-60,-200,-72,-61,-64,-200,-62,-71,-67,-76,-75,-82,-76,-76,-200,-84,-88,-84,-80,-88,-200,-200,-44,-50,-58,-82,-90,-90,-79,-81,-84,-200,-200
